"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","203200","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Proença, CEB",2019,"","1637","","Bringel Jr, JBA; Silva, TS; Barbosa, NF",2019,5,22,"Brazil","Minas Gerais",,"Brasil, Minas Gerais, São João da Ponte:Propriedade a beira da MG-202, a oeste da cidade.",,,"Subarbusto ca. 0,5 m.Botões florais castanhos acizentados.; Área de pastagem ativa, com rebrota de indivíduos de cerrado.","Eugenia capparidifolia DC.","",,"GBIF"
"","Cenargen","CEN","106048","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","J. E. Q. Faria Júnior",2018,"","7176","","Anderson Cássio Sevilha",2018,3,3,"Brazil","Mg","RIO PARDO DE MINAS","Cabeceira do Muquém.",-15.541666,-42.415277,"Cerrado em regeneração em área de plantio de eucalipto.","Eugenia capparidifolia DC.","",,"GBIF"
"","Cenargen","CEN","103649","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","J. E. Q. Faria Júnior",2018,"","6707","","Anderson Cássio Sevilha",2017,3,20,"Brazil","Mg","MONTEZUMA","Sítio 15. Ponto 1. Parque Estadual de Montezuma.",-15.112777,-42.575277,"Botão floral. Projeto Bem Diverso.","Eugenia capparidifolia DC.","",,"GBIF"
"","UnB","UB","216170","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Faria, JEQ",2016,"","5339","","Faria, JEQ; Paz, JRL; Chaves, DA",2016,1,22,"Brazil","Minas Gerais","Diamantina","Estrada entrando à esquerda indo de Mendanha para Diamantina. Estrada de terra que dá acesso a Mendanha",-18.123333,-43.520278,"Arbusto ca. 1,5 m de altura, botões florais verdes; Cerrado sensu stricto","Eugenia capparidifolia DC.","",,"GBIF"
"","UFSJ","HUFSJ","8389","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Faria, JEQ",2016,"","5339","","Faria, JQE; Paz, JRL; Chaves, DA",2016,1,22,"Brazil","Minas Gerais","Diamantina","Estrada entrando à esquerda indo de Mendanha para Diamantina. Cerrado sensu stricto.",-18.123333,-43.520278,"Arbusto, ca. 1,5m de altura, botões florais verdes.","Eugenia capparidifolia DC.","",,"GBIF"
"","JBRJ","RB","RB01126586","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","J.E.Q. Faria",,"","5339","","J.E.Q. Faria; J.R.L. Paz; D.A. Chaves",2016,1,22,"Brazil","Minas Gerais","Diamantina","Estrada entrando à esquerda indo de Mendanha para Diamantina. Estrada de terra que dá acesso a Mendanha.",-18.123333,-43.520278,"Arbusto; Botões florais verdes.","Eugenia capparidifolia DC.","",,"GBIF"
"","JBRJ","RB","RB01204548","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","M.Sobral",,"","855","","D.R.Gonzaga; R.C.C.Reis & V. Rodinsky",2016,11,5,"Brazil","Minas Gerais","Buenópolis","Curimataí. Estrada entre os distritos de Curimataí e Santa Rita.",-17.956389,-44.000278,,"Eugenia capparidifolia DC.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3283","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Faria, JEQ",2016,"","s.n.","","Silva Júnior, MC; Machado, ELM; Otoni, TJO",2014,12,6,"Brazil","Minas Gerais","Diamantina","Estrada para Mendanha.",-18.140556,-46.51,,"Eugenia capparidifolia DC.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3282","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Faria, JEQ",2016,"","s.n.","","Silva Júnior, MC; Machado, ELM; Otoni, TJO",2014,12,6,"Brazil","Minas Gerais","Diamantina","Estrada para Mendanha.",-18.140556,-46.51,,"Eugenia capparidifolia DC.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","68188","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","V.A. Campos",2014,"","s.n.","","V.A. Campos",2014,,,"Brazil","Minas Gerais","Lima Duarte","RPPN Fazenda da Serra",,,"Árvore, ca 7m. Indivíduo FS1626. Dentro da parcela 23 da fitossociologia. Altitude 1070 m.s.m.","Eugenia capparidifolia DC.","",,"GBIF"
"","UNICAMP","UEC","182589","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Proença, CEB",2019,"","1004","","Mansano, VF; Pinto, RB;",2013,12,18,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque estadual do Rio Preto. Estrada para o restaurante.",,,"Folhas discolores. Flores com cálice e corola brancos. Subarbusto de 1m.","Eugenia capparidifolia DC.","",,"GBIF"
"","JBRJ","RB","RB00824866","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","M.Sobral",,"","1004","","V.F. Mansano; R.B. Pinto, M.F.O. da Silva, A.P. Fortuna, E.S. Candido, A. Soldevila",2013,12,18,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Estrada para o restaurante. Parque Estadual do Rio Preto",,,"Folhas discolores. Flores com cálice e corola brancos.","Eugenia capparidifolia DC.","",,"GBIF"
"","USP","SPF","201433","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Faria, JEQ",2012,"","634","","Santos, MF",2011,2,9,"Brazil","Minas Gerais","Grão Mogol",,,,,"Eugenia capparidifolia DC.","",,"GBIF"
"","NY","NY","02532176","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","J. E. Q. de Faria",2012,"","634","","M. F. Santos",2011,2,9,"Brazil","Minas Gerais",,"Margem do córrego Escura, proximo à estrada MG-307 (que da acesso a BR-251). Margem do corrego.",,,,"Eugenia capparidifolia DC.","",,"GBIF"
"","K","Herbarium","K000812412","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Mazine, F.F.",,"","634","","Santos, M.F.; Watanabe, M.T.C.; Gonella, P.S.M.; Sano, P.T.",2011,2,9,"Brazil",,"Grao-Mogol","Margem do corrego Escura, proximo a estrada MG-307 (que da acesso a BR-251).  Na beira da estrada.",,,,"Eugenia capparidifolia DC.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","95080","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Mazine, F.F.",,"","1048","","Savassi-Coutinho, A.P. et al.",2006,1,13,"Brazil","Minas Gerais","Diamantina",,,,,"Eugenia capparidifolia DC.","",,"GBIF"
"","UFSCar","SORO","7450","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","F.F. Mazine",2007,"","1048","","Savassi-Coutinho, A.P.; Souza, V.C.; Rando, J.G.",2006,1,13,"Brazil","Minas Gerais","Diamantina","2Km de Mendanha, em direção a Couto Magalhães. Cerrado pedregoso.",,,"Arbusto, ca.1,2m; botões verdes.","Eugenia capparidifolia DC.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","103775","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.",,,"","344","","Vidal, CV",2006,3,28,"Brazil","Minas Gerais","Diamantina","Cia Suzano Celulose, Gleba A",,,"Campo limpo/ Campo cerrado, subarbustivo.","Eugenia capparidifolia DC.","",,"GBIF"
"","UFSJ","HUFSJ","4536","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Sobral, M",2013,"","374","","Viana, CG",2006,3,30,"Brazil",,"Parna Caparaó.",,,,,"Eugenia capparidifolia DC.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","106219","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.",,2011,"","77598","","Hatschbach, GM; Hatschbach, M; Ribas, OS",2004,6,8,"Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, Morro da Torre",,,"Ereta, até 20cm, fruto amarelo. Cerrado rochoso; encosta do morro.; Ereta, até 20 cm, fruto amarelo.; Cerrado rochoso; encosta de morro.","Eugenia capparidifolia DC.","",,"GBIF"
"","K","Herbarium","K001018747","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Mazine, F.F.",,"","846","","Romão, G.O.; Mazine, F.F.; Vieira, S.",2003,2,22,"Brazil",,"Diamantina","Estrada Diamantina-Mendanha, a 17 km de Diamantina.",,,,"Eugenia capparidifolia DC.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","83098","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Mazine, F.F.",2009,"","845","","Mazine, F.F.; Vieira, S. ; Romão, G.O.",2003,2,22,"Brazil","Minas Gerais","Diamantina","Estrada Diamantina-Mendanha - A 17 km de Diamantina. 1000 m.s.m. Cerrado alterado.",,,"Arbusto ca. 60 cm. Frutos imaturos verdes. Amostras coletadas para análise macromolecular. Fotos.","Eugenia capparidifolia DC.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","83099","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Mazine, F.F.",2009,"","846","","Mazine, F.F.; Vieira, S. ; Romão, G.O.",2003,2,22,"Brazil","Minas Gerais","Diamantina","Estrada Diamantina-Mendanha - A 17 km de Diamantina. 1000 m.s.m. Cerrado alterado.",,,"Arbusto pendente ca. 1m. Flores passadas (com cálice) verde-esbranquiçadas. Fotos. Amostras coletadas para análise macromoelcular.","Eugenia capparidifolia DC.","",,"GBIF"
"","MBM","MBM","282789","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Sobral, M",,"","5236","","Lombardi, JA",2003,4,,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto",,,,"Eugenia capparidifolia DC.","",,"GBIF"
"","USP","SPF","160177","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Sobral, M",2003,"","5236","","Lombardi, JA",2003,4,5,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto",-18.12,-43.342778,,"Eugenia capparidifolia DC.","",,"GBIF"
"","K","Herbarium","K001018746","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.",,,"","28284","","Sampaio, D.; Souza, V.C.; Romão, G.O.; Elias, S.I.; Araujo, A.O.",2002,2,24,"Brazil",,"Turmalina","Estrada Turmalina-Itacambira, junto ao Rio Jequitinhonha.",-17.33,-43.08,,"Eugenia capparidifolia DC.","",,"GBIF"
"","JBRJ","RB","RB00934530","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","M. Sobral",2015,"","28284","","V.C. Souza; D. Sampaio, A.O. Araújo, G.O. Romão, S.I. Elias",2002,2,24,"Brazil","Minas Gerais","Turmalina","Itacambira, afloramento rochoso junto ao Rio Jequitinhonha.",-17.333333,-43.083333,"Arvoreta, ca. 2,5m alt.; botões verdes.","Eugenia capparidifolia DC.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","77782","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Mazine, F.F.",,"","28284","","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.",2002,2,24,"Brazil","Minas Gerais","Turmalina","Estrada Turmalina - Itacambira, afloramento rochoso junto ao Rio Jequitinhonha",-17.2,-43.05,"Arvoreta, ca. 2,5 m alt.; botões verdes. Mata ciliar.","Eugenia capparidifolia DC.","",,"GBIF"
"","USP","SPF","164730","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Faria, JEQ",2012,"","609","","Costa, FN",2002,6,21,"Brazil","Minas Gerais","Couto de Magalhães de Minas",,,,,"Eugenia capparidifolia DC.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","101538","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.",,2012,"","73760","","Hatschbach, GM; Hatschbach, M; Silva, JM",2002,8,23,"Brazil","Minas Gerais","Francisco Dumont","Serra do Cabral, Próximo ao Rio Preto.",,,"Subarbusto, 30 cm, flor alva.; Campo cerrado; solo rochoso.","Eugenia capparidifolia DC.","",,"GBIF"
"","UnB","UB","192287","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Faria, JEQ",2012,"","3315","","Tameirão Neto, E",2001,3,16,"Brazil","Minas Gerais","Turmalina","UHE Irapé, Rio Jequitinhonha.",,,"Floresta ciliar, arbóreo.","Eugenia capparidifolia DC.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","34141","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","F.F. Mazine",2004,"","377","","R.M. Castro; et al.",2001,5,20,"Brazil","Minas Gerais","Lima Duarte","Serra de Ibitipoca, P.E. do Ibitipoca e Pedra do Gavião",,,"arvoreta ca. 6m de alt. na borda de mata, na encosta, próximo ao curso d'água. Frutos imaturos esverdeados e maduros vermelhos","Eugenia capparidifolia DC.","",,"GBIF"
"","MBM","MBM","346577","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Mazine, FF",2004,"","377","","Castro, RM",2001,5,20,"Brazil","Minas Gerais","Lima Duarte","Conceição do Ibitipoca",,,"Arvoreta ca. 6,0m de altura na borda de mata, na encosta, próximo ao curso dágua. Frutos imaturos esveados e maduros vermelhos","Eugenia capparidifolia DC.","",,"GBIF"
"","USP","SPF","184727","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","Mazine, FF",2004,"","377","","Castro, RM",2001,5,20,"Brazil","Minas Gerais","Lima Duarte","Conceição do Ibitipoca",,,,"Eugenia capparidifolia DC.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","36401","Eugenia capparidifolia","","Myrtaceae","Eugenia","capparidifolia","","DC.","M. Sobral",2010,"","s.n.","","L. Meireles; E.D. Silva",2000,12,7,"Brazil","Minas Gerais","Juiz de Fora","Reserva Biológica de Santa Cândida",,,"Arbusto na borda da mata com folhas discolores com glândulas endentes, botões florais róseos.","Eugenia capparidifolia DC.","",,"GBIF"
