"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNIVILLE","JOI","17972","Eugenia chlorophylla","","Myrtaceae","Eugenia","chlorophylla","","O.Berg","Vieira, F.C.S.",2019,"","2389","","Vieira, F.C.S.",2019,1,3,"Brazil","Santa Catarina","Campo Alegre","Encostas ocidentais inferiores do Quiriri, junto ao rio Negro.",,,"Flor BotÃ£o","Eugenia chlorophylla O.Berg","",,"GBIF"
"","UNIVILLE","JOI","18144","Eugenia chlorophylla","","Myrtaceae","Eugenia","chlorophylla","","O.Berg","Vieira, F.C.S.",2019,"","2897","","Vieira, F.C.S.",2018,12,3,"Brazil","Santa Catarina","Joinville","Estrada Laranjeiras.",-26.180278,-49.171389,,"Eugenia chlorophylla O.Berg","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","23917","Eugenia chlorophylla","","Myrtaceae","Eugenia","chlorophylla","","O.Berg","M.L. Brotto",2017,"","4564","","E. Barboza",2017,4,19,"Brazil","Pr","Adrianópolis","Estrada de Pacas ao Parque Estadual das",-24.854722,-48.726944,"arvoreta com 5 m de altura; frutos verdes.","Eugenia chlorophylla O.Berg","",,"GBIF"
"","MBM","MBM","409112","Eugenia chlorophylla","","Myrtaceae","Eugenia","chlorophylla","","O.Berg","Brotto, ML",2017,"","4564","","Barboza, E",2017,4,19,"Brazil","Paraná","Adrianópolis","Estrada de Pacas ao Parque Estadual das Lauráceas, Berneck",-24.854722,-48.726944,"Arvoreta com 5 m de altura; frutos verdes.; Floresta Ombrófila Densa Montana.","Eugenia chlorophylla O.Berg","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","60722","Eugenia chlorophylla","","Myrtaceae","Eugenia","chlorophylla","","O.Berg","Brotto, M.L.",2017,"","4564","","Barboza, E.; Silva, J.M.; Brotto, M.L.",2017,4,19,"Brazil","Paraná","Adrianópolis","Estrada de Pacas ao Parque Estadual das Lauráceas.",-24.854722,-48.726944,"frutos verdes. Habitat: Floresta ombrófila densa montana. Habito: Arvoreta","Eugenia chlorophylla O.Berg","",,"GBIF"
"","JBRJ","RB","RB01409172","Eugenia chlorophylla","","Myrtaceae","Eugenia","chlorophylla","","O.Berg","M.L. Brotto",2017,"","4564","","E. Barbosa; J.M. Silva; M.L. Brotto",2017,4,19,"Brazil","Paraná","Adrianópolis","Estrada de Pacas ao Parque Estadual das Lauráceas, Berneck.",-24.854722,-48.726944,,"Eugenia chlorophylla O.Berg","",,"GBIF"
"","JBRJ","RB","RB01410586","Eugenia chlorophylla","","Myrtaceae","Eugenia","chlorophylla","","O.Berg","T.G. Rau",,"","11","","T.G. Rau; M.L. Brotto; P.C. Ferreira;  E.D. Lozano",2017,5,6,"Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos, trilha para a cachoeira.",-25.867222,-48.970833,,"Eugenia chlorophylla O.Berg","",,"GBIF"
"","MBM","MBM","409033","Eugenia chlorophylla","","Myrtaceae","Eugenia","chlorophylla","","O.Berg","Rau, TG",2017,"","11","","Rau, TG",2017,5,6,"Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos, trilha para cachoeira",-25.867222,-48.970833,"Árvore ca. 7 m, frutos maduros laranjas, frutos imaturos verdes.; Relevo: fortemente ondulado. Vegetação: Floresta Ombrófila Densa Montana, estágio avançado.","Eugenia chlorophylla O.Berg","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","22342","Eugenia chlorophylla","","Myrtaceae","Eugenia","chlorophylla","","O.Berg","M.L. Brotto",2016,"","9453","","J.M. Silva",2016,9,27,"Brazil","Pr","Adrianópolis","Parque Estadual das Lauráceas",-24.848611,-48.667222,"árvore com 5 m de altura; flores alvas.","Eugenia chlorophylla O.Berg","",,"GBIF"
"","IF","SPSF","51812","Eugenia chlorophylla","","Myrtaceae","Eugenia","chlorophylla","","O.Berg","M.L. Brotto",2016,"","9453","","J.M. Silva & M.L. Brotto & R.R. Völtz",2016,9,27,"Brazil","Pr","Adrianópolis","Parque estadual das lauráceas",-24.848611,-48.667222,"COLETA: Árvore com 5 m de altura; flores alvas.; GEOGRAFIA: Floresta Ombrófila Densa Montana.;","Eugenia chlorophylla O.Berg","",,"GBIF"
