"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01337377","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","J.E.Q.Faria",,"","6072","","J.E.Q. Faria; D.S. Batista; R.S. Takahashi",2016,6,29,"Brazil","Minas Gerais","Conceição do Mato Dentro","Solidão, Fazenda da Boa Esperança, propriedade da Anglo American",-18.924444,-43.477778,,"Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UFES","VIES","29995","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","A.O. Giaretta",2017,"","208","","Broggio, I.S.; Kaique, L.P.M.",2014,2,6,"Brazil","Espírito Santo","Linhares","Regência.",,,,"Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UFES","VIES","26606","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","A. Giaretta",2017,"","234","","Mattedi, A.D.; Brahim, K.A.",2012,7,9,"Brazil","Rio de Janeiro","São João da Barra",,,,,"Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","JBRJ","RB","RB00823000","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","M. Souza",,"","794","","E.M. Saddi et. al.;",2012,7,19,"Brazil","Espírito Santo","Marilândia","Parcela 10 para os estudos do EIA do Mineroduto Morro do Pilar/MG - Linhares/ES.",-19.45,-40.466667,"Árvore ca 6m de alt.; Mata próxima a rio de pequeno porte. Frutos enegrecidos ao longo dos ramos.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","FZB-BH","BHZB","9587","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","M.Sobral",2013,"","709","","Ferreira Junior, C.A. et al.",2012,11,28,"Brazil","Mg","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo do Gerais",,,"Ao lado da mata.s/ponto,","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UFSJ","HUFSJ","4271","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","Sobral, M",2013,"","709","","Ferreira Júnior",2012,11,28,"Brazil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo do Gerais.",,,"Porte arbustivo. Frutos vermelhos quando maduros.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UEFS","HUEFS","184131","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","L.Lucresia",2019,"","1363","","Faria, J.E.Q.",2011,7,25,"Brazil","Minas Gerais",,"Parque Nacional Serra do Cipó, próximo a sede do Parque.",-19.349722,-43.618611,"Cerradão.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UEFS","HUEFS","181661","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","A.Stadnik",2019,"","485","","Silva, C.",2011,10,11,"Brazil","Minas Gerais","Diamantina","Área de Campo Rupestre próxima à entrada de Diamantina, km 588 da BR 367, estrada para a antena. 1320m alt.",-18.216667,-43.6,,"Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","USP","SPF","201051","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.",,,"","33","","Siniscalchi, CM",2010,6,15,"Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó",,,,"Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","MBML","MBML-HERBARIO","44414","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","A. Giaretta/20-09-2017",,"","373","","L. Daneu; K.V. Hmeljeviski, L.C. Gomes & G.M. Carvalho",2010,8,26,"Brazil","Bahia","Guaratinga","Pedra do Oratório, à 2 km de Guaratinga. Floresta semi-decídua",-16.596944,-39.913889,"Arbusto ca 2m alt., folhas levemente discolor. Frutos maduros alaranjados. Base da Pedra do Oratório","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UFSJ","HUFSJ","3315","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","Sobral, M",2012,"","6322","","Folli, DA",2009,4,2,"Brazil","Espírito Santo","Linhares",,,,"Porte arbóreo, botão verde, flor branca, fuste cilindrico, superficie da casca áspera. Altura total 3m. Altura da fuste 2m. Diâmetro da copa 3m.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","Reserva Natural Vale","CVRD","12110","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","Marcos Sobral",2012,"","6322","","Folli, D.A.",2009,4,2,"Brazil","Es","LINHARES",,-19.289629,-40.105599,"<ll>dwc_commonname:</ll> Batinga juparanã","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UFSCar","SORO","7502","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","M.Sobral",2012,"","6322","",,2009,4,2,"Brazil","Espírito Santo","Linhares","Fazenda Pianna. Mata Ciliar. UTM X:383833 Y:7866755.",,,"Nome vulgar: Batinga juparanã; Altura: 3m; Porte: Arbóreo; Forma de vida: terrestre; Cor/Botão: verde; Cor/Flor: branca.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","Reserva Natural Vale","CVRD","12570","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","Geovane S. Siqueira",2019,"","6428","","Folli, D.A.",2009,9,22,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Batinga juparanã","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UEFS","HUEFS","138872","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","L.Lucresia",2019,"","521","","Mendes, M.S.",2008,4,,"Brazil","Bahia","Caetité","Região de Brejinho das Ametistas; Área da Bahia Mineração.",-14.328333,-42.534444,"Cerrado.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UEFS","HUEFS","139221","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","L.Lucresia",2019,"","519","","Mendes, M.S.",2008,4,,"Brazil","Bahia","Caetité","Região de Brejinho das Ametistas; Área da Bahia Mineração.",-14.328333,-42.534444,"Cerrado.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UEFS","HUEFS","140773","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","L.Lucresia",2019,"","520","","Mendes, M.S.",2008,4,,"Brazil","Bahia","Caetité","Região de Brejinho das Ametistas; Área da Bahia Mineração.",-14.358889,-42.537222,"Campo rupestre sobre canga.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","Reserva Natural Vale","CVRD","11643","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","Geovane S. Siqueira",2019,"","6167","","Folli, D.A.",2008,7,2,"Brazil","Es","LINHARES",,-19.059848,-39.913875,"Próximo ao Rio Barrra Seca. <ll>dwc_commonname:</ll> Batinga juparanã","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UFSJ","HUFSJ","3314","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","Sobral, M",2012,"","5619","","Folli, DA",2007,6,17,"Brazil","Espírito Santo","Linhares","Clube do Linhares Lagoa Juparanã.",,,"Porte arbóreo, fruto imaturo verde. Fuste cilindrica. Superficia da casca áspera. Altura total 3m. Altura da fuste 2m. Diâmetro da copa 2m.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","Reserva Natural Vale","CVRD","10310","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","Marcos Sobral",2012,"","5619","","Folli, D.A.",2007,6,17,"Brazil","Es","LINHARES","Clube do Linhares Lagoa Juparanã",,,"<ll>dwc_commonname:</ll> Batinga juparanã","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UFSCar","SORO","7503","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","M.Sobral",2012,"","5916","",,2007,6,17,"Brazil","Espírito Santo","Linhares","Clube do Linhares Lagoa juparanã. Mata ciliar.",,,"Nome vulgar: Batinga juparanã; Altura: 3m; Porte: Arbóreo; Forma de vida: terrestre; Cor fruto imaturo: verde.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","Reserva Natural Vale","CVRD","10386","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","Geovane S. Siqueira",2015,"","5675","","Folli, D.A.",2007,8,22,"Brazil","Es","CONCEIÇÃO DA BARRA",,,,"<ll>dwc_commonname:</ll> Batinga juparanã","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","MBML","MBML-HERBARIO","31438","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","M. Sobral/2008",,"","10021","","L. Kollmann; A. P. Fontana",2007,8,9,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",-19.971389,-40.530278,"Arvoreto 5m no sol. Beira de rio. Frutos imaturos vermelhos.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UFSCar","SORO","7504","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","G.S. Siqueira",2015,"","5675","",,2007,8,22,"Brazil","Espírito Santo","Conceição da Barra","Dunas de Itaúnas. Restinga.",,,"Nome vulgar: Batinga juparanã; Altura: 2,5m; Porte: Arbóreo; Forma de vida: terrestre; Cor fruto amduro: roxo; Cor fruto imaturo: verde.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UEFS","HUEFS","107626","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","L.Lucresia",2019,"","5428","","França, F.",2006,2,17,"Brazil","Bahia","Campo Formoso","Tuiutiba (Socotó)",-10.400556,-40.251389,,"Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","Reserva Natural Vale","CVRD","9648","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","A. Giaretta",2015,"","10","","Mergace, J.",2006,6,28,"Brazil","Es","SÃO MATEUS",,,,"Guriri - Barra Nova <ll>dwc_commonname:</ll> Batinga juparanã","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
"","UFSCar","SORO","7501","Eugenia ellipsoidea","","Myrtaceae","Eugenia","ellipsoidea","","Kiaersk.","A.Giaretta",2015,"","10","",,2006,6,28,"Brazil","Espírito Santo","São Mateus","Guriri - Barra Nova. Restinga.",,,"Nome vulgar: Batinga juparanã; Altura: 1,5m; Porte: Arbustivo; Forma de vida: terrestre; Cor fruto maduro: roxo; Cor fruto imaturo: verde.","Eugenia ellipsoidea Kiaersk.","",,"GBIF"
