"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01359061","Eugenia flamingensis","","Myrtaceae","Eugenia","flamingensis","","O.Berg","G.S. Siqueira",,"","7518","","D.A. Folli",2016,12,5,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Aceiro Viveiro.",-19.218333,-40.095,,"Eugenia flamingensis O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","121158","Eugenia flamingensis","","Myrtaceae","Eugenia","flamingensis","","O.Berg","Gomes, FS",2013,"","1377","","Gomes, FS",2013,5,13,"Brazil","Bahia","Una",,-15.172222,-39.218333,"Material Estéril.","Eugenia flamingensis O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","121352","Eugenia flamingensis","","Myrtaceae","Eugenia","flamingensis","","O.Berg","Gomes, FS",2013,"","1570","","Gomes, FS",2013,5,13,"Brazil","Bahia","Una",,-15.248056,-39.159444,"Material estéril. 50.2, parcela 03.","Eugenia flamingensis O.Berg","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","140725","Eugenia flamingensis","","Myrtaceae","Eugenia","flamingensis","","O.Berg","Sem Informação",,"","464","","Lopes, L.C.M.",2012,5,26,"Brazil","Bahia","UNA",,,,,"Eugenia flamingensis O.Berg","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","62907","Eugenia flamingensis","","Myrtaceae","Eugenia","flamingensis","","O.Berg","K. Antunes",2012,"","250","","J.H.C. Ribeiro; C.R. Fonseca; D.S. Santiago",2012,8,23,"Brazil","Minas Gerais","Rio Preto","Serra Negra, Trilha para o Ninho da Égua. Coordenadas UTM: Zona 23k, 614553.693E, 7569205.817N (Datum: WGS 84). Altitude: 1330 m.s.m.",-21.977778,-43.890556,"Arvoreta, 5m, sobre solo quartzitico. Indivíduo 1477 fitossociologia.","Eugenia flamingensis O.Berg","",,"GBIF"
"","USP","SPF","229255","Eugenia flamingensis","","Myrtaceae","Eugenia","flamingensis","","O.Berg","Giaretta, A",2016,"","292","","Lopes, JC",2011,4,20,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",-19.1395,-40.485806,,"Eugenia flamingensis O.Berg","",,"GBIF"
"","IAC","IAC","56489","Eugenia flamingensis","","Myrtaceae","Eugenia","flamingensis","","O.Berg","A.C.O. Souza et al.",2011,"","111","","A.C.O. Souza; L.C. Bernacci & R. Belinelo",2011,7,18,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",-23.360372,-45.109914,,"Eugenia flamingensis O.Berg","",,"GBIF"
"","NY","NY","02532191","Eugenia flamingensis","","Myrtaceae","Eugenia","flamingensis","","O.Berg","M. Sobral",2011,"","617","","M. F. Santos",2010,12,15,"Brazil","Goiás",,"Estrada GO-239, lado direito (sentido da GO-118). Na beira da estrada",-14.15703,-47.59897,,"Eugenia flamingensis O.Berg","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","50356","Eugenia flamingensis","","Myrtaceae","Eugenia","flamingensis","","O.Berg","M. Sobral",2012,"","232","","N.L. Abreu; L. Menini Neto",2008,5,11,"Brazil","Minas Gerais","Lima Duarte","Serra Negra, Fazenda Serra Negra, município de Monte Verde.",,,"Arbusto ca. 1,5m em campo rupestre. Folhas verdes discolores, frutos verdes.","Eugenia flamingensis O.Berg","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","50672","Eugenia flamingensis","","Myrtaceae","Eugenia","flamingensis","","O.Berg","M. Sobral",2011,"","568","","L. Menini Neto; N.L. Abreu",2008,5,9,"Brazil","Minas Gerais","Lima Duarte","Fazenda Serra Negra, 21º56'38,7""S, 43º50'20,3""W",,,"Arvoreta, ca. 3 m alt., frequente, no campo rupestre arbustivo, folhas discolores, frutos imaturos verdes, passando a vináceos.","Eugenia flamingensis O.Berg","",,"GBIF"
