"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFPB","JPB","63845","Eugenia luschnathiana","","Myrtaceae","Eugenia","luschnathiana","","(O.Berg) Klotzsch ex B.D.Jacks.","Lourenço, AR",2018,"","s.n.","","Castro, R",2018,1,20,"Brazil","Rio Grande do Norte","Pipa","Nas proxímidades de Pipa",,,"Fruto amarelo, semelhante a pitanga, 3 a 4 metros, presente na margem; HABITAT: Mata de Restinga","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.","",,"GBIF"
"","JBRJ","RB","RB01389987","Eugenia luschnathiana","","Myrtaceae","Eugenia","luschnathiana","","(O.Berg) Klotzsch ex B.D.Jacks.","M.Sobral",,"","2241","","A. A. Roque",2018,2,2,"Brazil","Rio Grande do Norte","São Miguel Do Gostoso","Área do Empreendimento Pure Resorts",-5.117222,-35.660556,"Folhas verde-escuras. Flores brancas","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.","",,"GBIF"
"","UNITINS","HUTO","7227","Eugenia luschnathiana","","Myrtaceae","Eugenia","luschnathiana","","(O.Berg) Klotzsch ex B.D.Jacks.",,,"","2220","","Roque, A.A.",2018,2,7,"Brazil","Rio Grande do Norte","Tibau do Sul","Parque Estadual Mata de Pipa. Caminho do Galhardo",-6.413889,-35.101389,"Árvore com cerca de 4 m de altura. Folhas verde-claras. Flores brancas, cálice verde.; Mata Atlântica.","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.","",,"GBIF"
"","UEFS","HUEFS","242075","Eugenia luschnathiana","","Myrtaceae","Eugenia","luschnathiana","","(O.Berg) Klotzsch ex B.D.Jacks.",,,"","2220","","Roque, A.A.",2018,2,7,"Brazil","Rio Grande do Norte","Tibau do Sul","Parque Estadual Mata de Pipa. Caminho do Galhardo.",-6,-35,"Mata Atlântica.","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","22219","Eugenia luschnathiana","","Myrtaceae","Eugenia","luschnathiana","","(O.Berg) Klotzsch ex B.D.Jacks.",,,"","1935","","A.A.Roque",2017,2,9,"Brazil","Rio Grande do Norte","Natal","Parque Estadual Dunas de Natal",-5.813097,-35.192089,"Árvore ca. 4 m alt.;folhas concolores verde-claras; flores brancas; frutos imaturos verdes e maduros amarelos.","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.","",,"GBIF"
"","JBRJ","RB","RB01377785","Eugenia luschnathiana","","Myrtaceae","Eugenia","luschnathiana","","(O.Berg) Klotzsch ex B.D.Jacks.","E.O.Moura",,"","2","","M.H.Costa-Araújo; J.E.Silvano",2016,10,22,"Brazil","Rio Grande do Norte","Natal","Zona de Proteção Ambiental (ZPA-5). Região Lagoinha. Bairro: Ponta Negra",-5.8725,-35.198611,,"Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.","",,"GBIF"
"","UEFS","HUEFS","197964","Eugenia luschnathiana","","Myrtaceae","Eugenia","luschnathiana","","(O.Berg) Klotzsch ex B.D.Jacks.","J.L.Costa-Lima",2016,"","494","","Marinho, L.C.",2013,10,15,"Brazil","Rio Grande do Norte","Natal","Parque das Dunas, trilha do catolés. Trilha da geologia.",,,"Restinga.","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.","",,"GBIF"
"","FR","Herbarium Senckenbergianum","FR-0115319","Eugenia luschnathiana","","Myrtaceae","Eugenia","luschnathiana","","(O.Berg) Klotzsch ex B.D.Jacks.",,,"",,"",,2013,10,13,"Brazil",,,"Timbau do Sul, proximidades do Santuario Ecologico de Pipa",,,,"Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.","",,"GBIF"
"","UFSJ","HUFSJ","6707","Eugenia luschnathiana","","Myrtaceae","Eugenia","luschnathiana","","(O.Berg) Klotzsch ex B.D.Jacks.",,,"","3140","","Faria, JEQ",2012,12,3,"Brazil","Minas Gerais",,"Margem da estrada de terra da Cabeça de Boi (Santana do Rio Negro) para a Cachoeira do Chiquinho, morro em frente à Cachoeira",-19.415,-43.430833,"Árvore ca. 5 m de altura, caule liso castanho a dourado, flores brancas. (coletado material em sílica gel)","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.","",,"GBIF"
"","UnB","UB","199197","Eugenia luschnathiana","","Myrtaceae","Eugenia","luschnathiana","","(O.Berg) Klotzsch ex B.D.Jacks.","Faria, JEQ",2012,"","3140","","Faria, JEQ",2012,12,3,"Brazil","Minas Gerais","Itambé do Mato Dentro","Margem da estrada de terra da Cabeça de Boi (Santana do Rio Negro) para a Cachoeira do Chiquinho, morro em frente à Cachoeira",-19.415,-43.430833,"Árvore ca. 5 m de altura, caule liso castanho a dourado, flores brancas. (coletado material em sílica gel); Floresta ombrófila em encosta de morro","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.","",,"GBIF"
