"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Paraná, UFPR","EFC","18645","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Souza, I.",2019,"","596","","Souza, I.",2019,9,5,"Brazil","Rio de Janeiro","Silva Jardim","REBIO Poço das Antas",-22.567048,-42.268041,"Árvore 7 m, frutos imaturos amarelo-esverdeados, maduros vinosos, ligeiramente achatados, folhas discolores, face adaxial verde lustrosa e abaxial verde-ferrugínea, tricomas ferrugíneos.","Eugenia macrosperma DC.","",,"GBIF"
"","JBRJ","RB","RB01390949","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","L.F. Gonçalves",,"","419","","L.F.Gonçalves",2017,4,25,"Brazil","Rio de Janeiro","Petrópolis","Parque Nacional da Serra dos Órgãos. Trilha do Alcobaça. Parque Nacional da Serra dos Órgãos",-22.474167,-43.113889,"Árvore aprox. 6m., folhas com indumento ferrugineo na face abaxial. Flores ainda em botão.","Eugenia macrosperma DC.","",,"GBIF"
"","USP","SPF","223481","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Giaretta, A",2016,"","1463","","Giaretta, A",2015,1,27,"Brazil","Rio de Janeiro","Rio de Janeiro","Baixo Gávea. Remanescente perturbado de floresta sobre morro. Acesso sobre a Vila do Major.",-22.970667,-43.229556,"Árvore ca. 6 m alt. Fruto verde. Frequente. Amostra em sílica.","Eugenia macrosperma DC.","",,"GBIF"
"","JBRJ","RB","RB00853075","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","M. sobral",2014,"","373","","I.G. Costa",2014,2,21,"Brazil","Rio de Janeiro","Cardoso Moreira","Localidade de Vinhático. Sítio de Isque.",,,"Arbusto, ca. 3m; folha pulvinada de resina ferrugínea; frutos, em formação e imaturo, ferrugíneo","Eugenia macrosperma DC.","",,"GBIF"
"","UFPR","UPCB","81051","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Ribeiro, C.L.",2019,"","907","","Caddah, M.K.",2013,12,8,"Brazil","Rio de JAneiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha suspensa.",-22.453,-43,"Frutos verdes..","Eugenia macrosperma DC.","",,"GBIF"
"","UFSJ","HUFSJ","5808","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Faria, JEQ",2012,"","2509","","Faria, JEQ; Staggemeier, VG; Siqueira, G",2012,3,30,"Brazil","Espírito Santo","Linhares","Resereva Natural da Vale do Rio Doce, margem do aceiro Calimã, marco de ferro",-19.095,-39.960278,"Árvore ca. 5 m de altura, caule rugoso esbranquiçado, fruto imaturo verde","Eugenia macrosperma DC.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14164","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","J.E.Q. Faria",2012,"","2509","","J.E.Q. Faria",2012,3,30,"Brazil","Es","LINHARES",,-19.093611,-39.955278,"Árvore ca. 5 m de altura, caule rugoso esbranquiçado, fruto imaturo verde <ll>dwc_commonname:</ll> Cambucá preto","Eugenia macrosperma DC.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14169","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","J.E.Q. Faria",2012,"","2526","","J.E.Q. Faria",2012,3,31,"Brazil","Es","LINHARES",,-19.165,-39.939167,"Árvore ca. 10 m de altura, caule fissurado, fruto imaturo verde <ll>dwc_commonname:</ll> Cambucá preto","Eugenia macrosperma DC.","",,"GBIF"
"","UnB","UB","191608","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Faria, JEQ",2012,"","2509","","Faria, JEQ; Staggemeier, VG; Siqueira, GS",2012,3,30,"Brazil","Espírito Santo","Linhares","Resereva Natural da Vale do Rio Doce, margem do aceiro Calimã, marco de ferro",-19.095,-39.960278,"Árvore ca. 5 m de altura, caule rugoso esbranquiçado, fruto imaturo verde; Mata de tabuleiro","Eugenia macrosperma DC.","",,"GBIF"
"","UnB","UB","191622","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Faria, JEQ",2012,"","2526","","Faria, JEQ; Staggemeier, VG",2012,3,31,"Brazil","Espírito Santo","Linhares","Resereva Natural da Vale do Rio Doce, estrada Flamengo",-19.165,-39.939167,"Árvore ca. 10 m de altura, caule fissurado, fruto imaturo verde (coletado material em sílica gel); Mussununga","Eugenia macrosperma DC.","",,"GBIF"
"","K","Herbarium","K001051660","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.",,,"","2509","","Siqueira, G.S.; FAria, J.E.Q.; Staggemeier, V.G.",2012,3,30,"Brazil",,"Linhares","Reserva Natural da Vale do Rio Doce, margem do aceiro Calimã, marco de ferro.",,,,"Eugenia macrosperma DC.","",,"GBIF"
"","K","Herbarium","K001051661","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.",,,"","2526","","FAria, J.E.Q.; Staggemeier, V.G.",2012,3,31,"Brazil",,"Linhares","Reserva Natural da Vale do Rio DOce, estrada Flamengo.",,,,"Eugenia macrosperma DC.","",,"GBIF"
"","JBRJ","RB","RB00846057","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","J.E.Q. Faria",,"","2509","","J.E.Q. Faria; V.G. Staggemeier; G.S. Siqueira",2012,3,30,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce, margem do aceiro Calimã, marco de ferro.",-19.095,-39.960278,"Árvore ca. 5m de altura, caule rugoso esbranquiçado, fruto imaturo verde","Eugenia macrosperma DC.","",,"GBIF"
"","UFES","VIES","38357","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","A. Giaretta",2017,"","1147","","Flores, T.B.; Romão, G.O.",2012,8,25,"Brazil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama.",,,,"Eugenia macrosperma DC.","",,"GBIF"
"","JBRJ","RB","RB00722992","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.",,,"",,"","Pablo J.F.P.Rodrigues",2012,,,"Brazil","Rio de Janeiro","Rio de Janeiro","Local OB2. Parcela 5. Nº indivíduo 343. Levantamento Fitossociológico. REBIO  Tinguá",-23.475,-43.926667,"Arvoreta com DAP 6 cm, em 2012, e 5,4 m de altura.","Eugenia macrosperma DC.","",,"GBIF"
"","UEFS","HUEFS","188817","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.",,,"","1275","","Matos, E.N.de",2011,10,22,"Brazil","Bahia","Una","Fazenda Bolandeira",-15.311111,-39.004722,"Restinga. Floresta.","Eugenia macrosperma DC.","",,"GBIF"
"","UFPR","UPCB","69831","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Ribeiro, C.L.",2019,"","1212","","Goldenberg, R.",2008,7,22,"Brazil","Espírito Santo","Cariacica","BLOQUEADO",,,"Árvore 8m. Frutos imaturos bege-esverdeados, com cálice persistente e pardacento.","Eugenia macrosperma DC.","",,"GBIF"
"","UFSJ","HUFSJ","2299","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Folli, DA",2007,"","5477","","Folli, DA",2007,1,23,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",,,"Porte arbóreo, botão marrom, flor branca, seiva incolor, fuste cilindrica, casca áspera.","Eugenia macrosperma DC.","",,"GBIF"
"","Reserva Natural Vale","CVRD","9959","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Domingos A. Folli",2007,"","5477","","Folli, D.A.",2007,1,23,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Cambucá preto","Eugenia macrosperma DC.","",,"GBIF"
"","NY","NY","01198718","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","M. Sobral",2010,"","781","","R. A. X. Borges",2007,2,13,"Brazil","Bahia",,"Assentamento Pedra Bonita, aproximadamente 20 km da rodovia vicinal de Itamaraju sentido Jucuruçu.",-16.8386,-39.6314,,"Eugenia macrosperma DC.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","72685","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","M. C. Souza",,"","268","","N. Marquete",2007,6,2,"Brazil","Rio de Janeiro","rio de janeiro","Area do Entorno do Jardim Botanico, subida prox. ao orquidario acima do tunel. Parque Lage.",,,,"Eugenia macrosperma DC.","",,"GBIF"
"","Reserva Natural Vale","CVRD","11351","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Marcelo C. Souza",2007,"","537","","Souza, M.C.",2007,6,7,"Brazil","Es","LINHARES",,,,"Bloco B Trat. 4 <ll>dwc_commonname:</ll> Cambucá preto","Eugenia macrosperma DC.","",,"GBIF"
"","MBML","MBML-HERBARIO","35297","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.",,,"","539","","M. C. Souza; et al",2007,6,7,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce",-19.118611,-39.902561,,"Eugenia macrosperma DC.","",,"GBIF"
"","K","Herbarium","K001018136","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.",,,"","539","","Siqueira, G.; Souza, M.C.; Iganci, J.R.V.; Morim, M.P.; Nunes, N.L.",2007,6,7,"Brazil",,"Linhares","Reserva Natural da Vale do Rio Doce. Estrada da Gávea, Bloco B4. [19 Symbol=degree 07´7"" S, 39 symbol=degree 54´922"" W.]",,,,"Eugenia macrosperma DC.","",,"GBIF"
"","MO","MO","100203013","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.",,,"","Souza 539","","M. C. Souza|M.P. Morim|G.S. Siqueira|João R. V. Iganci|N.L. Nunes",2007,6,7,"Brazil","Espírito Santo",,"Linhares. Reserva Natural da Vale do Rio Doce. Estrada da Gávea, Bloco B4.",,,,"Eugenia macrosperma DC.","",,"GBIF"
"","USP","SPF","183349","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Anônimo",,"","539","","Souza, MC",2007,6,7,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",-19.118611,-39.925556,,"Eugenia macrosperma DC.","",,"GBIF"
"","JBRJ","RB","RB00493040","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.",,,"","539","","M.C.Souza; M.P.Morim, G.Siqueira, J.Iganci, N.L.Nunes",2007,6,7,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce. Estrada da Gávea, Bloco B4.",-19.118611,-40.156111,"Árvore de 13 metros de altura, com frutos. Tronco escamanta.","Eugenia macrosperma DC.","",,"GBIF"
"","NY","NY","1019458","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.",,,"","539","","M. da C. Souza",2007,6,7,"Brazil","Espírito Santo",,"Reserva Natural da Vale do Rio Doce. Estrada da Gávea, Bloco B4.",-19.1186,-39.902561,,"Eugenia macrosperma DC.","",,"GBIF"
"","UFSJ","HUFSJ","2860","Eugenia macrosperma","","Myrtaceae","Eugenia","macrosperma","","DC.","Siqueira, GS",2007,"","343","","Siqueira, GS",2007,7,23,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",,,"Porte arbóreo, fruto maduro preto, fruto imaturo verde, fuste cilindrica, superficie da casca áspera, altura total 7m, altura da fuste 3m, diâmetro da copa 4m.","Eugenia macrosperma DC.","",,"GBIF"
