"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFRB","HURB","17138","Eugenia mandioccensis","","Myrtaceae","Eugenia","mandioccensis","","O.Berg",,,"",,"","Almeida, T.",2016,3,21,"Brazil","Bahia","Salvador","Ipitanga; APA Joanes",,,"P99 A3.","Eugenia mandioccensis O.Berg","",,"GBIF"
"","UFRB","HURB","14355","Eugenia mandioccensis","","Myrtaceae","Eugenia","mandioccensis","","O.Berg",,,"","263","","Victor Jr., V.",2013,1,18,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Eugenia mandioccensis O.Berg","",,"GBIF"
"","UFRB","HURB","14354","Eugenia mandioccensis","","Myrtaceae","Eugenia","mandioccensis","","O.Berg",,,"","1009","","Victor Jr., V.",2013,1,11,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Eugenia mandioccensis O.Berg","",,"GBIF"
"","MBML","MBML-HERBARIO","30233","Eugenia mandioccensis","","Myrtaceae","Eugenia","mandioccensis","","O.Berg","M. Sobral/Março-2016",,"","4079","","V. Demuner; R. R. Vervloet, M. Belisario e Elias Bausen.",2007,5,29,"Brazil","Espírito Santo","Santa Leopoldina","Colina Verde (Morro do Agudo), propr.: Israel Elias Ramos (trilha da casa).",-20.107778,-40.442222,"Arvoreta 7m frutos imaturos verdes. Interior de mata.","Eugenia mandioccensis O.Berg","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","123494","Eugenia mandioccensis","","Myrtaceae","Eugenia","mandioccensis","","O.Berg","Sem Informação",,"","1","","Piotto, D.",2007,6,1,"Brazil","Bahia","URUÇUCA","Parque Estadual da Serra do Conduru",-14.416667,-39.083333,"Floresta secundária, idade: 40 anos, sítio: 3 , linha: 1 , #: 1 , dist.: 0.5 , dap: 5.7 cm, altura: 9 m","Eugenia mandioccensis O.Berg","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","91228","Eugenia mandioccensis","","Myrtaceae","Eugenia","mandioccensis","","O.Berg",,2005,"","2023","","Fiaschi, P; Amorim, A; Paixão, JL; Martini, A; Evandro",2004,3,17,"Brazil","Bahia","Itacaré","Estrada de Itacaré para Ubaitaba., Km 8. Fazenda da Serraria. Área do inventário do plano de manejo.",-14.351389,-39.065278,"Arvoreta ca. 3m alt. Folhas discolores. Frutos amarelo-pálidos.","Eugenia mandioccensis O.Berg","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","102512","Eugenia mandioccensis","","Myrtaceae","Eugenia","mandioccensis","","O.Berg","M. Sobral",,"","2023","","P. Fiaschi",2004,3,17,"Brazil","Bahia","ITACARÉ","Estrada Itacaré/Ubaitaba, Km 8. Fazenda da serraria. Área do inventário do plano de manejo.",-14.351389,-39.065278,,"Eugenia mandioccensis O.Berg","",,"GBIF"
"","USP","SPF","165665","Eugenia mandioccensis","","Myrtaceae","Eugenia","mandioccensis","","O.Berg","Giaretta, A",2016,"","2023","","Fiaschi, P",2004,3,17,"Brazil","Bahia","Itacaré",,-14.351389,-39.065278,,"Eugenia mandioccensis O.Berg","",,"GBIF"
"","NY","NY","01197862","Eugenia mandioccensis","","Myrtaceae","Eugenia","mandioccensis","","O.Berg","M. Sobral",2011,"","2023","","P. Fiaschi",2004,4,2,"Brazil","Bahia",,"Estrada de Itacaré para Ubaitaba, km 8. Fazenda da serraria. Área do inventário do plano de manejo.",-14.351389,-39.065278,,"Eugenia mandioccensis O.Berg","",,"GBIF"
"","USP","SPF","169439","Eugenia mandioccensis","","Myrtaceae","Eugenia","mandioccensis","","O.Berg","Giaretta, A",2016,"","2686","","Fiaschi, P",2004,11,27,"Brazil","Bahia","Ilhéus",,-14.586111,-39.117222,,"Eugenia mandioccensis O.Berg","",,"GBIF"
