"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01395392","Eugenia monosperma","","Myrtaceae","Eugenia","monosperma","","Vell.","T. Fernandes",,"","282","","T. Fernandes",2018,7,9,"Brazil","Rio de Janeiro","Niterói","Itaipuaçu - Trilha para a Pedra do Elefante/Alto Mourão. Parque Estadual da Serra da Tiririca",,,"Arbusto, 1 m. Folhas glabras, flores com cálice verde. Frutos imaturos verdes.","Eugenia monosperma Vell.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4259","Eugenia monosperma","","Myrtaceae","Eugenia","monosperma","","Vell.","Faria, JEQ",2016,"","6304","","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS",2016,7,15,"Brazil","São Paulo","Ubatuba","Margem da BR-101 entre Paraty e Ubatuba",-23.318056,-44.903889,,"Eugenia monosperma Vell.","",,"GBIF"
"","UFRB","HURB","23782","Eugenia monosperma","","Myrtaceae","Eugenia","monosperma","","Vell.","A. Stadnik",2016,"","379","","Stadnik, A.; Vasconcelos, T. & Faria, J.",2016,7,13,"Brazil","Rio de Janeiro","Paraty","Margem da BR 101; Entre Paraty e Ubatuba. Serra do Mar",-23.33,-44.903611,"arvoreta, ca. 3m, tronco rugoso, folhas discolores sésseis, frutos vermelhos imaturos, atropurpureos maduros","Eugenia monosperma Vell.","",,"GBIF"
"","Instituto de Botânica","SP","491252","Eugenia monosperma","","Myrtaceae","Eugenia","monosperma","","Vell.","Faria, JEQ",2016,"","6304","","Faria, JEQ; et al.",2016,7,15,"Brazil","São Paulo","Ubatuba","Margem da BR 101 entre Parati e Ubatuba",-23.318056,-44.853889,,"Eugenia monosperma Vell.","",,"GBIF"
"","JBRJ","RB","RB01176376","Eugenia monosperma","","Myrtaceae","Eugenia","monosperma","","Vell.","M.Sobral",,"","1025","","P. Rosa; C. Baez, T. Lima, D. Maurenza & J. Marins.",2016,8,27,"Brazil","Rio de Janeiro","Campos dos Goytacazes","9º distrito de campos Morangaba. Localidade de Aleluia, morro do Pico da Aleluia, região norte da UC. Trilha para o Pico da Aleluia, riacho da Aleluia, lado direito em encosta úmida. Área que recebe poucas visitas a lazer, não foram vistos sinais de lixo na trilha. Parque Estadual do Desengano",-21.784167,-41.617222,"Terrícola, ciófila. Folhas discolores verdes, frutos imaturos verdes. Visto cinco indivíduos próximos.","Eugenia monosperma Vell.","",,"GBIF"
"","JBRJ","RB","RB01198246","Eugenia monosperma","","Myrtaceae","Eugenia","monosperma","","Vell.","M.SOBRAL",,"","1120","","P. Rosa; C. Baez, A.A.M. de Barros, M. Moraes, E. Fernadez.",2016,11,11,"Brazil","Rio de Janeiro","Maricá","Subida para a Pedra do Elefante na trilha do Alto Mourão, há 50 m de subida. Parque Estadual da Serra da Tiririca",-22.972222,-43.000556,"Saxícola, heliófila. Caule acinzentado, ramificado há 5 cm do chão. Folhas verde-claras discolores. Frutos imaturos verde-escuros.","Eugenia monosperma Vell.","",,"GBIF"
"","JBRJ","RB","RB01202890","Eugenia monosperma","","Myrtaceae","Eugenia","monosperma","","Vell.","C. Baez",,"","1198","","C. Baez; P. Rosa, E. Fernadez, M. Moraes, A.A.M. de Barros",2016,11,11,"Brazil","Rio de Janeiro","Maricá","Pico do Alto Mourão. Afloramento rochoso próximo ao cume. PEST",-22.972222,-43.021111,"Arbusto/arvoreta. Folhas glabras discolores. Frutos nascendo diretamente do caule púrpuras. 1,5m.","Eugenia monosperma Vell.","",,"GBIF"
"","Reserva Natural Vale","CVRD","15094","Eugenia monosperma","","Myrtaceae","Eugenia","monosperma","","Vell.","Geovane S. Siqueira",2014,"","1006","","Siqueira, G.S.",2014,10,3,"Brazil","Es","LINHARES",,,,"RFL -089/86 MME <ll>dwc_commonname:</ll> Cardoso","Eugenia monosperma Vell.","",,"GBIF"
"","JBRJ","RB","RB00897390","Eugenia monosperma","","Myrtaceae","Eugenia","monosperma","","Vell.","G.S. Siqueira",,"","1006","","G.S. Siqueira",2014,10,3,"Brazil","Espírito Santo","Linhares","Estrada Municipal do MME.",,,"Porte arbóreo,  ca. 1,8m (arvoreta?)","Eugenia monosperma Vell.","",,"GBIF"
"","UEFS","HUEFS","204333","Eugenia monosperma","","Myrtaceae","Eugenia","monosperma","","Vell.","M.Sobral",2019,"","7649","","Lima, H.C.de",2013,5,16,"Brazil","Rio de Janeiro","Rio de Janeiro","Copacabana, Morro São João, trilha entre Ladeira dos Tabajar e Vila Militar.",-22.962778,-43.187778,"Mata degradada.","Eugenia monosperma Vell.","",,"GBIF"
