"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","14572","Eugenia neosilvestris","","Myrtaceae","Eugenia","neosilvestris","","Sobral","A. Giaretta",2015,"","895","","Siqueira, G.S.",2013,10,16,"Brazil","Es","LINHARES",,-19.179056,-39.969278,"<ll>dwc_commonname:</ll> Araçá peludo","Eugenia neosilvestris Sobral","",,"GBIF"
"","UFES","VIES","26737","Eugenia neosilvestris","","Myrtaceae","Eugenia","neosilvestris","","Sobral","Giaretta, A.O.",2012,"","1347","","Giaretta, A.O.",2012,10,16,"Brazil","Espírito Santo","Conceição da Barra","APA de Conceição da Barra.",,,,"Eugenia neosilvestris Sobral","",,"GBIF"
"","JBRJ","RB","RB00740371","Eugenia neosilvestris","","Myrtaceae","Eugenia","neosilvestris","","Sobral",,,"","1347","","Giaretta, A.",2012,10,16,"Brazil","Espírito Santo","Espírito Santo","Conceição da Barra. Restinga arbustiva seca. APA de Conceição da Barra",-18.657778,-39.793889,"Subarbusto de 2m. Frutos atropurpúreos.","Eugenia neosilvestris Sobral","",,"GBIF"
"","JBRJ","RB","RB00878274","Eugenia neosilvestris","","Myrtaceae","Eugenia","neosilvestris","","Sobral",,,"","105","","L.Quintanilha; A. Lobão",2012,10,3,"Brazil","Rio de Janeiro","Iguaba Grande","BR 106.",,,"Árvore, ca. 3m de altura, fruto vinho, folha discolor.","Eugenia neosilvestris Sobral","",,"GBIF"
"","UFES","VIES","26912","Eugenia neosilvestris","","Myrtaceae","Eugenia","neosilvestris","","Sobral","Giaretta, A.O.",2011,"","1055","","Giaretta, A.O.",2011,10,15,"Brazil","Espírito Santo","São Mateus","Bairro Liberdade.",,,,"Eugenia neosilvestris Sobral","",,"GBIF"
"","UFES","VIES","26914","Eugenia neosilvestris","","Myrtaceae","Eugenia","neosilvestris","","Sobral","Giaretta, A.O.",2011,"","1057","","Giaretta, A.O.",2011,10,15,"Brazil","Espírito Santo","São Mateus","Bairro Liberdade.",,,,"Eugenia neosilvestris Sobral","",,"GBIF"
"","UFES","VIES","26911","Eugenia neosilvestris","","Myrtaceae","Eugenia","neosilvestris","","Sobral","Giaretta, A.O.",2011,"","1056","","Giaretta, A.O.",2011,10,15,"Brazil","Espírito Santo","São Mateus","Bairro Liberdade.",,,,"Eugenia neosilvestris Sobral","",,"GBIF"
"","JBRJ","RB","RB00686314","Eugenia neosilvestris","","Myrtaceae","Eugenia","neosilvestris","","Sobral",,,"","1056","","Giaretta, A.",2011,10,15,"Brazil","Espírito Santo","Conceição da Barra","Bairro Liberdade. Estrada de terra adjacente a uma fábrica de tijolos, depois do Hospital Roberto Silvares no sentido São Mateus-Guriri. Floresta seca de restinga.",-18.733333,-39.899722,"Arbusto de 3m. Frutos verdes com cálice vinosos.","Eugenia neosilvestris Sobral","",,"GBIF"
"","JBRJ","RB","RB00686313","Eugenia neosilvestris","","Myrtaceae","Eugenia","neosilvestris","","Sobral",,,"","1055","","Giaretta, A.",2011,10,15,"Brazil","Espírito Santo","Conceição da Barra","Bairro Liberdade. Estrada de terra adjacente a uma fábrica de tijolos, depois do Hospital Roberto Silvares no sentido São Mateus-Guriri. Floresta seca de restinga.",-18.733333,-39.899444,"Arbusto de 3m. Flores alvas. Madeira pouco resistente.","Eugenia neosilvestris Sobral","",,"GBIF"
"","JBRJ","RB","RB00686315","Eugenia neosilvestris","","Myrtaceae","Eugenia","neosilvestris","","Sobral",,,"","1057","","Giaretta, A.",2011,10,15,"Brazil","Espírito Santo","Conceição da Barra","Bairro Liberdade. Estrada de terra adjacente a uma fábrica de tijolos, depois do Hospital Roberto Silvares no sentido São Mateus-Guriri. Floresta seca de restinga.",-18.733333,-40.775,"Arbusto de 2m. Flores alvas. Frutos verdes com sépalas vinosas.","Eugenia neosilvestris Sobral","",,"GBIF"
