"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul","HAS","95772","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Molz, M.",2018,"","1193","","Seger, G.; Bergamin, R., Duarte, L., Hofmann, G.",2018,11,,"Brazil","Rio Grande do Sul","São Francisco de Paula","Campo insular do Pró Mata",-29.48242,-50.21013,"Arbusto ramificado com 2m de altura, frutos imaturos poucos, alguns ficando avermelhados","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4324","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Faria, JEQ",2017,"","6375","","Faria, JEQ; Pinheiro, AC; Castro, ACM",2016,7,23,"Brazil","Minas Gerais","Diamantina","Gruta do Salitre",-18.279444,-43.536111,,"Eugenia oeidocarpa O.Berg","",,"GBIF"
"","MBM","MBM","400461","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Ferreira, PC",2015,"","34","","Ferreira, PC",2015,10,2,"Brazil","Paraná","Piraquara","Morro do Canal, base do morro",-25.515278,-48.981667,"Árvore, 4m, frutos imaturos verdes.; Refúgio Vegetacional Altomontano.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","21683","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","P.C. Ferreira",2015,"","34","","P.C. Ferreira",2015,10,2,"Brazil","Pr","Piraquara","Morro do Canal, base do morro",-25.515278,-48.981667,"árvore, 4 m, frutos imaturos verdes.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","MBM","MBM","397371","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Roher, D",,"","s.n.","","Roher, D",2013,1,30,"Brazil","Paraná","Tijucas do Sul","APA de Guaratuba, Resgate de flora LT 230 kv Joinville Norte - Curitiba C2",-25.788514,-49.078728,"Árvore com 9m de altura e 60 cm de CAP.; Floresta Ombrófila Mista Montana, borda de banhado.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","MBM","MBM","397369","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Augusto-Silva, M",,"","s.n.","","Roher, D",2013,2,27,"Brazil","Paraná","Tijucas do Sul",,-25.828597,-49.03185,"Árvore de aprox. 10m, frutos imaturos.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","19307","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","M. Silva",,"",,"","D. Roher",2013,2,27,"Brazil","Pr","Tijucas do Sul",,-25.828611,-49.031944,"árvore de aprox. 10 m, frutos imaturos.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","UFPR","UPCB","91645","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Silva, M.",,"",,"","Roher, D. | Daniel, V.",2013,2,27,"Brazil","Paraná","Tijucas do Sul",,-25.828611,-49.031944,"Árvore de aprox. 10 m, frutos imaturos.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","JBRJ","RB","RB00829656","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Barboza, E",,"","2008","","Saueressig, D",2013,5,15,"Brazil","Paraná","Turvo","Conglomerado 220 Subunidade 3. UTM 22 J 433409 E 7232675 N.",,,"Árvore.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","MBM","MBM","384129","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Barboza, E",2013,"","2008","","Saueressig, D",2013,5,15,"Brazil","Paraná","Turvo",,-25.020003,-51.660006,"Árvore.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","13687","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","E. Barboza",2014,"",,"","C. Huber",2013,11,2,"Brazil","Pr","Pitanga",,,,"árvore ca. 8 m, semi-ciófila. Botões alvos.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","MBM","MBM","397301","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Barboza, E",2014,"","s.n.","","Huber, C",2013,11,2,"Brazil","Paraná","Pitanga",,,,"Árvore ca. 8m, semi-ciófila. Botões alvos.; Floresta Ombrófila Mista Montana. Relevo ondulado.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul","HAS","48739","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg",,,"","1675","","Grings, M.",2012,6,,"Brazil","Rio Grande do Sul","São Francisco de Paula",,,,"borda de mata; arv. 4m de alt; fr. Imat.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","UFRGS","ICN","173710","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Grings, M",,"","1659","","Grings, M; et al.",2011,5,4,"Brazil","Rs","São Francisco de Paula","Condomínio Portal do Sol.",,,"Arvoreta, 4m altura, frutos imaturos.; Em borda de mata com araucária de topo de coxilha.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","7703","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","M. Sobral",2009,"","2552","","M.G. Caxambu",2009,2,27,"Brazil","Pr","Turvo","Propriedade da família Rickli",-25.066111,-51.565778,"árvore ca. 10 m. Frutos imaturos verdes e maduros vermelhos. Orla da floresta.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","IF","SPSF","44203","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","M.Sobral",,"","2552","","M.G.Caxambu",2009,2,27,"Brazil","Pr","Turvo","Fazenda Rikli",,,"COLETA: Árvore 10m de altura, frutos imaturos verdes.; GEOGRAFIA: Floresta Ombrófila mista Montana.;","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","46374","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Ferreira Jr, M",2009,"","135","","Ferreira Jr, M; Marques, JN; Francisco, EM",2009,9,25,"Brazil","Paraná","Tamarana","Recanto do Pinhão",-23.896389,-51.167639,"Árvore 7m. PAP = 25 cm. Árvore T1P8D.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","7463","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","J. Cordeiro & E.D. Lozano",2009,"","2458","","M.G. Caxambu",2008,12,8,"Brazil","Pr","Turvo","Propriedade da família Rickli",-25.044611,-51.5595,"árvore heliófita, ca. 10 m. Início da frutificação.","Eugenia oeidocarpa O.Berg","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","51639","Eugenia oeidocarpa","","Myrtaceae","Eugenia","oeidocarpa","","O.Berg","Cordeiro, J; Lozano, ED",2009,"","2458","","Caxambu, MG; Siqueira, EL",2008,12,8,"Brazil","Paraná","Turvo","Propriedade da família Rickli, relevo: suave ondulado; vegetação: floresta ombrófila mista montana",-25.044611,-51.5595,"Árvore heliófita, ca. 10 m. Início da frutificação.","Eugenia oeidocarpa O.Berg","",,"GBIF"
