"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01401967","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Mario Gomes; M. Souza",2019,"","20677","","G.Martinelli; N.Pougy, D.Maurenza, C.Carvalho",2018,11,25,"Brazil","Bahia","Teixeira de Freitas","Comunidade de Araras, Núcleo Umburana. Matas Atlantica Sul Bhiana, secundária.",-17.526944,-39.616944,"arvore, 13m; folhas verdes, discolores; frutos imaturos de cor verde-alvacento; flores com calice verde, corola alva.","Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142661","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","748","","Valdemarin, K.S.",2017,1,22,"Brazil","Espírito Santo","Sooretama",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142660","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","921","","Valdemarin, K.S.",2017,1,29,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142671","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","982","","Valdemarin, K.S.",2017,1,31,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142662","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","740","","Valdemarin, K.S.",2017,1,22,"Brazil","Espírito Santo","Sooretama",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142659","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","1013","","Valdemarin, K.S.",2017,2,2,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Reserva Natural Vale","CVRD","15813","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Geovane S. Siqueira",2017,"","1200","","Siqueira, G.S.",2017,11,22,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Batinga casca grossa","Eugenia platyphylla O.Berg","",,"GBIF"
"","JBRJ","RB","RB01390219","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","G.S.Siqueira",2017,"","1200","","G.S. Siqueira",2017,11,22,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.  -40.071.293W -19.149.015S",,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153458","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","M.C. Souza",,"","349","","Schulte, T.F.",2016,3,14,"Brazil","Bahia","ITANAGRA","Conglomerado BA_724-1-10-4RN",-12.263056,-38.041667,"<ll>dwc_commonname:</ll>","Eugenia platyphylla O.Berg","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153397","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","M.C. Souza",,"","288","","Schulte, T.F.",2016,3,8,"Brazil","Bahia","MATA DE SÃO JOÃO","Conglomerado BA_770-4-10-12RN",-12.530278,-38.299167,"<ll>dwc_commonname:</ll>","Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142663","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","356","","Valdemarin, K.S.",2016,12,11,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142657","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2018,"","398","","Valdemarin, K.S.",2016,12,11,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142665","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","409","","Valdemarin, K.S.",2016,12,12,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142656","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2018,"","361","","Valdemarin, K.S.",2016,12,11,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142668","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","374","","Valdemarin, K.S.",2016,12,11,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142669","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","375","","Valdemarin, K.S.",2016,12,11,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142666","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","444","","Valdemarin, K.S.",2016,12,13,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142672","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","426","","Valdemarin, K.S.",2016,12,12,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142658","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2018,"","340","","Valdemarin, K.S.",2016,12,10,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142664","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","410","","Valdemarin, K.S.",2016,12,12,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142670","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","355","","Valdemarin, K.S.",2016,12,11,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142673","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","316","","Valdemarin, K.S.",2016,12,10,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142667","Eugenia platyphylla","","Myrtaceae","Eugenia","platyphylla","","O.Berg","Valdemarin, K.S.",2017,"","446","","Valdemarin, K.S.",2016,12,13,"Brazil","Espírito Santo","Linhares",,,,,"Eugenia platyphylla O.Berg","",,"GBIF"
