"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","IF","SPSF","47993","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","M.C.Assis",2014,"","6607","","N.M.Ivanauskas & M.G.K.Cornia & T.N.P. Melo",2013,12,16,"Brazil","Mg","Delfim Moreira",,-22.532778,-45.282222,"COLETA: Árvore de 5m. Flores lilases; GEOGRAFIA: Beira de estrada de terra.&nf;Fragmento de Floresta Ombrófila Mista.;","Eugenia puberula Nied.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14317","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","Karinne S. Valdemarin",2019,"","850","","Siqueira, G.S.",2012,12,13,"Brazil","Es","LINHARES","Na matinha MME, Proximo café dois irmão",,,"borda da estrada <ll>dwc_commonname:</ll> Pitanga da mata","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","45335","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","G.A.D.C. Franco",2012,"","25","","G.C.R.Turatti",2011,10,21,"Brazil","Sp","São Paulo","APA Capivari-Monos",-23.866667,-46.65,"COLETA: Arvore com 6,5m altura e 7,63cm de DAP; flores cor roxa; GEOGRAFIA: Terra Indígena Tenonde Porã.;","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","42670","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","N.O.Costa",2009,"","1301","","O.T. Aguiar & R.Cielo-Filho & J.B.Baitello",2009,9,22,"Brazil","Sp","Itapeva","Estação Experimental",-24.053056,-49.067222,"COLETA: Árvore 6m, flores roxas.; GEOGRAFIA: Trilha do Poço da Peroba - Floresta;","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","40000","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","G.A.D.C. Franco",2008,"","1062","","F.M.Souza & R.C.Sousa & D.Souza & L.G.L.Araújo",2008,2,25,"Brazil","Sp","São Paulo","Parque Estadual do Jaraguá",-23.473889,-46.766111,"COLETA: Árvore, 16m. Frutos secos.; GEOGRAFIA: Trilha das Garças;","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","40670","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","G.A.D.C. Franco",2008,"","679","","R.T. Polisel",2008,2,1,"Brazil","Sp","Juquitiba","bairro dos Carmos",-23.894444,-47.16,"COLETA: Árvore 7m, frutos imaturos verdes; GEOGRAFIA: em frente ao sítio Angel Nest;","Eugenia puberula Nied.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","85423","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","Sobral, M",2014,"","281","","Ramos, C.H.A.; Santos, FC; Santos, CC dos",2008,7,10,"Brazil","Bahia","Itagibá","Litoral Sul, Mata da Antena",-14.167222,-39.711111,"de ca 6 m de altura. Folhas cartáceas, discolores. Botões e flores alvas.","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","50823","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","J.B.Baitello",2016,"","726","","J.A.M.A.Gomes & O.A.Santos & S.Santos",2007,6,10,"Brazil","Sp","Ubatuba","Fazenda Capricórnio - Núcleo Picinguaba",-23.373889,-45.080833,"COLETA: Árvore 15 m, caida na trilha, frutos verdes; GEOGRAFIA: Trilha 100 m após parcelaG, PESM, Núcleo Picinguaba, Floresta Ombrófila Densa Submontana;","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","37496","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","G.A.D.C. Franco",2007,"","1543","","J. A. Pastore & F. A. R. D. P. Arzolla & F.E.S.P.Vilela",2007,10,9,"Brazil","Sp","Embu-Guaçu","Parque da Várzea do Embu-Guaçu",-22.829722,-46.809722,"COLETA: Vegetação de várzea.&nf;Árvore 6m, flore roxas.;","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","39167","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","G.A.D.C. Franco",2007,"","948","","F.M.Souza & R.Esteves & H.F.A.Pereira & C.D.Lima",2007,10,19,"Brazil","Sp","São Paulo","Parque Estadual do Jaraguá",-23.451667,-46.765,"COLETA: Árvore, 10m. Flores violeta.; GEOGRAFIA: Trilha do Pai Zé;","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","38444","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","M.Magenta",2007,"",,"","E.E.Macedo",2006,3,14,"Brazil","Sp","Pedregulho","P.E.Furnas do Bom Jesus",,,"COLETA: Herbácea 30cm altura, flores amarelas.&nf;Nome popular: ""margarida"";","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","34629","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","O.T.Aguiar",2017,"","398","","R.Cielo-Filho & N.M.Ivanauskas & D.de Souza",2005,3,14,"Brazil","Sp","Itanhaém","Parque Estadual da Serra do Mar, Núcleo Curucutu",,,"COLETA: XLS: SPSFNovo; &nf;Árvore de 5m. Flores brancas.; GEOGRAFIA: Trilha do Rio Itarirú&nf;UTM: X=301170 Y=7332340;","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","45657","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","R.F.S.Caparroz",,"",,"","R.F.S.Caparroz",2005,11,1,"Brazil","Pr","Irati","Unicentro",,,"COLETA: Nome popular: ""jacarandá"";","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","37979","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","G.A.D.C. Franco",2006,"","256","","R.T.Polisel & N.M.Ivanauskas & F.M.Souza & V.S.Santos",2005,12,12,"Brazil","Sp","Embú","Itatuba",-23.636944,-46.889722,"GEOGRAFIA: Comunidade Terapêutica.;","Eugenia puberula Nied.","",,"GBIF"
"","Reserva Natural Vale","CVRD","8694","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","Karinne S. Valdemarin",2019,"","83","","Siqueira, G.S.",2004,4,14,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Pitanga da mata","Eugenia puberula Nied.","",,"GBIF"
"","Reserva Natural Vale","CVRD","8804","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","Karinne S. Valdemarin",2019,"","4884","","Folli, D.A.",2004,7,20,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Pitanga da mata","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","33491","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.","M.A.Assis",2005,"","632","","F.A.R.D.P.Arzolla",2004,9,23,"Brazil","Sp","São Paulo","P.E.Cantareira, regiao da Pedra Grande",,,"COLETA: XLS: SPSFAntigo;","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","29747","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.",,,"","206","","F.M.Souza",2001,4,17,"Brazil","Sp","Itanhaém","Parque Estadual da Serra do Mar, Núcleo Curucutu",,,"COLETA: XLS: SPSFAntigo;","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","29833","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.",,,"","2336","","F.T.Farah",2001,4,18,"Brazil","Sp","Itanhaém","loteamento Maramba II",,,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: florestade restinga&nf;;","Eugenia puberula Nied.","",,"GBIF"
"","IF","SPSF","32745","Eugenia puberula","","Myrtaceae","Eugenia","puberula","","Nied.",,,"",,"","R.M.R.Duarte",2001,9,9,"Brazil","Sp","Ubatuba","Parque Estadual da Ilha Anchieta",,,"COLETA: XLS: SPSFAntigo;","Eugenia puberula Nied.","",,"GBIF"
