"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3876","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Faria, JEQ",2016,"","5919","","Faria, JEQ",2016,5,28,"Brazil","Minas Gerais","Diamantina","Margem da estrada de terra para a Formação, próximo ao córrego na saída de Dimantina",-18.268611,-43.612222,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","USP","SPF","229290","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Faria, JEQ",2016,"","5919","","Faria, JEQ",2016,5,28,"Brazil","Minas Gerais","Diamantina",,-18.268611,-43.612222,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","JBRJ","RB","RB01303659","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","J.E.Q. Faria",,"","6360","","J.E.Q. Faria",2016,7,19,"Brazil","Minas Gerais","Caeté","Caeté: Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá",-19.7675,-43.633889,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","JBRJ","RB","RB01306943","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","J.E.Q. Faria",,"","6322","","J.E.Q. Faria",2016,7,17,"Brazil","Minas Gerais","Itamonte","Margem da estrada de terra após o bairro rural de Colina",-22.292222,-44.765278,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","129007","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Faria, JEQ",2016,"","6322","","Faria, JEQ",2016,7,17,"Brazil","Minas Gerais","Itamonte","Margem da estrada de terra de após o bairro rural de Colina.",-22.292222,-44.765278,"Cerca de 2,6 m de altura, frutos imaturos verdes; Floresta ombrófila antropizada","Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","129033","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Faria, JEG",2016,"","6360","","Faria, JEQ",2016,7,19,"Brazil","Minas Gerais","Caeté","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá.",-19.7675,-43.633889,"ca 8 m de altura, frutos imaturos verdes; Floresta estacional semidecidual","Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4278","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Faria, JEQ",2016,"","6322","","Faria, JEQ",2016,7,17,"Brazil","Minas Gerais","Itamonte","Margem da estrada de terra de após o bairro rural de Colina",-22.292222,-44.765278,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4309","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Faria, JEQ",2016,"","6360","","Faria, JEQ",2016,7,19,"Brazil","Minas Gerais","Caeté","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá",-19.7675,-43.633889,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","10505","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Faria, JEQ",2016,"","6360","","Faria, JEC",2016,7,19,"Brazil","Minas Gerais","Caeté","Estrada de terra sando do distrito de Roças Novas chegando no hotel Tauá.",-46.05,-43.633889,"Arvore ca. 8m de altura, frutos imaturos verdes.","Eugenia sphenophylla O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","10332","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Faria, JEQ",2016,"","6322","","Faria, JEQ",2016,7,17,"Brazil","Minas Gerais","Itamonte","Margem da estrada de terra após o bairro rural de Colina.",-22.292222,-44.765278,"Arvoreta ca. 2,6 m de altura, frutos imaturos verdes","Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","198119","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg",,2016,"","6322","","Faria, JEQ",2016,7,17,"Brazil","Minas Gerais","Itamonte","Margem da estrada de terra de após o bairro rural de Colina",,,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","199153","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg",,2016,"","6330","","Faria, JEQ",2016,7,19,"Brazil","Minas Gerais","Caeté","estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá",-19.7675,-43.633889,"Árvore ca. 8m de altura, frutos imaturos verdes; Floresta Estacional Semidecidual","Eugenia sphenophylla O.Berg","",,"GBIF"
"","USP","SPF","201474","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Faria, JEQ",2012,"","590","","Santos, MF",2010,11,18,"Brazil","Minas Gerais","Diamantina","Parque Estadual do Biribiri",-18.215556,-43.607778,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","K","Herbarium","K000752689","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Faria, J.E.Q.",,"","4122","","da C. Valente, M.; Faria, M.S.; Kikuchi, Y.S.; Marquete, R.",2007,10,17,"Brazil",,,"Rio das Ostras. ARIE de Itapebussus, trilha próximo a praia, área após o brejo seco, na orla da mata.",-22.48,-41.88,"Dup: RB 462536","Eugenia sphenophylla O.Berg","",,"GBIF"
"","JBRJ","RB","RB00520678","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","J.E.Q.Faria",,"","4122","","R. Marquete; M. da C. Valente, M. S. Faria & T. Y. S. Kikuchi",2007,10,17,"Brazil","Rio de Janeiro","Rio das Ostras","ARIE de Itapebussus, trilha próximo à praia, área após o brejo seco, na orla da mata.",-22.4825,-41.875833,"Árvore, heliófita com ca. 9 m de altura. Tronco com casca lisa, levemente fissurada, castanha com liquens; folhas coriáceas, discolores verdes, opacas nas duas faces. Flores com cálice verde, corola alvo-esverdeada, androceu, gineceu e botões esverdeadas","Eugenia sphenophylla O.Berg","",,"GBIF"
"","NY","NY","2423028","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","J. E. Q. de Faria",2012,"","4122","","R. Marquete",2007,10,17,"Brazil","Rio de Janeiro",,"Arie de Itapebussus, trilha proximo à praia, área após o brejo seco, na orla da mata",-22.4825,-41.8758,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","UNICAMP","UEC","147137","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Sobral, M",,"","148","","Aguirre, GH; et al.",2005,7,18,"Brazil","São Paulo","São Luiz do Paraitinga","Fragmento de Floresta Ombrófila Densa em paisagem rural",,,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","102269","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg",,2006,"","129","","Foresto, EB; Severiano, JL; Foresto, JRB",2005,10,31,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Mata ciliar do córrego do Capão Azul.",,,"Arbusto ca. 3m de altura. Sépalas, pétalas, estames e estiletes cremes.","Eugenia sphenophylla O.Berg","",,"GBIF"
"","K","Herbarium","K001051719","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg",,,"","129","","Foresto, E.B.",2005,10,31,"Brazil",,"São Gonçalo do Rio Preto","Parque Estadual do Rio Preto.",,,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","JBRJ","RB","RB00308895","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg",,,"","237","","E.J. Lucas; et al",2004,3,6,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama, trilha principal partindo da casa de seu Luiz. Reserva Biológica da Represa do Grama",-21.431667,-42.955,"Thin tree to 7 m, trunk to 5 cm diameter. Fruits green.","Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","38700","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","M. Sobral",2003,"","40","","A.V. Lopes; B.K.S. Franco; P.C.L. Faria",2002,5,18,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,"Árvore, ca. 8 m alt, frutos imaturos verdes e maduros roxos quase pretos.","Eugenia sphenophylla O.Berg","",,"GBIF"
"","JBRJ","RB","RB00308886","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","M. Sobral",2003,"","40","","A.V. Lopes; B.K.S. Franco & P.C.L. Faria",2002,5,18,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama. Reserva Biológica da Represa do Grama",,,"Árvore, ca. 8 m alt., frutos imaturos verdes e maturos roxos, quase pretos.","Eugenia sphenophylla O.Berg","",,"GBIF"
"","UNICAMP","UEC","129358","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Sobral, M",,"","82","","Gomes, BZ",2002,8,8,"Brazil","São Paulo","Brotas","Horto Santa Fé ""1""",,,"6m alt.; Transição cerradão - mata ciliar","Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","38757","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","M. Sobral",2003,"","2212","","R.C. Forzza; et al.",2002,9,21,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,"Árvore 15m. Folhas descolores com tricomas ferrugíneos na face abaxial. ramos e botões densamente ferrugíneos.","Eugenia sphenophylla O.Berg","",,"GBIF"
"","MBM","MBM","312077","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Sobral, M",,"","2212","","Forzza, RC",2002,9,21,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","33590","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","R.C. Forzza",2002,"","402","","R.M. Castro; V.R. Scalon; A.S.M. Valente",2001,5,26,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,"Arvoreta no interior da mata. Próximo ao curso d'água, frutos esverdeados.","Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","33562","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","M. Sobral",2002,"","450","","R.M. Castro",2001,6,,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,"Arvoreta no interior da mata com ca. 5 m de altura, próximo ao curso d'água. Frutos esverdeados.","Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","75951","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg",,2002,"","450","","Castro, RM",2001,6,,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama, Interior da mata. Próximo ao curso d'água.",,,"Arvoreta, ca. 5m de altura. Frutos esverdeados.","Eugenia sphenophylla O.Berg","",,"GBIF"
"","UNICAMP","UEC","124948","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Sobral, M",2004,"","450","","Castro, RM",2001,6,,"Brazil","Minas Gerais","Descoberto","Reserva biológica da represa do Grama",,,"Arvoreta no interior da mata, ca de 5m de alt. proximo ao curso d'agua. Frutos esverdeados","Eugenia sphenophylla O.Berg","",,"GBIF"
"","MBM","MBM","275602","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Sobral, M",,"","450","","Castro, RM",2001,6,,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,,"Eugenia sphenophylla O.Berg","",,"GBIF"
"","Instituto de Botânica","SP","354916","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg","Sobral, M",,"","450","","Castro, RM",2001,6,,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama.",,,"Arvoreta no inerior da mata, ca. 5m alt., próximo ao curso de água, frutos esverdeados.","Eugenia sphenophylla O.Berg","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","92184","Eugenia sphenophylla","","Myrtaceae","Eugenia","sphenophylla","","O.Berg",,,"","405","","Assis, LCS; Magalhães, MS",2001,7,15,"Brazil","Minas Gerais","Barroso","Mata do Baú",,,"Árvore, interior da mata, ca. 5m, folhas discolors, frutos negros e verdes. Pouco freqüente.","Eugenia sphenophylla O.Berg","",,"GBIF"
