"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4320","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","Faria, JEQ",2016,"","6371","","Faria, JEQ; Pinheiro, AC",2016,7,23,"Brazil","Minas Gerais","Diamantina","Coletada em viveiro na cidade",,,,"Eugenia sprengelii DC.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4321","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","Faria, JEQ",2016,"","6372","","Faria, JEQ; Pinheiro, AC",2016,7,23,"Brazil","Minas Gerais","Diamantina","Coletada em viveiro na cidade",,,,"Eugenia sprengelii DC.","",,"GBIF"
"","UFSCar","SORO","5553","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.",,,"","239","","Valdemarin. K.S.; Flores, T.B.",2016,10,13,"Brazil","São Paulo","Nova Odessa","Cemitério Municipal de Nova Odessa.",,,"Árvore 2 m de altura. Flores alvas e frutos imaturos verdes. Planta cultivada.","Eugenia sprengelii DC.","",,"GBIF"
"","IAC","IAC","55273","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","L.B. Évora & J.F. Benedito",2014,"","50","","L.B. Évora & J.F. Benedito",2014,4,1,"Brazil","São Paulo","Campinas","IAC, Fazenda Santa Elisa, Monjolinho, Quadra do Café, L8, P17",-22.863721,-47.086761,,"Eugenia sprengelii DC.","",,"GBIF"
"","IAC","IAC","55364","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","M.E.G. Sobral",2014,"","63","","L.B. Évora; L.C. Bernacci & F.D.M. Carvalho",2014,5,22,"Brazil","São Paulo","Campinas","IAC, Fazenda Santa Elisa, Monjolinho, Parque IAC, Maciço 19, P5",-22.863721,-47.086761,,"Eugenia sprengelii DC.","",,"GBIF"
"","UFRGS","ICN","180109","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","Matzenbacher, NI",,"","s.n.","","Matzenbacher, NI",2014,11,8,"Brazil","Rs","Eldorado do Sul",,,,"Cultivada em vasos ornamentais em frente a Churrasqueira Minuano. Arvoreta usada como planta ornamental em parques e jardins.","Eugenia sprengelii DC.","",,"GBIF"
"","JBRJ","RB","RB00996115","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","M.SOBRAL",,"","7267","","M. Verdi; E. P. Fernandes, J. A. Oliveira, N. Pougy, E. Martins",2014,11,24,"Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros, São Jorge, Trilha dos Saltos.",-14.164167,-47.834722,"Folhas verdes; botão rosáceo; pouco frequente; encontrado em solo pedregoso; área com históricos de mineração e incêndios, trilha de acesso aos Saltos do Rio Preto, um dos principais atrativos locais muito visitados por turistas","Eugenia sprengelii DC.","",,"GBIF"
"","JBRJ","RB","RB00996231","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","M.SOBRAL",,"","7383","","M. Verdi; E. P. Fernandes, N. Pougy",2014,11,27,"Brazil","Goiás","Alto Paraíso de Goiás","Pousada Fazenda São Bento, Almecega I.",-14.178889,-47.593889,"Folhas verdes; fruto maturo amarelo; pouco frequente; encontrada em solo areno-pedregoso, ao longo da trilha de acesso a cachoeira com intensa visitação turística","Eugenia sprengelii DC.","",,"GBIF"
"","UFRGS","ICN","176242","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","Picada, DS",,"","s.n.","","Matzenbacher, NI",2013,7,30,"Brazil","Rs",,"Av. Idependência, 973 em frente de casa residencial não habitada",,,"aproximadamente 4m de altura; Árvore cultivada ornamental","Eugenia sprengelii DC.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","54777","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","M. Sobral",2012,"","07","","C.O. Silva; et al.",2009,9,12,"Brazil","Minas Gerais","Juiz de Fora","APA Mata do Krambeck, Lat. 66º85'94"" S; Long. 75º95'75"" W; Alt. 686 m",,,"Árvore, ca. 10m, casca do tronco escamosa, folha membranácea, cor do cálice e corola amarelos. Visitada por abelhas, presença de líquens no caule.","Eugenia sprengelii DC.","",,"GBIF"
"","UnB","UB","190770","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","Sobral, M",,"","7","","Silva, CO; et al.",2009,9,12,"Brazil","Minas Gerais","Juiz de Fora","APA Mata do Krambeck.",,,"Visitada por abelhas; presença de líquens no caule.; Árvore 10m.; casca do tronco escamosa, folha membranácea, cor do cálice e corola amarelos.","Eugenia sprengelii DC.","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","11759","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","H. Lorenzi",2008,"","6533","","H. Lorenzi",2008,11,1,"Brazil","Sp","Nova Odessa","Cultivado e coletado no Cemitério Municipal.",,,,"Eugenia sprengelii DC.","",,"GBIF"
"","JBRJ","RB","RB00490083","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.",,,"","374","","M. C. Souza ; F. Salgueiro",2006,8,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto do Jardim Botânico do Rio de Janeiro. Canteiro 8 C.",,,"Árvore com 5 m de altura, com flores","Eugenia sprengelii DC.","",,"GBIF"
"","JBRJ","RB","RB00418811","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.",,,"","279","","M. C. Souza",2003,9,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Ilha de Guaratiba.",,,"Árvore de 6 metros de altura, com flores perfumadas e atraindo muitas abelhas.","Eugenia sprengelii DC.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","1098","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","Sobral, M",2006,"",,"","Sevegnani, L.",2001,12,1,"Brazil","Santa Catarina","Blumenau","Rua das Palmeiras.",,,"Habito: arvoreta;","Eugenia sprengelii DC.","",,"GBIF"
"","JBRJ","RB","RB00308799","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","C.G. Pinto",,"","67","","C.G. Pinto; M.D. Campos et Filipe",1999,4,19,"Brazil","Rio de Janeiro","Rio de Janeiro","Cultivada no Arboreto do IBRJ, seção VIII, canteiro 8B, indivíduo 1987.",,,"Arbusto, folhas membranáceas, discolores verdes, aciculadas.","Eugenia sprengelii DC.","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","5529","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","E.R. Salviani & H. Lorenzi",1998,"","305","","E.R. Salviani & H. Lorenzi",1998,10,27,"Brazil","Sp","Nova Odessa","Coletado na Nova Plast.",,,,"Eugenia sprengelii DC.","",,"GBIF"
"","JBRJ","RB","RB00308790","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","J. Fontella",,"",,"","J. Caruso Gomes; J. Fontella",1991,8,,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico. Canteiro H, seção 20, 886 (150).",,,"Árvore com folhas simples e opostas.","Eugenia sprengelii DC.","",,"GBIF"
"","JBRJ","RB","RB00308815","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.",,,"","838","","L.C. Giordano; et al",1990,7,5,"Brazil","Rio de Janeiro","Rio de Janeiro","Cultivado no Arboreto do Jardim Botânico (seção II, canteiro D).",,,"Árvore com folhas diminutas, verdes discolores. Material estéril. Nº de plotagem 304.","Eugenia sprengelii DC.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","39592","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.","M. Sobral",,"","2134","","L. A. Mattos-Silva",1986,8,15,"Brazil","Bahia","FEIRA DE SANTANA","Área do Horto da Flora Bahia, ajardinamento LTDA. Bairro Sobradinho.",,,,"Eugenia sprengelii DC.","",,"GBIF"
"","JBRJ","RB","RB00308822","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.",,,"","220","","M. Nadruz; et al",1985,6,14,"Brazil","Rio de Janeiro","Rio de Janeiro","Estrada das Canoas 3520 IBM.",,,"Árvore, folhas concolores, frutos marrons, Arv.33","Eugenia sprengelii DC.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","145658","Eugenia sprengelii","","Myrtaceae","Eugenia","sprengelii","","DC.",,,"","s.n.","","Mike Hopkins",1985,8,30,"Brazil","Rio de Janeiro",,"Jardim Botânico, Seção 2-cant. D, piquete 6",,,,"Eugenia sprengelii DC.","",,"GBIF"
