"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01395406","Eugenia umbrosa","","Myrtaceae","Eugenia","umbrosa","","O.Berg","T. Fernandes",,"","169","","T. Fernandes",2018,4,20,"Brazil","Rio de Janeiro","Nova Iguaçu",,,,"Arvoreta, ca. 4 m. Folhas discolores, face abaxial verde claro. Inflorescência racemosa caulinar, flores secas (botões) marrons com cálice 4-mero, frutos imaturos verdes com 4 sépalas imbricadas no ápice.","Eugenia umbrosa O.Berg","",,"GBIF"
"","JBRJ","RB","RB01398711","Eugenia umbrosa","","Myrtaceae","Eugenia","umbrosa","","O.Berg","T.Fernandes",,"","20253","","G.Martinelli; H.C.Lima, C.Baez, E.Fernandez, R.Chaves, L.E Lerina",2018,4,4,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","RPPN Régua, trilha Verde. entre alojamento e cachoeira, margens do Rio Manoel Alexandre.",-22.395278,-42.736111,"arvoreta, 4,5m, ciófila, na margem de rio; folhas verdes, marcadamente discolores; flores passadas alvacentas; frutos imaturos verde-alvacento","Eugenia umbrosa O.Berg","",,"GBIF"
"","JBRJ","RB","RB01387831","Eugenia umbrosa","","Myrtaceae","Eugenia","umbrosa","","O.Berg","L. F. Gonçalves",,"","230","","L. F. Gonçalves",2016,1,2,"Brazil","Rio de Janeiro","Teresópolis","Estrada da Barragem, próximo a entrada (mais alta) da Trilha da Primavera",-22.451944,-42.991667,"Flores alvas em profusão, suave aroma adocicado","Eugenia umbrosa O.Berg","",,"GBIF"
"","JBRJ","RB","RB01389125","Eugenia umbrosa","","Myrtaceae","Eugenia","umbrosa","","O.Berg","L. F. Gonçalves",,"","239","","L. F. Gonçalves",2016,1,28,"Brazil","Rio de Janeiro","Teresópolis","Barragem",-22.451389,-43.001111,"Flores brancas em profussão, aroma adocicado","Eugenia umbrosa O.Berg","",,"GBIF"
"","JBRJ","RB","RB01390819","Eugenia umbrosa","","Myrtaceae","Eugenia","umbrosa","","O.Berg","L.F. Gonçalves",,"","290","","L.F.Gonçalves",2016,7,29,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Barragem. Parque Nacional da Serra dos Órgãos",-22.451389,-43.001111,"Árvore aprox. 12m. Frutos ainda imaturos.","Eugenia umbrosa O.Berg","",,"GBIF"
"","JBRJ","RB","RB01390868","Eugenia umbrosa","","Myrtaceae","Eugenia","umbrosa","","O.Berg","L.F. Gonçalves",,"","339","","L.F.Gonçalves",2016,10,13,"Brazil","Rio de Janeiro","Guapimirim","Parque Nacional da Serra dos Órgãos. Margem da estrada Guapimirim x Teresópolis, Vale do Garrafão, próximo ao Mirante da Vista Soberba. Parque Nacional da Serra dos Órgãos",-22.463611,-42.989722,"Árvore aprox. 12m., D.A.P. 20cm.; Poucos frutos bem desenvolvidos, bem desenvolvidos.","Eugenia umbrosa O.Berg","",,"GBIF"
"","JBRJ","RB","RB01390876","Eugenia umbrosa","","Myrtaceae","Eugenia","umbrosa","","O.Berg","L.F. Gonçalves",,"","347","","L.F.Gonçalves",2016,10,29,"Brazil","Rio de Janeiro","Guapimirim","Parque Nacional da Serra dos Órgãos. Em frente ao Poço da Ponte Quebrada. Parque Nacional da Serra dos Órgãos",-22.493611,-42.998611,"Árvore aprox. 8m.,fruto castanho.","Eugenia umbrosa O.Berg","",,"GBIF"
"","JBRJ","RB","RB01316827","Eugenia umbrosa","","Myrtaceae","Eugenia","umbrosa","","O.Berg","M.Sobral",,"","538","","M. Figueira; B. Schindler",2016,12,1,"Brazil","Alagoas","Murici","Nas proximidades do AL13A (conglomerado do Inventário Florestal Nacional)",-9.180278,-35.911667,,"Eugenia umbrosa O.Berg","",,"GBIF"
"","UFPB","JPB","63678","Eugenia umbrosa","","Myrtaceae","Eugenia","umbrosa","","O.Berg","Figueira, M",2018,"","538","","M.Figueira; B.Schindler",2016,12,1,"Brazil","Alagoas","Murici","nas proximidades do AL13A (conglomerado do Inventário Florestal Nacional)",-9.180321,-35.911626,"Arvoreta, alt. ca. de 4 m, sépalas verdes e conspícuas; HABITAT: Floresta Pluvial Tropical do Domínio Atlântico, aprox. 500 m de altitude, área de pastagem","Eugenia umbrosa O.Berg","",,"GBIF"
"","USP","SPF","223487","Eugenia umbrosa","","Myrtaceae","Eugenia","umbrosa","","O.Berg","Giaretta, A",2016,"","1462","","Giaretta, A",2015,1,27,"Brazil","Rio de Janeiro","Rio de Janeiro","Baixo Gávea. Remanescente perturbado de floresta sobre morro. Acesso sobre a Vila do Major.",-22.97,-43.228444,"Arbusto ca. 2,5 m alt., em sub-bosque. Amostra em sílica.","Eugenia umbrosa O.Berg","",,"GBIF"
