"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01387832","Eugenia xanthoxyloides","","Myrtaceae","Eugenia","xanthoxyloides","","Cambess.","L. F. Gonçalves",,"","231","","L. F. Gonçalves",2016,1,5,"Brazil","Rio de Janeiro","Guapimirim","Margem do Rio Soberbo (Poço Verde)",-22.491944,-43.004167,"Frutos avermelhados já passados","Eugenia xanthoxyloides Cambess.","",,"GBIF"
"","JBRJ","RB","RB01390820","Eugenia xanthoxyloides","","Myrtaceae","Eugenia","xanthoxyloides","","Cambess.","L.F. Gonçalves",,"","291","","L.F.Gonçalves",2016,7,29,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha do Poço Dois Irmãos. Parque Nacional da Serra dos Órgãos",-22.448611,-42.988055,"Arvoreta aprox. 4,5m. E 2,5 de D.A.P. Flores brancas já passadas, caule descamante.","Eugenia xanthoxyloides Cambess.","",,"GBIF"
"","JBRJ","RB","RB01040336","Eugenia xanthoxyloides","","Myrtaceae","Eugenia","xanthoxyloides","","Cambess.","M.Sobral",,"","608","","I.G. Costa",2015,1,24,"Brazil","Rio de Janeiro","São Fidélis","Fazenda Santa Rita, Serra da Bandeira. na mata à margem da trilha.",-21.565556,-41.5525,"lâmina papirácea esverdeada.","Eugenia xanthoxyloides Cambess.","",,"GBIF"
"","JBRJ","RB","RB01028412","Eugenia xanthoxyloides","","Myrtaceae","Eugenia","xanthoxyloides","","Cambess.","M.Sobral",,"","59a","","Francisco García Gonzálvez",2015,8,7,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos.",0,0,,"Eugenia xanthoxyloides Cambess.","",,"GBIF"
"","JBRJ","RB","RB01387840","Eugenia xanthoxyloides","","Myrtaceae","Eugenia","xanthoxyloides","","Cambess.","L. F. Gonçalves",,"","168","","L. F. Gonçalves",2015,8,18,"Brazil","Rio de Janeiro","Teresópolis","Bosque Santa Helena",-22.449167,-42.988055,"Folhas glabras. Caule avermelhado descamante","Eugenia xanthoxyloides Cambess.","",,"GBIF"
"","JBRJ","RB","RB01387847","Eugenia xanthoxyloides","","Myrtaceae","Eugenia","xanthoxyloides","","Cambess.","L. F. Gonçalves",,"","175","","L. F. Gonçalves",2015,11,14,"Brazil","Rio de Janeiro","Teresópolis","Bosque Santa Helena. Margem do rio Paquequer",-22.449167,-42.988055,"Frutos vermelhos","Eugenia xanthoxyloides Cambess.","",,"GBIF"
"","JBRJ","RB","RB01387932","Eugenia xanthoxyloides","","Myrtaceae","Eugenia","xanthoxyloides","","Cambess.","L. F. Gonçalves",,"","115","","L. F. Gonçalves",2014,12,7,"Brazil","Rio de Janeiro","Guapimirim","Trilha do Dedinho de nossa Senhora",-22.476667,-43.008889,"Pequenos frutos alvo/avermelhados","Eugenia xanthoxyloides Cambess.","",,"GBIF"
"","K","Herbarium","K000812411","Eugenia xanthoxyloides","","Myrtaceae","Eugenia","xanthoxyloides","","Cambess.","Mazine, F.F.",,"","783","","Saavedra, M.M.; Santos, M.F.; Lobao, A.Q.; Fiaschi, P.",2012,1,9,"Brazil",,"Casimiro de Abreu","Reserva Biologica Uniao. T1, ramal da Trilha Principal, acesso pela Estrada da Macuca. No sub-bosque da mata, antes da baixada.",-22.44,-42.03,"Material armazenado em silica-gel. Material prensado em alcool.","Eugenia xanthoxyloides Cambess.","",,"GBIF"
"","JBRJ","RB","RB00600640","Eugenia xanthoxyloides","","Myrtaceae","Eugenia","xanthoxyloides","","Cambess.","M. Souza",2012,"","2470","","M. Nadruz; N. Vasconcellos, F. Bastos, L.G.B. Inacio, M. Souza, L. Fernando",2010,9,22,"Brazil","Rio de Janeiro","Teresópolis","Trilha do Rio Soberbo. Parque Nacional Serra dos Órgãos",,,"Lâmina membranácea discolor; pedicelo esverdeado; flores passadas.","Eugenia xanthoxyloides Cambess.","",,"GBIF"
"","JBRJ","RB","RB00660858","Eugenia xanthoxyloides","","Myrtaceae","Eugenia","xanthoxyloides","","Cambess.","O. Thier & M. Sobral",,"","OT 2102","","O. Thier; K. Baber, R. Engelmann, D. Sattler, J. Wesenberg",2010,9,30,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual do Paraiso. near to the Centro de Primatologia.",-22.474444,-42.931944,"Fruits red with one single, heartshaped seed, dbh = 4 cm","Eugenia xanthoxyloides Cambess.","",,"GBIF"
