"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01407265","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","M. Sobral",,"","776","","J. Külkamp; C. Farney & B.P.Agapito",2019,3,22,"Brazil","Rio de Janeiro","Saquarema","Interior da reserva.",-22.927222,-42.456944,,"Eugenia zuccarinii O.Berg","",,"GBIF"
"","JBRJ","RB","RB01395393","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","T. Fernandes",,"","283","","T. Fernandes",2018,7,9,"Brazil","Rio de Janeiro","Niterói","Itaipuaçu - Trilha para a Pedra do Elefante/Alto Mourão. Parque Estadual da Serra da Tiririca",,,"Árvore, 5 m. Frutos imaturos verdes, maduros vermelhos. Cotilédones carnosos, bipartidos.","Eugenia zuccarinii O.Berg","",,"GBIF"
"","UFES","VIES","38538","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","A. Giantta",2017,"","376","","Dal col, A.C.S.; Cardoso, W.C.",2015,6,7,"Brazil","Espírito Santo","Guarapari",,,,,"Eugenia zuccarinii O.Berg","",,"GBIF"
"","UFES","VIES","39398","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","A. Giaretta",2017,"","94","","Wandekoken, D.T.; Lourenço-Junior, J. & Pereira, O.J.",2015,10,10,"Brazil","Espírito Santo","Guarapari","Parque Estadual Paulo Cesar Vinha",-20.6975,-40.423889,"Floresta não inundável.","Eugenia zuccarinii O.Berg","",,"GBIF"
"","Reserva Natural Vale","CVRD","14691","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","Karinne S. Valdemarin",2019,"","7147","","Folli, D.A.",2013,12,2,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Batinga barreira","Eugenia zuccarinii O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","112341","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","Giaretta, A",2019,"","60","","Stadnik, A; Vieira, TL; Moura, L",2012,1,12,"Brazil","Bahia","Jacobina","Estancia dos Bandeirantes.",,,"ca. 5m alt. Folhas discolores. Frutos verdes imaturos, roxos maduros.","Eugenia zuccarinii O.Berg","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","127605","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","A. Giaretta",,"","1016","","D. Rocha",2010,3,21,"Brazil","Bahia","CAMACAN","RPPN Serra Bonita. 9,7 km de Camacan na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e torre. Trilha da Bapeba. Área da fitossociologia.",-15.391667,-39.565278,,"Eugenia zuccarinii O.Berg","",,"GBIF"
"","MBML","MBML-HERBARIO","44347","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","A. Giaretta/20-09-2017",,"","305","","L. Daneu; G.M. Carvalho & L.C. Gomes",2010,3,15,"Brazil","Bahia","Porto Seguro","Trilha do Pequí, bloco 4 da RPPN Estação Veracel. Vertente, mata alta",-16.419167,-39.202222,"Árvore ca 15m alt., folhas verde escura com a face inferior mais clara. Flores e botões brancos","Eugenia zuccarinii O.Berg","",,"GBIF"
"","Reserva Natural Vale","CVRD","13035","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","Karinne S. Valdemarin",2019,"","6630","","Folli, D.A.",2010,5,30,"Brazil","Ba","PORTO SEGURO",,-16.567371,-39.168628,"Propiedade Symbiosis Investimentos <ll>dwc_commonname:</ll> Batinga barreira","Eugenia zuccarinii O.Berg","",,"GBIF"
"","UFES","VIES","32614","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","A. Giaretta",2017,"","3955","","Gomes, J.M.L.",2010,11,8,"Brazil","Espírito Santo","Aracruz","Vila do Riacho.",,,,"Eugenia zuccarinii O.Berg","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","126369","Eugenia zuccarinii","","Myrtaceae","Eugenia","zuccarinii","","O.Berg","A. Giaretta",,"","7747","","A. M. Amorim",2009,1,15,"Brazil","Bahia","CAMACAN","RPPN Serra Bonita, área do inventário de fenologia.",-15.391667,-39.565278,,"Eugenia zuccarinii O.Berg","",,"GBIF"
