"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Jardim Botânico de Brasília","HEPH","32477","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Rosa, PO",2017,"","6445","","Faria, JEQ",2016,8,16,"Brazil","Minas Gerais","Diamantina","Margem da rodovia de Medanha para Diamantina",-18.181111,-43.555,"Arbusto profusamente ramificado ca. 1,6 m de altura, boões florais verdes; Campo rupestre","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","32478","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Rosa, PO",2017,"","6449","","Faria, JEQ",2016,8,17,"Brazil","Minas Gerais","Diamantina","Margem da rodovia de Medanha para Diamantina",-18.183611,-43.548056,"Arbusto ca. 1,5 m de altura, botões florais verdes; Campo rupestre","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","32479","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Rosa, PO",2017,"","6395","","Faria, JEQ; Pinheiro, AC",2016,8,1,"Brazil","Minas Gerais","Diamantina","Campus JK da UFVJM",-18.198611,-43.571111,"Arbusto ca. 2,2 m de altura, botões florais verdes; Campo rupestre","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Reserva Natural Vale","CVRD","14396","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Domingos A. Folli",2013,"","7038","","Folli, D.A.",2013,3,26,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Camucá mirim","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFES","VIES","26923","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giaretta, A.O.",2011,"","998","","Giaretta, A.O.; Menezes, L.F.T.; Souza, M.C. & Ribeiro, M.",2011,9,3,"Brazil","Espírito Santo","Linhares","Degredo.",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00686320","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,,"","998","","A. Giaretta; L.F.T. Menezes, M.C. Souza & M. Ribeiro",2011,9,3,"Brazil","Espírito Santo","Linhares","Degredo",-19.433333,-39.818055,"Árvore de 5 metros de altura. Botões jovens.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFSCar","SORO","6080","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,,"","998","","Giaretta, A.; Menezes, L.F.T.; Souza, M.C.; Ribeiro, M.",2011,9,3,"Brazil","Espírito Santo","Linhares","Degredo. Floresta de restinga seca sobre cordões arenosos coalescentes.",-19.433333,-39.738417,"Árvore de 5 metros de altura. Botões jovens.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","163940","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,2019,"","s.n.","","Mendes, MS",2011,12,,"Brazil","Minas Gerais","São Brás do Suaçuí","Área da CSN - Zona rural. Coordenadas aproximadas.",-21.021028,-44.643442,"Coordenadas aproximadas.; Arbóreo.; Floresta secundária.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Reserva Natural Vale","CVRD","13144","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Geovane S. Siqueira",2010,"","578","","Siqueira, G.S.",2010,10,14,"Brazil","Es","LINHARES","Borda do nativo da cainga",-19.096822,-39.914819,"<ll>dwc_commonname:</ll> Camucá mirim","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","171414","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,2019,"","950","","Faria, JEQ; Proença, CEB; Villarroel, D",2010,11,11,"Brazil","Minas Gerais","Itabira","Estrada Itabira - João Monlevade, Margem da estrada entre Itabira e João Monlevade. Floresta ombrófila antropizada.",-19.695,-43.191944,"Árvore ca. 8m de altura, frutos imaturos verdes","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Reserva Natural Vale","CVRD","12580","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Domingos A. Folli",2009,"","6439","","Folli, D.A.",2009,10,21,"Brazil","Es","LINHARES",,-19.105776,-39.911398,"<ll>dwc_commonname:</ll> Camucá mirim","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","171381","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,2019,"","666","","Faria, JEQ; Caires, CS; Carvalho, PS",2009,10,3,"Brazil","Minas Gerais","Lagoa Dourada","Coletada à margem da BR- 040 (km-52), próximo à Lagoa Dourada. Cerradão.",-20.828889,-44.058889,"Árvore ca. de 3,5m de altura, frutos imaturos verdes, caule bem rugoso e com liquens; solo areno-argiloso, relevo plano","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Reserva Natural Vale","CVRD","11265","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Domingos A. Folli",2008,"","6061","","Folli, D.A.",2008,5,12,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Camucá mirim","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFSJ","HUFSJ","3361","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Sobral, M",2012,"","357","","Oliveira, AG; Monteiro, MM; Cruz, TS",2008,10,18,"Brazil","Espírito Santo","Conceição da Barra","itaúnas, mata de restinga sobre cordão arenoso próximo de uma área entre cordões dominada por Montrichardia. Área atrás da fazenda Jequitaia",-18.423889,-39.739167,"Árvore de 14m com flores alvas.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00746108","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","A.G. Oliveira et M. Souza",,"","357","","A.G. Oliveira; M.M. Monteiro; T.S. Cruz",2008,10,18,"Brazil","Espírito Santo","Conceição da Barra","Itaúnas. Área atrás da fazenda Jequitaia.",-18.423889,-39.739167,"Árvore de 14m com flores alvas","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFES","VIES","31596","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giareto",2011,"","292","","Dias, H.M.; Santos, J.A.; Machado, U.N.; Serafim, J.A.S. & Jesus, J.B.G.",2007,10,9,"Brazil","Bahia","Caravelas",,,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00651800","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giareto",,"","292","","H.M. Dias; et al",2007,10,9,"Brazil","Bahia","Caravelas","Extremo Sul da Bahia. Ilha do Cassurubá, na região conhecisa como ""telhas"". Próximo à região de Barra Velha, distrito de Nova Viçosa. Região com pequenos sítios de população ribeirinha tradicional.",-17.824444,-39.286667,"árvore, 4,0m de alt., com botões amarelados, abundantes no final do ramo foliar. Com abundância de pontuações nas folhas. Folhas discolores verdes e com pecíolo amarelado.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFES","VIES","29251","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giaretta, A.O.",2011,"","25","","Cavalcanti, A.C.S.; Farney, C.; Dias, H.M.; Menezes, L.F.T.; Araújo Filho, P.B.; et al.",2007,11,9,"Brazil","Bahia","Caravelas","Sítio Cornioba.",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","USP","SPF","214017","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giaretta, A",2011,"","25","","Cavalcanti, ACS",2007,11,9,"Brazil","Bahia","Caravelas",,,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00511801","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giaretta",,"","25","","A.C.S.Cavalcanti; C.Farney ;  H.M.Dias; L.F.T. Menezes ; P.B.Araujo Filho ; et.al.",2007,11,9,"Brazil","Bahia","Caravelas","Rio Caribé de Cima, Sítio Cornioba, Floresta de Restinga.",,,"Arbusto ca. 3m com ramos acinzentado e pedúnculo esverdeado; folhas de face superior verde escura brilhosa e inferior mais clara e fosca; botões florais e frutos amarelos.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","NY","NY","720535","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,,"","25","","A. C. S. Cavalcanti",2007,11,9,"Brazil","Bahia",,"Rio Caribé de Cima, Sítio Cornioba, Floresta de Restinga.",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","136772","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giaretta",,"","25","","A. C. S. Cavalcanti",2007,11,9,"Brazil","Bahia","caravelas","Rio Caribé de Cima. Sítio Cornioba.",,,"<ll>dwc_commonname:</ll>","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00555551","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,,"","632","","C. V. Vidal ; W. A. C. Carvalho",2006,7,27,"Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","CVRD, Projeto Barragem Norte da Mina de Brucutu, Rio Una.",,,"Arbóreo.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Reserva Natural Vale","CVRD","9790","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Domingos A. Folli",2006,"","5386","","Folli, D.A.",2006,10,18,"Brazil","Es","CONCEIÇÃO DA BARRA",,,,"<ll>dwc_commonname:</ll> Camucá mirim","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00579807","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Leidiana Lima",2012,"","634","","E.J.Lucas; et al.",2006,11,23,"Brazil","Minas Gerais","Faria Lemos","Fazenda Santa Rita,trilha do córrego.",-20.760278,-42.056667,"Árvore de c.15m de altura,frutos verde,embrião amarelo-verde claro.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UEFS","HUEFS","127557","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","M.Sobral",2012,"","4794","","Jardim, J.G.",2005,12,10,"Brazil","Bahia","Barro Preto","Serra da Pedra Lascada, 13,7 km de Barro Preto, na estrada que passa pela faz. São Miguel em direção à erra. Trilha margeando a encosta da Serra vertente W.",-14.770278,-39.536111,"Floresta ombrófila densa sub-montana.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00520655","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Leidiana Lima",2012,"","4794","","J. G. Jardim ; A. Q. B. S. Jardim & S. C. Sant´Ana",2005,12,10,"Brazil","Bahia","Barro Preto","Serra da Pedra Lascada, 13,7 km de Barro Preto, na estrada que passa pela Faz. São Miguel em direção à Serra. Trilha margeando a encosta da Serra vertente W.",-14.770278,-39.536111,"Árvore ca. 8 m de alt. Folhas verde-escuro com a face inferior mais clara. Corola branca, cálice esverdeado","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","NY","NY","1262240","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","M. Sobral",2012,"","4794","","J. G. Jardim",2005,12,10,"Brazil","Bahia",,"Serra da Pedra Lascada, 13,7 km de Barro Preto, na estrada que passa pela Faz. São Miguel em direção a serra. Trilha margeando a encosta da Serra vertente",-14.7703,-39.5361,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Reserva Natural Vale","CVRD","8883","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Eve Lucas & Laura Jennings",2006,"","4932","","Folli, D.A.",2004,9,15,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Camucá mirim","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UnB","UB","195033","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,,"","4932","","Folli, DA",2004,9,15,"Brazil","Espírito Santo","Linhares","Reserva Natural da CVRD. Estrada Gávea, km 19,89",,,"Árvore, fuste cilíndrico, casca áspera. Flor creme, botão verde. Exsudação de seiva incolor.; Mata ciliar","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","USP","SPF","223189","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Jennings, L; Lucas, E",2006,"","4932","","Folli, DA",2004,9,15,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","104945","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,2007,"","742","","Silva, AF",2004,10,2,"Brazil","Minas Gerais","Lavras","Reserva Boqueirão, Mata Ciliar",,,"Árvore com 4m de altura, folhas simples de limbo estreito, opostas e glabras, flores brancas.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","96440","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,2019,"","1167","","Meireles, LD; Faria, PCL; Antunes, LCB",2002,9,25,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,"Árvore, 8m. Folhas levemente discolores, inflorescência levemente ferrugínea, flores cremes","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","USP","SPF","214667","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Santos, MF",2014,"","807","","Matsumoto, K",2002,10,13,"Brazil","Espírito Santo",,"Lagoa Juparanã.",-19.306222,-40.087694,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00310849","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","M.Sobral",2011,"","2267","","J.G.Jardim; S.C. de San`Ana, R.Raboy",1999,10,28,"Brazil","Bahia","Una","Reserva Biológica (IBAMA). entrada ca. 46 Km da BR- 001 Ilhéus/Una.",-15.185,-39.051944,"Árvore 107, com ca. 20m alt. Folhas discolores, verdes na face superior e a face interior ferrugínea nas folhas jovens. Flores em botões esverdeados","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFES","VIES","10008","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Sobral, M.",1997,"","5765","","Pereira, O.J.; Assis, A.M.",1996,12,16,"Brazil","Espírito Santo","Linhares","Degredo.",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Reserva Natural Vale","CVRD","5099","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Marcos Sobral",2007,"","2462","","Folli, D.A.",1995,1,9,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Camucá mirim","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFSJ","HUFSJ","3657","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Sobral, M",2012,"","621","","De Assis, MA",1995,10,11,"Brazil","Espírito Santo","Santa Cruz","Aldeia Tupiniquins.",,,"Árvore de 10m de altura. Inflorescência amareladas com botões esbranquiçados.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Instituto de Botânica","SP","299130B","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Sobral, M",2007,"","621","","Assis, MA",1995,10,11,"Brazil","Espírito Santo","Santa Cruz","Caieiras Velha, Aldeia Tupi-Niquins. Mata atlântica de baixa encosta.",,,"Árvore 10m alt., infloresc. amareladas com botões esbranquiçados.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFES","VIES","14139","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,,"","5103","","Pereira, O.J.; Gomes, J.M.L. & Fraga, C.N.",1993,10,19,"Brazil","Espírito Santo","Linhares","Comboios.",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFES","VIES","7207","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giaretta, A.O.",2012,"","3159","","Pereira, O.J.; Gomes, J.M.L.; Martins, M.L.L.; Pereira, S.V. & Simões, J.M.",1992,3,26,"Brazil","Espírito Santo","Conceição da Barra",,,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00310666","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giaretta. A.",,"","3427","","Pereira; et al",1992,6,9,"Brazil","Espírito Santo","Conceição da Barra","área 135 da aracruz celulose S.A.",,,"ca. 3m de alt.; fruto vinoso.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00310658","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giaretta. A.",,"","4022","","Pereira; et al",1992,10,28,"Brazil","Espírito Santo","Aracruz","Comboia.",,,"ca. 4m de alt; caule liso, sem ritidoma.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00310672","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giaretta. A.",,"","3921","","Pereira; et al",1992,10,14,"Brazil","Espírito Santo","Conceição da Barra","Área 135 da Aracruz celulose S.A.",,,"Flor alva, Caule rugoso.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFES","VIES","6029","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Giaretta, A.O.",2012,"","2441","","Pereira, O.J.",1991,11,14,"Brazil","Espírito Santo","Linhares","Areal.",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UFRGS","ICN","098698","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Kirizawa, M",1992,"","2534","","Kirizawa, M; Lopes, EA; Sobral, M",1991,11,5,"Brazil","Sp","Santo André","Reserva Biológica do Alto da Serra de Paranapiacaca",,,"Arvoreta de 3-4 m de altura; fruto verde-avermelhado.; Mata de encosta, próximo da área de fitossociologia","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Instituto de Botânica","SP","249763","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Kirizawa, M",1992,"","2534","","Kirizawa, M; Lopes, EA; Sobral, M",1991,11,5,"Brazil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba",,,"Mata de encosta, picada Lutz, próximo da área de fitossociologia, arvoreta 3-4m de alt., fruto verde avermelhado","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00484008","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","M.Sobral",2010,"","1320","","J.M.L. Gomes",1990,8,7,"Brazil","Espírito Santo","Presidente Kennedy","Praia das Neves.",,,"Planta de 2m de altura","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Instituto de Botânica","SP","256094","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Melo, MMRF",1992,"","975","","Melo, MMRF",1990,12,6,"Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Mata de encosta do morro de captação de água",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Instituto de Botânica","SP","244393","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,,"","786","","Melo, MMRF; Penina, A",1988,3,1,"Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Instituto de Botânica","SP","244693","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,,"","788","","Melo, MMRF; Atanasio, A",1988,7,26,"Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Instituto de Botânica","SP","244395","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand",,,"","787","","Melo, MMRF; Ferreira, V",1988,7,22,"Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso",,,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","Instituto de Botânica","SP","226677","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Barroso, GM",1989,"","787","","Sugiyama, M; Kirizawa, M",1988,9,30,"Brazil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba",-23.783333,-46.316667,"Árvore 4,0., frutos verdes com manchas, quando maduros tornam-se pretos, em barranco da picada oito","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","K","Herbarium","K000330557","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Lucas, E.",,"","50772","","Hatschbach, G.; Silva, J.M.",1986,11,10,"Brazil",,"Linhares","Lagoa Juparana",-19.35,-40.17,,"Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
"","UNICAMP","UEC","45815","Marlierea polygama","","Myrtaceae","Marlierea","polygama","","(O.Berg) D.Legrand","Lima, DF",2010,"","732","","Weyland Vieira, MC",1983,10,11,"Brazil","Minas Gerais","Caratinga","Fazenda Montes Claros.",,,"Arvoreta. Botões Placa 3058, Beira estrada Matão.","Marlierea polygama (O.Berg) D.Legrand","",,"GBIF"
