"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFPE","UFP","76831","Marlierea teuscheriana","","Myrtaceae","Marlierea","teuscheriana","","(O.Berg) D.Legrand","Santos, M.F.",2015,"","1946","","Amorim, B.S.; Maciel, J.R. & Molino, J.",2014,3,19,"Brazil","Espírito Santo","Santa Teresa","Estação Bilógica de Santa Lúcia, Trilha do Palmito.",-19.972222,-40.527778,"Arvoreta 3,5m alt., frutos verdes.","Marlierea teuscheriana (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00759167","Marlierea teuscheriana","","Myrtaceae","Marlierea","teuscheriana","","(O.Berg) D.Legrand","T.FERNANDES",,"","782","","G.S. Siqueira; F.Mareto; C. Mareto; A. Mareto; F. Tássio",2012,9,8,"Brazil","Espírito Santo","Conceição do Castelo",,-30.385,-41.238333,"Porte arbustivo, terrestre de 2m alt.; fruto imaturo verde; exsudação seiva incolor. Descamação ausente.","Marlierea teuscheriana (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB01364268","Marlierea teuscheriana","","Myrtaceae","Marlierea","teuscheriana","","(O.Berg) D.Legrand","D.F.Lima",,"","7207","","L.S. Leoni; F. Lourenço",2008,8,12,"Brazil","Minas Gerais","Divino","Fazenda São Rufino. Taquaraçú, ao lado de nascente.",,,,"Marlierea teuscheriana (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00544281","Marlierea teuscheriana","","Myrtaceae","Marlierea","teuscheriana","","(O.Berg) D.Legrand","M. Sobral",2011,"","5021","","P.H. Labiak; R. C. Forzza; L. Kollmann & C.N. Fraga",2008,10,21,"Brazil","Espírito Santo","Cariacica","Pau Amarelo, ex-Condomínio Rural Cantinho do Céu. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",-20.278333,-40.540555,"Arvoreta cerca de 4 metros de altura. Flores brancas.","Marlierea teuscheriana (O.Berg) D.Legrand","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","191292","Marlierea teuscheriana","","Myrtaceae","Marlierea","teuscheriana","","(O.Berg) D.Legrand",,,"","422","","Giacomin, LL; Oliveira, CT",2008,12,21,"Brazil","Minas Gerais","Bom Jesus do Galho","Caminho para Lagoa Bonita, Em fazenda, próximo a eucaliptal.",-19.624306,-42.437833,"Arbusto lianescente. Frutos negros.; Em mata ciliar. Em fragmento de floresta ombrófila degradada.","Marlierea teuscheriana (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00561944","Marlierea teuscheriana","","Myrtaceae","Marlierea","teuscheriana","","(O.Berg) D.Legrand","M.Sobral",2010,"","3058","","A. P. Fontana; K.A. Brahim, L.Kollmann e R. Perdiz",2007,3,16,"Brazil","Espírito Santo","Santa Leopoldina","California, propriedade de Albertino Kriger. Floresta Ombrófila Aberta, Mata de Encosta.",-20.328889,-40.674167,"Arbusto, ca. 13m, na sombra. Frutos verdes.","Marlierea teuscheriana (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB01338949","Marlierea teuscheriana","","Myrtaceae","Marlierea","teuscheriana","","(O.Berg) D.Legrand","M.Sobral",,"","6870","","L.S. Leoni",2007,4,20,"Brazil","Minas Gerais","Faria Lemos","Fazenda Santa Rita",,,"Arbusto ca. 2,9-3,5 m de altura. Caule liso; ramos flexíveis, baixos. Fruto imaturo","Marlierea teuscheriana (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB01338832","Marlierea teuscheriana","","Myrtaceae","Marlierea","teuscheriana","","(O.Berg) D.Legrand","Marcos Eduardo Guerra Sobral",,"","6912","","L.S. Leoni",2007,6,15,"Brazil","Minas Gerais","Tombos","APA Agua Santa de Minas, crescendo no interior da floresta",,,"Árvore ca3,5 - 4 m de altura; ramos longos, flexíveis. Frutos imaturos","Marlierea teuscheriana (O.Berg) D.Legrand","",,"GBIF"
"","MBML","MBML-HERBARIO","32422","Marlierea teuscheriana","","Myrtaceae","Marlierea","teuscheriana","","(O.Berg) D.Legrand","M. Sobral/2008",,"","4652","","V. Demuner; T. A. Cruz, M.Belizário.",2007,11,30,"Brazil","Espírito Santo","Santa Leopoldina","Pedra Branca, Mata na Serra Santa Lucia, propr.: Cristiano Bremencampi.",-20.026667,-40.492222,"Arbusto 5m, botões florais verdes, estames brancos. Interior de mata.","Marlierea teuscheriana (O.Berg) D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00472949","Marlierea teuscheriana","","Myrtaceae","Marlierea","teuscheriana","","(O.Berg) D.Legrand","T. Fernandes",2018,"","437","","M.C.Souza; M.Sobral & F.Salgueiro",2006,10,25,"Brazil","Rio de Janeiro","Paraty","Mambucaba.Estrada ao lado do posto de combustível BR em frente a Vila de funcionários da Usina ( Eletronuclear). cachoeira de abastecimento de água da Eletronuclear.",,,"Árvore de 10m de altura com folhas grandes e indumento castanho, estéril.Material coletado para extração de DNA.","Marlierea teuscheriana (O.Berg) D.Legrand","",,"GBIF"
