"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNIVILLE","JOI","18007","Myrceugenia acutiflora","","Myrtaceae","Myrceugenia","acutiflora","","(Kiaersk.) D.Legrand & Kausel","Vieira, F.C.S.",2019,"","2424","","Vieira, F.C.S.",2019,1,8,"Brazil","Santa Catarina","Joinville","Alto CubatÃ£o, sÃ­tio SurucuÃ¡.",,,"Fruto preto","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel","",,"GBIF"
"","IF","SPSF","52634","Myrceugenia acutiflora","","Myrtaceae","Myrceugenia","acutiflora","","(Kiaersk.) D.Legrand & Kausel","A.Maruyama",2018,"","1018","","A.Maruyama & L.Cicco",2018,2,11,"Brazil","Sp","Cunha",,-23.230278,-45.013611,"COLETA: Árvore com aprox. 6m de altura. Flores na cor branca.; GEOGRAFIA: Floresta Aluvial. Sítio Vivenda das Meninas, próximo à estrada do Paraibuna. Zona de amortecimento do PESM - Núcleo Cunha.;","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","61086","Myrceugenia acutiflora","","Myrtaceae","Myrceugenia","acutiflora","","(Kiaersk.) D.Legrand & Kausel","Vieira, F.C.S.",2018,"","2965","","Schwirkowski, P.",2018,8,4,"Brazil","Santa Catarina","Campo Alegre","Turvo. Próximo à estrada sentido Turvo. APA do Rio Turvo",-26.221944,-49.245555,"FOM, estágio secundário avançado. Esciófita. Frutos imaturos, verde claros Habitat: Borda do fragmento Habito: Árvore","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel","",,"GBIF"
"","UNIVILLE","JOI","17854","Myrceugenia acutiflora","","Myrtaceae","Myrceugenia","acutiflora","","(Kiaersk.) D.Legrand & Kausel","Vieira, F. C. S.",2018,"","2965","","Schwirkowski, P.",2018,8,4,"Brazil","Santa Catarina","Campo Alegre","APA do Rio Turvo. PrÃ³ximo Ã  estrada sentido Turvo.",-26.221944,-49.245556,"EsciÃ³fita. Frutos imaturos verde claros.","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel","",,"GBIF"
"","UNIVILLE","JOI","18148","Myrceugenia acutiflora","","Myrtaceae","Myrceugenia","acutiflora","","(Kiaersk.) D.Legrand & Kausel","Vieira, F.C.S.",2019,"","2902","","Vieira, F.C.S.",2018,12,3,"Brazil","Santa Catarina","Joinville","Estrada Laranjeiras.",-26.180278,-49.171389,"Fruto imaturo","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel","",,"GBIF"
"","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul","HAS","94657","Myrceugenia acutiflora","","Myrtaceae","Myrceugenia","acutiflora","","(Kiaersk.) D.Legrand & Kausel","Molz, M.",2017,"","s.n.","","Molz, M.; Seger, G.D.S. & Schwirkowski, P.",2017,1,,"Brazil","Santa Catarina","São Bento do Sul","Serra Alta",-26.29075,-49.38892,"Arvoreta com 10m de alt.; frutos imaturos. Coordenada aproximada","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel","",,"GBIF"
"","JBRJ","RB","RB01390922","Myrceugenia acutiflora","","Myrtaceae","Myrceugenia","acutiflora","","(Kiaersk.) D.Legrand & Kausel","L.F. Gonçalves",,"","393","","L.F.Gonçalves",2017,3,22,"Brazil","Rio de Janeiro","Petrópolis","Parque Nacional da Serra dos Órgãos. Margem do Rio Bonfim, Vale do Bonfim, próximo a pousada campo de aventuras. Parque Nacional da Serra dos Órgãos",-22.463889,-43.090833,"Árvore aprox. 9,5m., D.A.P.27cm., flores alvas, folhas com tricoma ferrugineo, aroma adocicado suave. Frequente nesta área.","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel","",,"GBIF"
"","JBRJ","RB","RB01390925","Myrceugenia acutiflora","","Myrtaceae","Myrceugenia","acutiflora","","(Kiaersk.) D.Legrand & Kausel","L.F. Gonçalves",,"","396","","L.F.Gonçalves",2017,3,24,"Brazil","Rio de Janeiro","Petrópolis","Parque Nacional da Serra dos Órgãos. Margem do Rio Bonfim, Véu de Noiva de Petrópolis. Parque Nacional da Serra dos Órgãos",-22.469722,-43.0725,"Árvore aprox. 14m., flores cor creme com tricomas ferrugineo. Frequente nesta área.","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel","",,"GBIF"
"","JBRJ","RB","RB01390939","Myrceugenia acutiflora","","Myrtaceae","Myrceugenia","acutiflora","","(Kiaersk.) D.Legrand & Kausel","L.F. Gonçalves",,"","410","","L.F.Gonçalves",2017,4,23,"Brazil","Rio de Janeiro","Petrópolis","Parque Nacional da Serra dos Órgãos. Trilha Uricanal. Parque Nacional da Serra dos Órgãos",-22.493055,-43.124167,"Árvore aprox. 8m. Flores passadas, tricoma ferrugineo em todo cálice.","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel","",,"GBIF"
"","JBRJ","RB","RB01390936","Myrceugenia acutiflora","","Myrtaceae","Myrceugenia","acutiflora","","(Kiaersk.) D.Legrand & Kausel","L.F. Gonçalves",,"","407","","L.F.Gonçalves",2017,4,15,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha 360°. Parque Nacional da Serra dos Órgãos",-22.457778,-42.9925,"Árvore aprox. 12m., D.A.P.48cm., Copa toda florida. Aroma adocicado, com muitas abelhas polinizando.","Myrceugenia acutiflora (Kiaersk.) D.Legrand & Kausel","",,"GBIF"
