"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01394438","Myrceugenia cucullata","","Myrtaceae","Myrceugenia","cucullata","","D.Legrand","M.Sobral",,"","2202","","P. Schwirkowski",2017,1,22,"Brazil","Santa Catarina","Campo Alegre","Rio Vermelho. Divisa com São Bento do Sul",-26.226111,-49.294167,"Heliófita. Flores creme","Myrceugenia cucullata D.Legrand","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","70353","Myrceugenia cucullata","","Myrtaceae","Myrceugenia","cucullata","","D.Legrand","M. Sobral",2019,"","708","","K. Antunes; L.D. Santana; C.N. Delgado; L.N. Gonçalvez",2017,8,1,"Brazil","Minas Gerais","Marmelópolis","APA da Mantiqueira, Serra dos Marins, Morro do Careca",-22.836331,-45.239597,"Arvoreta de 4,0 m de alt., em interior de Floresta Nebular. Frutos arroxeados","Myrceugenia cucullata D.Legrand","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","45370","Myrceugenia cucullata","","Myrtaceae","Myrceugenia","cucullata","","D.Legrand","Sobral, M",2015,"","829","","Oliveira, A.A. de",2015,1,9,"Brazil","Santa Catarina","Praia Grande","Fortaleza.",-29.159444,-49.9525,"Florística Entorno IFFSC 04 Habitat: Floresta Ombrófila Densa; Estágio Avançado; borda de floresta Habito: terrícola; flor amarela","Myrceugenia cucullata D.Legrand","",,"GBIF"
"","UDESC","LUSC","9511","Myrceugenia cucullata","","Myrtaceae","Myrceugenia","cucullata","","D.Legrand","Sobral. M",2015,"","829","","Oliveira, A.A. de",2015,1,9,"Brazil","Santa Catarina","Praia Grande","Fortaleza. Borda de floresta.",-29.159444,-49.9525,"Flor amarela","Myrceugenia cucullata D.Legrand","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","46587","Myrceugenia cucullata","","Myrtaceae","Myrceugenia","cucullata","","D.Legrand","Seubert, RC",2014,"","49","","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.",2014,8,22,"Brazil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí.",-27.113889,-49.209167,"Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arvoreta;","Myrceugenia cucullata D.Legrand","",,"GBIF"
"","UCS","HUCS","46569","Myrceugenia cucullata","","Myrtaceae","Myrceugenia","cucullata","","D.Legrand","Seubert, R.C.",2014,"","49","","Seubert, R.C.; Sampaio, D. .K.; Hofschneider, E.; Rezini, J. .A.; Gebien, W.",2014,8,22,"Brazil","Santa Catarina","Indaial","Faxinal do Bepe, Parque Nacional da Serra do Itajaí",-27.113889,-49.209167,"Arvoreta - Doação FURB 46587; Floresta Ombrófila Densa Montana; encosta","Myrceugenia cucullata D.Legrand","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","39444","Myrceugenia cucullata","","Myrtaceae","Myrceugenia","cucullata","","D.Legrand","Seubert, RC",2014,"","49","","Seubert, RC; Sampaio, DK; Hofschneider, E; Rezini, JA; Gebien, W",2014,8,22,"Brazil","Santa Catarina","Indaial","Faxinal do Bepe, Parque Nacional da Serra do Itajaí.",-27.065,-49.1233,"Arvoreta.; Floresta Ombrófila Densa Montana, encosta.","Myrceugenia cucullata D.Legrand","",,"GBIF"
"","JBRJ","RB","RB01385744","Myrceugenia cucullata","","Myrtaceae","Myrceugenia","cucullata","","D.Legrand","Seubert, RC",2014,"","49","","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.",2014,8,22,"Brazil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.",-27.113889,-49.209167,"Projeto Restaurar","Myrceugenia cucullata D.Legrand","",,"GBIF"
"","UDESC","LUSC","9516","Myrceugenia cucullata","","Myrtaceae","Myrceugenia","cucullata","","D.Legrand","Seubert, R.C.",2014,"","49","","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.",2014,8,22,"Brazil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Região de encosta.",-27.113889,-49.209167,,"Myrceugenia cucullata D.Legrand","",,"GBIF"
"","JBRJ","RB","RB01145795","Myrceugenia cucullata","","Myrtaceae","Myrceugenia","cucullata","","D.Legrand","LDMEIRELES",,"","487b","","D.Q. Domingos; B.C. Mourão",2014,10,14,"Brazil","Minas Gerais","Camanducaia","Monte Verde, trilha sentido Pedra Partida.",,,,"Myrceugenia cucullata D.Legrand","",,"GBIF"
