"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul","HAS","94854","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Mello, J.P.B. & Molz, M.",2018,"","1","","Mello, J.P.B.",2018,2,,"Brazil","Rio Grande do Sul","Caraá","Camping João Fernandes",-29.763861,-50.425715,"Na mata ciliar do Rio do Sinos, arvoreta 3m de altura.","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","UNIVILLE","JOI","17952","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Vieira, F.C.S.",2019,"","2368","","Vieira, F.C.S.",2018,12,19,"Brazil","Santa Catarina","TimbÃ³ Grande","Fazenda TimbÃ³ Grande.",,,"Flor BotÃ£o","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","UNIVILLE","JOI","17916","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Vieira, F.C.S.",2019,"","2329","","Vieira, F.C.S.",2018,12,15,"Brazil","Santa Catarina","Lages","Fazenda Santo Cristo.",,,"Flor BotÃ£o","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","15566","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Sobral, M.",2015,"","1268","","Liebsch, D.",2017,1,8,"Brazil","Santa Catarina","Vargem Bonita","Faz. Campina da Alegria",-27.0036,-51.7444,"Arvoreta 2m, flores brancas. Floresta Ombrófila Mista","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul","HAS","94719","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Molz, M.",2017,"","s.n.","","Molz, M.; Bergamin, R.S.",2017,12,,"Brazil","Rio Grande do Sul","Arvorezinha","Camping Perau de Janeiro",-28.85456,-52.29751,"Arvoreta com 7 m de altura. Datum WGS84","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","48741","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Oliveira, AA de",2015,"","2609","","Oliveira, A.A. de",2015,10,8,"Brazil","Santa Catarina","Ponte Serrada","Fazenda São Francisco.",-26.788611,-51.969722,,"Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","UDESC","LUSC","8791","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Sobral, M.",,"",,"","Dallabrida, J. P.",2014,7,15,"Brazil","Santa Catarina","Urubici","Morro da Igreja.",,,,"Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","39377","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Verdi, M",2012,"","6221","","Verdi, M.; Boeni, B.O.",2012,2,8,"Brazil","Rio Grande do Sul","Lagoa Vermelha","Boqueirão / PCH Boqueirão.",-28.400278,-51.344167,,"Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","39376","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Verdi, M",2012,"","6112","","Verdi, M.; Boeni, B.O.",2012,2,8,"Brazil","Rio Grande do Sul","Lagoa Vermelha","Boqueirão / PCH Boqueirão.",-28.400278,-51.344167,,"Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","JBRJ","RB","RB00873055","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","M. Verdi",2012,"","6112","","M. Verdi; B.O. Boeni",2012,2,8,"Brazil","Rio Grande do Sul","Lagoa Vermelha","Boqueirão;PCH Boqueirão.",-28.4,-51.333333,"Árvore ca 6 m alt.;","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","54991","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Mello, A.S.",,"","771","","Mello, A.S.; Nuernberg, A.",2012,7,14,"Brazil","Rio Grande do Sul","Gramado","Parque dos pinheiros.",,,"hábito arbóreo","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","UDESC","LUSC","8716","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Gomes, J.P.",,"",,"","Mendes, A.",2012,10,27,"Brazil","Santa Catarina","Bom Jesus",,,,,"Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","UDESC","LUSC","8712","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Mendes, A.",,"",,"","Mendes, A.",2012,10,27,"Brazil","Santa Catarina","Bom Jesus",,,,,"Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","UDESC","LUSC","6420","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Gomes, J.P.",,"",,"","Gomes, J.P.",2012,12,14,"Brazil","Santa Catarina","Urupema","Fazenda das Nascentes, Farofa.",,,,"Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul","HAS","49728","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Molz, M.",2017,"","1725","","Grings, M.",2012,12,,"Brazil","Rio Grande do Sul","Caraá","Fraga, propriedade de João Petró.",,,"em sub-bosque de mata de encosta ciliar; arvoreta de 5m, flores brancas.","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","UCS","HUCS","38681","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Grings, M.",2011,"","24175","","Mattos, J.; Mattos, N.",2011,8,5,"Brazil","Rio Grande do Sul","Nova Prata","11 km ao norte de Rio Branco - Estação Experimental",,,"ca. com 2 m alt. - HAS 76011","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","11281","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Sobral, M.",2011,"","1525","","Saueressig, D.; Henke, J.M.",2011,10,6,"Brazil","Santa Catarina","Passos Maia","entre Passos Maia e Ouro Verde",,,"arvoreta de 7 m, subosque de Mata de Araucária __COMMOM_NAME__: guamirim","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","UFRGS","ICN","165492","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Grings, M",,"","1060","","Grings, M; Setubal, RB; Pasini, E",2010,5,1,"Brazil","Rs","São Francisco de Paula","propriedade à beira da RS-235 a 12 Km do centro",,,"árvore de 8 m de altura; estéril; em sub-bosque de mata com araucária dominado pela espécie","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
"","UFRGS","ICN","165493","Myrceugenia mesomischa","","Myrtaceae","Myrceugenia","mesomischa","","(Burret) D.Legrand & Kausel","Grings, M",,"","1061","","Grings, M; Setubal, RB; Gheno, EM",2010,6,12,"Brazil","Rs","São Francisco de Paula","propriedade à beira da RS-235 a 12 Km do centro",,,"arvoreta de 5 m de altura; início da fase de maturação dos frutos; em sub-bosque de mata com araucária","Myrceugenia mesomischa (Burret) D.Legrand & Kausel","",,"GBIF"
