"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01402484","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","T. Fernandes",2019,"","707","","J.Külkamp",2019,1,2,"Brazil","Santa Catarina","Santa Rosa de Lima","Propriedade de Adir Külkamp.",-27.993889,-49.166667,,"Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","JBRJ","RB","RB01410375","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","M. Sobral",,"","794","","J. Külkamp",2019,4,21,"Brazil","Santa Catarina","Santa Rosa de Lima","Rio do Meio. Encosta próximo ao Rio do Meio.",-27.994722,-49.165278,,"Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul","HAS","96060","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","Pauli, A. V.; Piovesani, W. S.",,"","100","","Piovesani, W. S.; Martini, P.; Brack, P.",2019,5,,"Brazil","Rio Grande do Sul","Dom Pedro de Alcântara","RPPN do Prof. Baptista",-29.385611,-49.838681,"Árvore de porte médio com frutos imaturos; beira de FOD.","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","58127","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","Funez, L.A.",2018,"","7036","","Funez, L.A.; Zermiani, A.E.",2018,1,15,"Brazil","Santa Catarina","Penha","Trilha para Galheta e Galhetinha.",,,"Flores brancas Habitat: Floresta Habito: Árvore","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","60740","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","Völtz, R.R.",2018,"","1541","","Völtz, R.R.; Santos, G.H.",2018,4,30,"Brazil","Santa Catarina","Joinville","Rio Cubatão.",-26.153889,-49.018611,"Frutos verdes. Habitat: Floresta Ombrófila densa aluvial, margem do rio no interior de floresta aluvial. Habito: Arvoreta","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","UNIVILLE","JOI","17826","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","VÃ¶ltz, R. R.",2018,"","1541","","VÃ¶ltz, R. R.; Santos, G. H.",2018,4,30,"Brazil","Santa Catarina","Joinville","Rio CubatÃ£o, bairro Quiriri.",-26.153889,-49.018611,"Frutos verdes.","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","27290","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","R.R. Völtz",2018,"","1542","","R.R. Völtz",2018,6,2,"Brazil","Pr","Morretes","Parque Nacional Guaricana, trilha para o",-25.596111,-48.871111,"arvoreta 3 m alt.; frutos verdes. Interior de floresta de encosta.","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","59651","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","Kassner-Filho, A.",2018,"","3016","","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.",2018,7,3,"Brazil","Santa Catarina","Grão Pará",,-28.17,-49.322222,"fruto imaturo Habitat: interior da unidade amostral Habito: árvore","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","61070","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","Medeiros, A.",2018,"","2944","","Schwirkowski, P.",2018,7,21,"Brazil","Santa Catarina","São Bento do Sul","Rio Natal. Após a ponte pênsil para a localidade de Oswaldo Amaral.",-26.383056,-49.274444,"FOD, Estágio secundário avançado. Heliófita. Frutos imatutos, cor verde Habitat: Mata ciliar, borda Habito: Árvore","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","UCS","HUCS","49535","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","Medeiros, A.",2018,"","2944","","Schwirkowski, P.",2018,7,21,"Brazil","Santa Catarina","São Bento do Sul","Rio Natal. Após a ponte pênsil para a localidade de Oswaldo Amaral.",-26.383056,-49.274444,"FOD, Estágio secundário avançado. Heliófita. Frutos imatutos, cor verde","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","JBRJ","RB","RB01410836","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","R.R. Voltz",2017,"","1438","","R.R. Voltz; G.H. Santos",2017,1,9,"Brazil","Santa Catarina","São Francisco do Sul","Morro da Cruz.",-26.235,-48.624722,,"Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","16402","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","Lannoy, L.C.",2018,"","1438","","Völtz, R.R.; Santos, G.H.",2017,1,9,"Brazil","Santa Catarina","São Francisco do Sul","Morro da Cruz",-26.235,-48.6247,"Arvoreta 3 m, botões florais com cúpula esverdeada, flores com pétalas e anteras alvas; interior de floresta de encosta. Floresta Ombrófila Densa Submontana","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","15368","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","Lannoy, L.C.",2018,"","1182","","Völtz, R.R.",2017,2,4,"Brazil","Paraná","Guaraqueçaba","RPPN Salto Morato",-25.1769,-48.3022,"Arvoreta 6 m alt., no interior da Floresta Ombrófila Densa Submontana a 100 m s.n.m.; flores alvacentas.","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","52940","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","M. Sobral",2017,"","6135","","Funez, L.A.",2017,3,5,"Brazil","Santa Catarina","Timbó","Parque Henry Paul.",-26.826111,-49.283611,"Flores brancas Habitat: borda da floresta Habito: árvore","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
"","UDESC","LUSC","9163","Myrcia eugeniopsoides","","Myrtaceae","Myrcia","eugeniopsoides","","(D.Legrand & Kausel) Mazine","C. Mondin",,"","3728","","C. Mondin",2017,4,4,"Brazil","Santa Catarina","Florianópolis","Pântano do Sul, na trilha para Lagoinha do Leste.",,,"Arbusto com ca. 2 m altura, na mata.","Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine","",,"GBIF"
