"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01395366","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","T. Fernandes",,"","122","","T. Fernandes",2017,4,8,"Brazil","Rio de Janeiro","Teresópolis",,,,"Árvore, 7 m. Tricomas ferrugíneos. Folhas e ramos jovens tomentosos, frutos verdes pilosos.","Myrcia ferruginosa Mazine","",,"GBIF"
"","UFPR","UPCB","93400","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","Fernandes, T.",2017,"","122","","Fernandes, T.",2017,4,8,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos",,,"Árvore, 7m. Tricomas ferrugíneos. Folhas e ramos jovens tomentosos, frutos verdes pilosos.","Myrcia ferruginosa Mazine","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","54064","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","Pastório, F.F.",2017,"","6368","","Funez, L.A.",2017,5,15,"Brazil","Santa Catarina","Blumenau","Morro do Cachorro.",-26.776667,-49.037778,"Frutos imaturos verdes Habitat: Floresta Habito: árvore","Myrcia ferruginosa Mazine","",,"GBIF"
"","JBRJ","RB","RB01390964","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","L.F. Gonçalves",,"","434","","L.F.Gonçalves",2017,6,3,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Estrada da Barragem, casa do montanhista - arredores. Parque Nacional da Serra dos Órgãos",-22.455556,-42.993333,"Árvore aprox. 7m., folhas discolores com tricomas marrom na face abaxial; frutos imaturos verdes.","Myrcia ferruginosa Mazine","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","27082","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","R.R. Völtz",2018,"","1627","","R.R. Völtz",2017,6,13,"Brazil","Pr","Guaratuba","UHE Guaricana",-25.735833,-48.943611,"árvore 13 m alt.; frutos amarelados a vinosos; borda de floresta às margens do rio Arraial.","Myrcia ferruginosa Mazine","",,"GBIF"
"","JBRJ","RB","RB01412937","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","R.R. Voltz",,"","1627","","R.R. Voltz; M.L. Brotto",2017,6,13,"Brazil","Paraná","Guaratuba","UHE Guaricana.",-25.735833,-48.943611,,"Myrcia ferruginosa Mazine","",,"GBIF"
"","JBRJ","RB","RB01409022","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","R.R. Voltz",,"","1645","","R.R. Voltz; G.H. Santos",2017,7,15,"Brazil","Santa Catarina","Joinville","Trilha para o castelo dos Bugres.",-26.233611,-49.050278,,"Myrcia ferruginosa Mazine","",,"GBIF"
"","JBRJ","RB","RB01412427","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","R.R. Voltz",,"","1645","","R.R. Voltz; G.H. Santos",2017,7,15,"Brazil","Santa Catarina","Joinville","Trilha para o castelo dos Bugres.",-26.233611,-49.050278,,"Myrcia ferruginosa Mazine","",,"GBIF"
"","UFPR","UPCB","93630","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","Voltz, R. R.",2018,"","1645","","Voltz, R. R. |v Santos, G. H.",2017,7,15,"Brazil","Santa Catarina","Joinville","Trilha para o Castelo dos Burges",-26.233611,-49.050278,"Floresta Ombrófila Densa Montana. Arvore 07 m alt.; frutos verdes; estrato médio de floresta ombrofila densa montana.","Myrcia ferruginosa Mazine","",,"GBIF"
"","UFSCar","SORO","6917","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine",,,"","23","",,2017,9,19,"Brazil","São Paulo","Tapiraí","Legado das Águas - Reserva Votorantim - Trilha do Botudo.",,,"Árvore, aproximadamente 10m. Tronco liso acinzentado.","Myrcia ferruginosa Mazine","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","45490","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","Oliveira, AA de",2015,"","891","","Oliveira, A.A. de",2015,1,19,"Brazil","Santa Catarina","Morro Grande","Três Barras.",-28.71,-49.77,"Fito IFFSC 37 /S/31","Myrcia ferruginosa Mazine","",,"GBIF"
"","USP","SPF","223492","Myrcia ferruginosa","","Myrtaceae","Myrcia","ferruginosa","","Mazine","Giaretta, A",2016,"","1497","","Giaretta, A",2015,2,9,"Brazil","Rio de Janeiro","Guapimirim","Parque Estadual dos Três Picos, Núcleo Paraíso. Trecho do rio entre a represa e o Centro de Primatologia.",-22.496389,-42.913667,"Árvore ca. 10 m alt. Frutos verdes.; Floresta Ombrófila Densa.","Myrcia ferruginosa Mazine","",,"GBIF"
