"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","205036","Myrcia multipunctata","","Myrtaceae","Myrcia","multipunctata","","Mazine","Gomes, M",2019,"","3488","","Nadruz, MA; Baumgratz, JF; Bovini, M; Wrangler, S; Nadal, FH; Brandão, F",2019,1,30,"Brazil","Rio de Janeiro","Paraty","Brasil, Rio de Janeiro, Paraty.Parque Nacional da Serra da Bocaina.Trilhas do telegráfo e para o coriscão.",-23.283333,-44.811944,"Lâmina foliar membranácea esverdeada discolor, nervura mediana amarelada abaxialmente;pedúnculo, pedicelo e cálice esverdeados, corola esbranquiçada.Hábito/Forma de vida:Árvore.; Floresta Ombrofila Densa Montana","Myrcia multipunctata Mazine","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","135945","Myrcia multipunctata","","Myrtaceae","Myrcia","multipunctata","","Mazine",,,"","17","","Lucresia, L; Roque, N; Marinho, L",2019,3,18,"Brazil","Bahia","Lençóis","Loteamento Moraes, descendo a rua lateral do Hotel Terra dos Diamantes.",-12.566389,-41.393889,"ca. 3,5m de alt. Folhas discolores. Frutos pretos passados.","Myrcia multipunctata Mazine","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","134667","Myrcia multipunctata","","Myrtaceae","Myrcia","multipunctata","","Mazine","Stadnik, A",2018,"","511","","Stadnik, A; Lucresia, L",2018,1,25,"Brazil","Bahia","Mucugê","P24",-13.609722,-42.015833,"ca. 4m. Folhas discolores. Frutos verdes.","Myrcia multipunctata Mazine","",,"GBIF"
"","JBRJ","RB","RB01398856","Myrcia multipunctata","","Myrtaceae","Myrcia","multipunctata","","Mazine","Stadnik, A.",2019,"","310","","T. Fernandes, J.E.Q. Faria & T.N.C. Vasconcelos",2018,9,5,"Brazil","Minas Gerais","Diamantina","Mendanha, área próxima ao Cruzeiro, campo rupestre.",-18.239444,-43.588889,"Arbusto, 1,5 m. Folhas glabras, discolores, inflorescência verde, glabra. Material prensado em álcool.","Myrcia multipunctata Mazine","",,"GBIF"
"","UNICAMP","UEC","202585","Myrcia multipunctata","","Myrtaceae","Myrcia","multipunctata","","Mazine","Leoni, L",2018,"","3454","","Nadruz, MA; Temponi, LG; Ribeiro, R; Camelo, M",2018,11,14,"Brazil","Minas Gerais","Fervedouro","Parque Estadual Serra do Brigadeiro",-20.721111,-42.481944,"Mata secundária preservada. Lâmina foliar cartácea esverdeada discolor; pedicelo esverdeado; fruto esverdeado a acastanhado. Altura: 30m; Mata secundária preservada.","Myrcia multipunctata Mazine","",,"GBIF"
"","JBRJ","RB","RB01365014","Myrcia multipunctata","","Myrtaceae","Myrcia","multipunctata","","Mazine","Melo, J.D.O.",,"","882","","Barbosa-Silva, R.G.; Silva, J.L.",2017,9,7,"Brazil","Minas Gerais","Conceição do Mato Dentro","Serra da Serpentina.",-19.1875,-43.259444,"Árvore 7 m de alt. Folhas discolores. Botôes castanhos. Flores brancas","Myrcia multipunctata Mazine","",,"GBIF"
"","JBRJ","RB","RB01403121","Myrcia multipunctata","","Myrtaceae","Myrcia","multipunctata","","Mazine","M.F.Santos",2018,"","1840","","G.M.Antar; et. al.",2017,9,19,"Brazil","Bahia","Piatã","Estrada da Fazenda Mocó para a cidade de Abaíra. Região da Bocaina.",-13.136944,-41.696667,,"Myrcia multipunctata Mazine","",,"GBIF"
"","UEFS","HUEFS","250442","Myrcia multipunctata","","Myrtaceae","Myrcia","multipunctata","","Mazine",,,"","1840","","Antar, G.M.",2017,9,19,"Brazil","Bahia","Piatã","Estrada da fazenda Mocó para a cidade de Abaíra. Região da Bocaina. Região de contato entre Campo Rupestre e vegetação de caatinga.",-13.137222,-41.696944,"Predomínio de vegetação de campo rupestre, solo arenoso-pedregoso seco.","Myrcia multipunctata Mazine","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","137743","Myrcia multipunctata","","Myrtaceae","Myrcia","multipunctata","","Mazine","Stadnik, A",,"","170","","Gonçalves, MS; Barbosa, MMC; Machado, AFP",2017,10,10,"Brazil","Bahia","Vitória da Conquista","Serra do Periperi, entorno dos condomínios.",,,"ca. 2,5 m. Folha discolores, face abaxial verde claro. Flores com cálice verde, corola branco a amarelado, estames brancos.","Myrcia multipunctata Mazine","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","137735","Myrcia multipunctata","","Myrtaceae","Myrcia","multipunctata","","Mazine","Stadnik, A",,"","239","","Gonçalves, MS; Barbosa, MMC; Machado, AFP; Santos, AKA",2017,11,1,"Brazil","Bahia","Vitória da Conquista","Serra do Periperi, entorno dos condomínios.",-14.851389,-40.794722,"ca. 2 m. Botões verdes a bege. Flores passadas.","Myrcia multipunctata Mazine","",,"GBIF"
