"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Jardim Botânico de Brasília","HEPH","35627","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","Faria, JEQ",2019,"","9135","","Faria, JEQ",2019,1,25,"Brazil","Minas Gerais","Teófilo Otoni","Estrada de terra próximo ao distrito de Pedro Versiane",-17.5207,-41.1552,"Arvoreta ca. 2 m de altura, caule liso castanho, botão floral verde. (Coletado material em sílica gel); Floresta ombrófila","Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB01390929","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","L.F. Gonçalves",,"","400","","L.F.Gonçalves",2017,4,1,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha Suspensa. Parque Nacional da Serra dos Órgãos",-22.452222,-43.000833,"Árvore aprox. 7m., D.A.P10cm., flores e botões brancos cobrindo toda a copa. Caule esfoliante avermelhado.","Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB01390940","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","L.F. Gonçalves",,"","411","","L.F.Gonçalves",2017,4,23,"Brazil","Rio de Janeiro","Petrópolis","Parque Nacional da Serra dos Órgãos. Trilha Uricanal. Parque Nacional da Serra dos Órgãos",-22.486944,-43.12,"Arvoreta aprox. 6m., flores ainda em botão - Pouco frequente.","Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB01236238","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","A. Giaretta",,"","1475","","A. Giaretta; P. Viany",2015,1,30,"Brazil","Rio de Janeiro","Nova Friburgo","Sítio Cedo. Margem do rio Macaé",-22.367222,-42.439444,,"Myrciaria disticha O.Berg","",,"GBIF"
"","UEFS","HUEFS","233182","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","A.Giaretta",2016,"","1475","","Giaretta, A.O.",2015,1,30,"Brazil","Rio de Janeiro","Nova Friburgo","Sítio Cedro. Margem do rio Macaé.",-22.3675,-42.439722,,"Myrciaria disticha O.Berg","",,"GBIF"
"","USP","SPF","223669","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","Giaretta, A",2016,"","1475","","Giaretta, A",2015,1,30,"Brazil","Rio de Janeiro","Nova Friburgo","Sítio Cedro. Margem do rio Macaé.",-22.374444,-42.439694,"Arvoreta ca. 6 m alt. Flores alvas e fruto verde. Amostra em sílica.","Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB01387928","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","L. F. Gonçalves",,"","119","","L. F. Gonçalves",2015,4,26,"Brazil","Rio de Janeiro","Teresópolis","Mata ciliar do Rio Paquequer, atrás do centro de operações",-22.448889,-42.988889,"Pétalas brancas. Folhas discolores sendo as do ápice caulinar alvas","Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB01389052","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","L.F.Gonçalves",,"","145","","L.F.Gonçalves",2015,6,16,"Brazil","Rio de Janeiro","Guapimirim","Parque Nacional da Serra dos Órgãos. Trilha do Peixe",-22.466667,-43.006389,,"Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB01387853","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","L. F. Gonçalves",,"","182","","L. F. Gonçalves",2015,11,16,"Brazil","Rio de Janeiro","Teresópolis","Estrada da Barragem",-22.453056,-42.992778,"Frutos vináceos","Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB01389123","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","L. F. Gonçalves",,"","189","","L. F. Gonçalves",2015,11,16,"Brazil","Rio de Janeiro","Teresópolis","Barragem",-22.451389,-43.000833,"Frutos vináceos","Myrciaria disticha O.Berg","",,"GBIF"
"","UFSCar","SORO","7153","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg",,,"","6","","Silva, A.K.C.; Carvalho, E.G.A.",2014,5,16,"Brazil","Piauí","Parnaíba","Embrapa",,,"Laranjinha","Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB01110559","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","Mario Gomes",2016,"","s/n","","Scarponi, T. M.; Nascimento, L. S.;  Ammon, R. A. & Hottz, D.",2014,8,12,"Brazil","Rio de Janeiro","Nova Friburgo","Conglomerado 14-2-EX 1. UTM do Ponto Central: E (768691m) N 97519456m). Fuso do GPS (23K)",,,"Árvore, com 5,0 m de altura. Base digitada. Casca interna creme e externa cor de goiaba, fina, lisa; Tipo do desprendimento da casca: escamoso, não apresentando odor ao ser cortada.   Nome Vulgar: Folha miúda","Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB00782086","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","Stadnik, A.",2019,"","1471","","T. B. Flores et. al.",2012,10,23,"Brazil","Espírito Santo","Ibitirama","Pedra rocha; estrada para alojamento do ICMBio.",-20.383333,-41.733333,"Arbusto ca 1,5 m de alt.; frutos imaturos verdes amadurecendo pretos","Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB01371316","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","A. Stadnik",2019,"","8129","","J.A. Lombardi; Taxonomia de Campo 2011 nº 46",2011,4,14,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha suspensa.",-22.425556,-42.983333,,"Myrciaria disticha O.Berg","",,"GBIF"
"","USP","SPF","223276","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","Mazine, FF",2019,"","684","","Santos, MF",2011,9,23,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Na beira da trilha suspensa.",-22.451667,-43.000556,"Arvoreta, 4 m alt. Tronco liso, amarelado, descamando em tiras. Filotaxia ""dística"". Frutos imaturos verdes-claros. Material armazenado em sílica gel.; No sub-bosque da mata.","Myrciaria disticha O.Berg","",,"GBIF"
"","Universidade Estadual do Centro-Oeste","HUCO","1642","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","Medeiros, R.P.",,"","s.n.","","Ubiratã de Oliveira Junior",2010,6,9,"Brazil","Paraná","Fernandes Pinheiro","Pousada Fazenda Virá",,,"2,50 metros; DESC: 2,50 metros","Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB00557845","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","Marcos Sobral & M. Souza",2010,"","2317","","M. Nadruz; M. Saavedra, P. Maas, H. Maas, L. Westna, G. Bernard, U. Scharf, M. Jansen & T. Andel",2009,4,28,"Brazil","Rio de Janeiro","Teresópolis","Trilha para pedra do sino.",,,"Lâmina membranácea concolor; flores esbranquiçadas.","Myrciaria disticha O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","136815","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","Sobral, M; Souza, M",2010,"","2317","","Nadruz, M; Saavedra, M; Maas, P; Maas, H; Westna, L; Benard, G; Scharf, U; Jansen, M; Ande",2009,4,28,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para Pedra do Sino.",,,"4 m. Lâmina membranácea concolor. Flores esbranquiçadas. Interior de floresta.; Floresta secundária regenerada.","Myrciaria disticha O.Berg","",,"GBIF"
"","MBML","MBML-HERBARIO","34271","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","M. Sobral/2008",,"","2062","","C. N. de Fraga; et al",2008,5,6,"Brazil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas",-20.3,-40.55,,"Myrciaria disticha O.Berg","",,"GBIF"
"","JBRJ","RB","RB00529665","Myrciaria disticha","","Myrtaceae","Myrciaria","disticha","","O.Berg","M.Sobral",2010,"","2062","","C.N. Fraga; R. Goldenberg, A. M. Amorim, A. P. Fontana, M. M. Saavedra & W. São-Mateus",2008,5,6,"Brazil","Espírito Santo","Cariacica","São Paulo Viana, beira da estrada. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",-20.3,-40.533333,"Arvoreta, ca. 7m. Ritidoma avermelhado. Flores brancas. Frutos verdes","Myrciaria disticha O.Berg","",,"GBIF"
