"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153206","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","M.C. Souza",,"","97","","Schulte, T.F.",2016,2,22,"Brazil","Bahia","AMARGOSA","Conglomerado BA_899-4-10-13RN",-13.030278,-39.604722,"<ll>dwc_commonname:</ll>","Myrciaria ferruginea O.Berg","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","37046","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","Santana, JP",2016,"","490","","Santana, JP",2016,3,1,"Brazil","Sergipe","Itaporanga d'Ajuda","Mata Rio Fundo",-11.0429,-37.1944,"Subarbusto, 1m, flores estaminadas brancas, folhas simples opostas.; Mata Atlântica.","Myrciaria ferruginea O.Berg","",,"GBIF"
"","UFSCar","SORO","6746","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","J.P. Santana",2016,"","490","",,2016,3,1,"Brazil","Sergipe","Itaporanga d`Ajuda","Mata Rio Fundo. Mata Atlântica.",-11.074722,-37.328889,"Subarbusto, 1m, flores estaminadas brancas, folhas simples opostas.","Myrciaria ferruginea O.Berg","",,"GBIF"
"","UFRB","HURB","8519","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","Stadnik, A.; Melo, J.D.O.; Pereira, J.S.",2017,"","26","","Simões, S.S.; Reis, L; Martins, M.L.L.",2014,4,27,"Brazil","Bahia","Cruz das Almas","Mata do Cazuzinha;",,,,"Myrciaria ferruginea O.Berg","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","33960","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","Proença, C",2015,"","37","","Tavares, MLGC",2014,5,6,"Brazil","Sergipe","Itaporanga d'Ajuda","Solo arenoso com bastante material orgânico (serrapilheira), vegetação arbórea em fase pioneira inicial",-10.998333,-37.310278,"Arbusto. Casca cinza, fina, lisa, interna branca. Coordenadas UTM: E(0675343m) N(8780786m). N° do conglomerado: 149, nº da subunidade: 2, n° da subparcela: 10, n° da árvore: 13R(F8).","Myrciaria ferruginea O.Berg","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","151032","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","R. Asprino",,"","673","","Oliveira, N.E.",2014,11,26,"Brazil","Bahia","ITAPEBÍ","Conglomerado BA_1367",-15.840556,-39.42,"<ll>dwc_commonname:</ll>","Myrciaria ferruginea O.Berg","",,"GBIF"
"","UEFS","HUEFS","196709","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg",,,"","1439","","Popovkin, A.V.",2013,5,22,"Brazil","Bahia","Entre Rios","Algodão.",-12.166667,-37.966667,"Atlantic forest.","Myrciaria ferruginea O.Berg","",,"GBIF"
"","IMA","MAC","56503","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","M.Figueira",2016,"","13626","","R.P.Lyra-Lemos; J.W.Alves-Silva; R.L.Silva; A.Santos",2013,6,15,"Brazil","Alagoas","Coruripe","Fazenda Capiatã A.",-10.215556,-36.298889,"Subarbusto. Flores secas.; Mata Atlântica.","Myrciaria ferruginea O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","5845","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","Faria, JEQ",2012,"","2606","","Faria, JEQ; Staggemeier, VG",2012,4,10,"Brazil","Alagoas","Coruripe","Estrada para a fazenda Capiatã, na área de maior ocorrência natural de Pau-Brasil",-10.055833,-36.269167,"Arbusto ca. 1 m de altura, caule liso soltando pequenas placas, botão floral verde, flores velhas e fruto imaturo verde","Myrciaria ferruginea O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","5849","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","Faria, JEQ",2012,"","2615","","Faria, JEQ",2012,4,11,"Brazil","Bahia","Rio Real","Margem da BR-101, entre Jandaíra e Esplanada",-11.648611,-37.891389,"Arbusto ca. 1 m de altura, caule rugoso castanho, botões verdes","Myrciaria ferruginea O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","5846","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","Faria, JEQ",2012,"","2608","","Faria, JEQ; Staggemeier, VG",2012,4,10,"Brazil","Alagoas","Coruripe","Estrada para a fazenda Capiatã, na área de maior ocorrência natural de Pau-Brasil",-10.055833,-36.269167,"Arbusto ca. 1 m de altura, caule liso soltando pequenas placas, botão floral verde, flores velhas, fruto imaturo verde e maduro vermelho (coletado material em sílica gel)","Myrciaria ferruginea O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","5844","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg","Faria, JEQ",2012,"","2605","","Faria, JEQ; Staggemeier, VG",2012,4,10,"Brazil","Alagoas","Coruripe","Estrada para a fazenda Capiatã, na área de maior ocorrência natural de Pau-Brasil",-10.055833,-36.269167,"Arbusto ca. 1 m de altura, caule liso soltando pequenas placas, botão floral verde (coletado material em sílica gel)","Myrciaria ferruginea O.Berg","",,"GBIF"
"","UEFS","HUEFS","203511","Myrciaria ferruginea","","Myrtaceae","Myrciaria","ferruginea","","O.Berg",,,"","2615","","Faria, J.E.Q.",2012,4,11,"Brazil","Bahia","Rio Real","Margem da BR-101, entre Jandaíra e Esplanada.",-11.648611,-37.891389,"Mata de porte médio.","Myrciaria ferruginea O.Berg","",,"GBIF"
