"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01416263","Neomitranthes warmingiana","","Myrtaceae","Neomitranthes","warmingiana","","(Kiaersk.) Mattos","T. Fernandes",,"","1051","","J. Külkamp; C.D.M. Ferreira, T. Lorenzetti & Vânia",2019,8,9,"Brazil","Rio de Janeiro","Rio de Janeiro","Trilha para o pico da bandeira.",-22.956389,-43.277778,,"Neomitranthes warmingiana (Kiaersk.) Mattos","",,"GBIF"
"","IPA","IPA","91982","Neomitranthes warmingiana","","Myrtaceae","Neomitranthes","warmingiana","","(Kiaersk.) Mattos","Oliveira, M.A.",2017,"","275","","Sousa, M.A.C.",2017,5,2,"Brazil","Pernambuco","Goiana","Conglomerado do Inventário Florestal Nacional.&nf; PE_90-H, 4-2-9",-7.605,-35.01,"Árvore ca. 12m de altura.; Floresta seca; dominante.","Neomitranthes warmingiana (Kiaersk.) Mattos","",,"GBIF"
"","JBRJ","RB","RB01397043","Neomitranthes warmingiana","","Myrtaceae","Neomitranthes","warmingiana","","(Kiaersk.) Mattos","M. A. Oliveira",,"","275","","M. A. C. Souza",2017,5,2,"Brazil","Pernambuco","Goiana","Conglomerado do Inventário Florestal Nacional PE_90-H, 4-2-9",-7.605,-35.01,,"Neomitranthes warmingiana (Kiaersk.) Mattos","",,"GBIF"
"","JBRJ","RB","RB01115783","Neomitranthes warmingiana","","Myrtaceae","Neomitranthes","warmingiana","","(Kiaersk.) Mattos","Sousa, M.C.",,"","66","","Negreiros, F.F.; Rodrigues, P.J.F.P.; Iguatemy, M.A.; Pintor, A.M.",2015,2,4,"Brazil","Rio de Janeiro","Miguel Pereira","REBIO Tinguá. Orbel II, Módulo PPBio Mata Atlântica, área da parcela 5D.",-22.539167,-43.421667,"Árvore de subdossel. DAP 13.3 cm. Material estéril.  Parcela 5D/ piquete 180-190m-E. Ind. (407)","Neomitranthes warmingiana (Kiaersk.) Mattos","",,"GBIF"
"","IF","SPSF","34813","Neomitranthes warmingiana","","Myrtaceae","Neomitranthes","warmingiana","","(Kiaersk.) Mattos","O.T.Aguiar",2014,"","567","","F. M. Souza & F. A. R. D. P. Arzolla & C. O. Araújo & W. Corrêa",2005,3,31,"Brazil","Sp","Biritiba Mirim","Parque Estadual da Serra do Mar, Núcleo São Sebastião",-23.675556,-45.909444,"COLETA: Árvore com aprox. 8 m de altura, botões florísticos vermelhos.; GEOGRAFIA: Trilha de Guaratuba. &nf;Floresta Ombrófila Densa Montana (Floresta Sempre-verde do Planalto)&nf;UTM: X=407255 Y=7381404;","Neomitranthes warmingiana (Kiaersk.) Mattos","",,"GBIF"
"","MBML","MBML-HERBARIO","20325","Neomitranthes warmingiana","","Myrtaceae","Neomitranthes","warmingiana","","(Kiaersk.) Mattos","Marcelo da Costa Souza/29-10-2009",,"","2094","","R.R. Vervloet; et al",2003,4,1,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-19.9075,-40.553056,"Arbusto, de 7m, frutos jovem de cor verde claro. Fundo de vale, dossel 17m.","Neomitranthes warmingiana (Kiaersk.) Mattos","",,"GBIF"
"","JBRJ","RB","RB00578682","Neomitranthes warmingiana","","Myrtaceae","Neomitranthes","warmingiana","","(Kiaersk.) Mattos","M.C. Souza",2009,"","2094","","R.R. Vervloet; E. Bausen",2003,4,1,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia. Reserva Biológica Augusto Ruschi, trilha seguindo córrego, linha de divisa, lado esquerdo, saida para João Neiva.",,,"Arbusto de 7 m, fruto jovem de cor verde claro. Fundo de vale, dossel 17 m.","Neomitranthes warmingiana (Kiaersk.) Mattos","",,"GBIF"
"","MBML","MBML-HERBARIO","21175","Neomitranthes warmingiana","","Myrtaceae","Neomitranthes","warmingiana","","(Kiaersk.) Mattos","Marcelo da Costa Souza/29-10-2009",,"","2509","","R.R. Vervloet; et al",2003,5,27,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-19.9075,-40.553056,"Árvore de 14m, flores passadas, frutos imaturos de cor cor verde. Baixada, dossel 18m.","Neomitranthes warmingiana (Kiaersk.) Mattos","",,"GBIF"
"","JBRJ","RB","RB00578676","Neomitranthes warmingiana","","Myrtaceae","Neomitranthes","warmingiana","","(Kiaersk.) Mattos","M.C. Souza",2009,"","2509","","R.R. Vervloet; W. Pizziolo",2003,5,27,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Reserva Biológica Augusto Ruschi, trilha da cachoeira, sede nova.",,,"Árvore de 14 m, flores passadas, frutos imaturos de cor verde. Baixada dossel 18 m.","Neomitranthes warmingiana (Kiaersk.) Mattos","",,"GBIF"
"","MBML","MBML-HERBARIO","16981","Neomitranthes warmingiana","","Myrtaceae","Neomitranthes","warmingiana","","(Kiaersk.) Mattos","Marcelo da Costa Souza/29-10-2009",,"","349","","R.R. Vervloet; et al",2002,6,11,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-19.9075,-40.553056,"Árvore com aproximado 7m, topo do morro, frutos imaturos verde, dossel aproximado 10m. Lado direito da trilha.","Neomitranthes warmingiana (Kiaersk.) Mattos","",,"GBIF"
