"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01409082","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.","Farney, C.",2019,"","448","","Rossetto, E.F.S.; Farney, C.; Cunha Neto, I.",2019,4,20,"Brazil","Minas Gerais","Nanuque","Fazenda Mucuri. próximo à rodovia, a 5 Km do trevo de Nanuque em direção a Carlos Chagas.",-17.808889,-40.427778,"Árvore, flores e botões verde-amarelados com tricomas ferrugíneos.","Ramisia brasiliensis Oliv.","",,"GBIF"
"","UFSJ","HUFSJ","8408","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.","Sobral, M",2016,"","15791","","Sobral, M; Costa, MTR; Quedes, D",2016,3,11,"Brazil","Rio de Janeiro","Natividade",,-21.074139,-42.024611,"Árvore 8-10 m, em resto de mata à beira da RJ-214; flores com corolas verde-claras.","Ramisia brasiliensis Oliv.","",,"GBIF"
"","JBRJ","RB","RB01115669","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.","MARQUETE, N.F.S.",,"","427","","L.O. Azevedo; L.F.A. de Paula; R.C. Forzza",2016,3,14,"Brazil","Espírito Santo","Vila Pavão","Próximo ao Córrego do Viadinho, 3,5km de Vila Pavão. Ao lado da estrada.",-18.643889,-40.582778,"Flores com sépalas verde-claro e botões cobre-amarronzados.","Ramisia brasiliensis Oliv.","",,"GBIF"
"","JBRJ","RB","RB01135100","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.","M. Sobral",2016,"","15791","","M. Sobral; M.T.R. Costa; D. Quedes",2016,3,11,"Brazil","Rio de Janeiro","Natividade","Beira da RJ-214",-21.074167,-42.024722,,"Ramisia brasiliensis Oliv.","",,"GBIF"
"","UESB","HUESB","11936","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.",,,"","15791","","Sobral, M.; Costa, M.T.R.; Quedes, D.; Costa, M.T.R.; Quedes, D.",2016,3,11,"Brazil","Rio de Janeiro","Natividade","Resto de mata à beira da RJ-214",-21.074167,-42.024722,"Árvore 8-10 m . Flores com corola verde-claras.","Ramisia brasiliensis Oliv.","",,"GBIF"
"","UFES","VIES","39631","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.","C. Farney & F. Rossetto",2019,"","2184","","Carrijo, T.T.; Luber, J.",2015,3,17,"Brazil","Espírito Santo","Castelo","Parque Estadual de Mata das Flores.",,,,"Ramisia brasiliensis Oliv.","",,"GBIF"
"","UFES","VIES","36320","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.",,,"","1773","","Alves-Araújo, A.; Souza, W.O.; Sossai, B.G.; Freitas, J.; Almeida, L.S.; Luber, J.",2015,7,7,"Brazil","Espírito Santo","Pancas","Monumento Natural dos Pontões Capixabas. Propriedade do Sr. Stur.",,,,"Ramisia brasiliensis Oliv.","",,"GBIF"
"","UFES","VIES","39624","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.",,,"","2010","","Carrijo, T.T.; Luber, J.",2014,3,17,"Brazil","Espírito Santo","Castelo","Parque Estadual de Mata das Flores.",,,,"Ramisia brasiliensis Oliv.","",,"GBIF"
"","UFES","VIES","40348","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.","C. Farney & F. Rossetto",2019,"","382","","Silva, L.A.; Alves-Araújo, A.; Carrijo, T.T.; Gardin, M. .L. & Freitas, J.",2014,4,18,"Brazil","Espírito Santo","Castelo","Mata das Flores.",,,,"Ramisia brasiliensis Oliv.","",,"GBIF"
"","UFES","VIES","28188","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.",,,"","1000","","Ribeiro, M.",2014,4,4,"Brazil","Espírito Santo","Viana","Zona Ciliar do rio Jucu, Jucuruaba, Fazenda Experimental Reginaldo Conde (INCAPER).",-20.425,-40.476944,,"Ramisia brasiliensis Oliv.","",,"GBIF"
"","UFES","VIES","9847","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.","Cardoso, W.C.",2012,"","93","","Cardoso, W.C.; Tedesco, A.M.",2012,4,21,"Brazil","Minas Gerais","Pavão",,,,,"Ramisia brasiliensis Oliv.","",,"GBIF"
"","JBRJ","RB","RB00871364","Ramisia brasiliensis","","Nyctaginaceae","Ramisia","brasiliensis","","Oliv.","W.C. Cardoso",,"","93","","W.C. Cardoso; A.M. Tedesco",2012,4,21,"Brazil","Minas Gerais","Pavão",,-18.32,-41.186667,"Arbórea","Ramisia brasiliensis Oliv.","",,"GBIF"
