"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01348380","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","C. Baez",,"","1242","","C. Baez; E. Fernandez, T. Lima, A. Rossetti, S. Rossetti",2017,7,4,"Brazil","Rio de Janeiro","Petrópolis","Rocio, Estrada do Imperador. Rebio Tinguá",-22.492778,-43.275833,"Arvoreta, semmi-umbrófila. 4 m. Folhas glabras discolores, coriáceas. Pedicelo vinoso. Cálice amarelado a róseo. Pétalas amarelas. Anteras amarelas-alaranjadas.","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","131992","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.",,,"","1242","","Baez, C; Fernandez, E; Lima, T; Rossetti, A; Rossetti, S",2017,7,4,"Brazil","Rio de Janeiro","Petrópolis","Reserva Biológica do Tinguá Rocio, Estrada do Imperador.",-22.492778,-43.275833,"ca 4m de altura, semmi-umbrófila. Folhas glabras discolores, coriáceas. Pedicelo vino. Cálece amarelado a róseo. Pétalas amarelas. Anteras amarelas-alaranjadas.","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","134487","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Pansonato, M.P.",2013,"","61","",,2013,1,16,,,,,,,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 16284. Altura: 4m","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","JBRJ","RB","RB00857325","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","J. Tamashiro; N. Ivanauskas; R.R. Rodrigues et V.C. Souza",2013,"","40","","M.L. Bettinardi; et al",2013,4,2,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Serraria, trilha da Igrejinha.",-24,-47,"Árvore ca. 3m alt. Carpelo verde em cima do receptáculo amarelado","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","JBRJ","RB","RB00857321","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","V.C. Souza",2013,"","48","","M.L. Bettinardi; et al",2013,4,2,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Serraria, trilha da Igrejinha.",-24,-47,"Ca. 3m de altura; Flores amarelas, estamelas amarelo-escuro","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","123642","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Ivanauskas, N.M.",2013,"","1030","","Colletta, G.D. ; Souza, V.C.",2013,4,30,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA), Trilha da Serraria.",,,"Árvore, 3m","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128536","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Souza, V.C.",2013,"","48","","Bettinardi, M.L.",2013,4,2,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Serraria, trilha da Igrejinha",-24.15706,-47.54396,"Ca. 3 m de altura. Flores amarelas, estamelas amarelo-escuro","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128535","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Tamashiro, J.Y.; Ivanauskas, N.M.; Rodrigues, R.R.; Souza, V.C.",2013,"","40","","Bettinardi, M.L.",2013,4,2,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Serraria, trilha da Igrejinha",-24.15709,-47.54499,"Árvore ca 3m alt. Carpelo verde em cima do receptáculo amarelado.","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128537","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Souza, V.C.",2013,"","944","","Cabral, F.N.",2013,4,3,"Brazil","São Paulo","Tapiraí","UHE Barra, trilha da Pedreira - Barra. Floresta Ombrófila Densa com trechos degradados (próximos a estradas antigas) e áreas conservadas (áreas mais íngremes).",-24.03098,-47.37022,"arbusto confirmar - Com inflorescência marrom passada e algumas flores com pétalas amarelas.","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","123917","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Souza, V.C.",2013,"","35018","","Souza, V.C. ; Flores, T.B.",2013,5,1,"Brazil","São Paulo","Tapiraí","Área da Cia. Votorantim. Trilha da Casa de Pedra.",,,"Árvoreta, ca. 4 m alt.; flores amarelas.","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","UFES","VIES","21354","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Chacon, R.G.",2012,"","294","","Zorzanelli, J.P.F.; Silva, A.E.",2012,1,19,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","28914","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Chacon, RG",2012,"","294","","Zorzanelli, JP",2012,1,19,"Brazil","Espírito Santo","Iuna","Serra do Valentim, próximo ao transecto 1.",-20.365278,-41.4725,"Arbusto; Fruto roseo-avermelhado","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","IAC","IAC","53960","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","A.C.O. Souza et al.",2012,"","46","","A.C.O. Souza; L.C. Bernacci & R. Belinelo",2012,,,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",-23.360372,-45.109914,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","IAC","IAC","54082","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","A.C.O. Souza et al.",2012,"","28","","A.C.O. Souza; L.C. Bernacci & R. Belinelo",2012,,,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",-23.360372,-45.109914,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","28913","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Chacon, RG",2012,"","106","","Zorzanelli, JP",2011,7,4,"Brazil","Espírito Santo","Iuna","Serra do Valentim, próximo ao transecto 3.",-20.380556,-41.475833,"Arbusto; Borda de mata","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","UFES","VIES","21353","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Chacon, R.G.",2012,"","106","","Zorzanelli, J.P.F.; Jacobem, M.A.A.S.",2011,9,4,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","UFES","VIES","21369","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Chacon, R.G.",2012,"","200","","Zorzanelli, J.P.F.; Senna, D.S.",2011,11,14,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","28912","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Chacon, RG",2012,"","200","","Zorzanelli, JP",2011,12,19,"Brazil","Espírito Santo","Iuna","Serra do Valentim, próximo ao transecto 3.",-20.365278,-41.4725,"Arbusto","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","UFES","VIES","42060","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Chacon, R.G.",2012,"","229","","Zorzanelli, J.P.F.",2011,12,12,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","IAC","IAC","53932","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","A.C.O. Souza et al.",2011,"","38","","A.C.O. Souza; L.C. Bernacci & R. Belinelo",2011,,,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",-23.360372,-45.109914,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","UNICAMP","UEC","160926","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Cavalin, PO",2010,"","38","","Cavalin, PO",2009,11,12,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio",-23.396667,-45.092778,"Sub-bosque Floresta Ombrófila Densa.","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","USP","SPF","200222","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Freitas, HS",2009,"","373","","Freitas, HS",2008,5,19,"Brazil","São Paulo","Areias",,-22.640833,-44.726944,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Instituto de Botânica","SP","440822","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Capistrano, TR",2008,"","3169","","Pignal, M; Romaniuc Neto, S; Shirasuna, RT; Gaglioti, AL",2008,6,5,"Brazil","São Paulo","Mauá","Lote 1 Rodoanel Mário Covas, Trecho Sul",,,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Instituto de Botânica","SP","440821","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Capistrano, TR",2008,"","1477","","Shirasuna, RT; Kanashiro, S; Lopes, EA",2008,7,1,"Brazil","São Paulo","São Bernardo do Campo","Lote 3, Mata do Chinês Rodoanel Mário Covas, Trecho Sul",,,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","UNICAMP","UEC","166726","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Tamashiro, JY",2009,"","1690","","Padgurschi, MCG; Tamashiro, JY; Belinello, R",2008,,,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K, Floresta Ombrófila Densa Montana.",-23.325556,-45.067778,"K1839 Árvore, ca. 5 m, sem flores ou frutos. Abundância: 3 ind ha-1.","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","UNICAMP","UEC","148827","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Yamamoto, K",2008,"","431","","Aranha, BA",2007,1,14,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J",-23.366389,-45.084167,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","USP","SPF","200221","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Freitas, HS",2009,"","318","","Freitas, HS",2007,7,1,"Brazil","São Paulo","São José do Barreiro",,-22.638611,-44.661444,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","29065","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.","Garcia, RJF",2006,"","168","","Martini, RAA",2006,2,2,"Brazil","São Paulo","Cubatão","Indústria COPEBRÁS. Trilha 2 (10 a 100 m.s.m.)",,,"Árvoreta; Flor Amarela; Área de mata","Ouratea multiflora (Pohl) Engl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","95344","Ouratea multiflora","","Ochnaceae","Ouratea","multiflora","","(Pohl) Engl.",,,"","228","","Destefani, A.C.C. et al.",2005,3,31,"Brazil","São Paulo","Cananéia",,,,,"Ouratea multiflora (Pohl) Engl.","",,"GBIF"
