"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFPB","JPB","63501","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","Silva, FO",2015,"","JPB63501","","Chagas, MA",2014,5,8,"Brazil","Pernambuco","Goiania",,,,,"Ouratea polygyna Engl.","",,"GBIF"
"","JBRJ","RB","RB01419828","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.",,,"","946","","E.D. Cruz; M.V.F. Silva",2014,7,2,"Brazil","Pará","Moju","Campo experimental da Embrapa, trilha dos morcegos.",-2.195278,-48.793889,,"Ouratea polygyna Engl.","",,"GBIF"
"","UFPB","JPB","61087","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","Silva, FO",2014,"","191","","Silva, FO; Mota, MCS",2013,11,21,"Brazil","Alagoas","Murici","Estação Ecológica de Murici, Serra do Ouro",,,"; HABITAT: Mata Atlântica; DESC: Arbusto, 1,5m alt.","Ouratea polygyna Engl.","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","27700","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","Chacon, RG",2018,"","151","","Simão, MVRC",2012,7,10,"Brazil","Minas Gerais","Viçosa","Estação de Pesquisa Treinamento e Educação Ambiental, Mata do Paraíso",,,"Árvore, 12 m de altura, botão floral envolto por cálice amarelo, flor amarela, cálice e estilete amarelo esverdeado; Floresta estacional semidecídual","Ouratea polygyna Engl.","",,"GBIF"
"","Universidade Federal do Pará","HBRA","7652","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","C. A. S. Silva",,"","657","","F. C. A. Lucas",2012,8,,"Brazil","Pará","Santarém","Arapiun, Nova Canaã",-2.662222,-55.499444,"Árvore de 4 m de altura. Inflorescência amarela.","Ouratea polygyna Engl.","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","27187","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","Chacon, RG",2018,"","297","","Simão, MVRC",2012,9,12,"Brazil","Minas Gerais","Viçosa","Estação de Pesquisa Treinamento e Educação Ambiental, Mata do Paraíso",,,"Árvore 14m de altura, fruto maduro arroxeado, sobre receptáculo roxo persistente; Floresta estacional semidecídual","Ouratea polygyna Engl.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14234","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","Geovane S. Siqueira",2017,"","827","","Siqueira, G.S.",2012,11,23,"Brazil","Es","LINHARES",,-19.160778,-40.048139,"Perto da estrada <ll>dwc_commonname:</ll> Sarará amarelo","Ouratea polygyna Engl.","",,"GBIF"
"","JBRJ","RB","RB01360372","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","G.S. Siqueira",2017,"","827","","G.S. Siqueira",2012,11,23,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Aceiro Milanês (m)",-19.160556,-40.048055,,"Ouratea polygyna Engl.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","115746","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","Oliveira, RB",2011,"","04","","Ferreira, PA",2011,2,21,"Brazil","Bahia","Jaguaripe","Ponto 97",-13.172778,-39.021944,"Folhas discolores. Frutos enegrecidos após secagem; Floresta ombrófila densa","Ouratea polygyna Engl.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","115763","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","Borges, RL",2012,"","16","","Ferreira, PA",2011,9,11,"Brazil","Bahia","Nilo Peçanha","Ponto 9",-13.648889,-39.196111,"Folhas discolores. Ramos ferrugíneos. Flores apresentando corola amarela.; Floresta ombrófila densa","Ouratea polygyna Engl.","",,"GBIF"
"","UEFS","HUEFS","183072","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","K.Yamamoto",,"","950","","Matos, E.N.de",2011,12,13,"Brazil","Bahia","Caravelas","Aeroporto de Caravelas.",-17.665,-39.2375,"Campestre","Ouratea polygyna Engl.","",,"GBIF"
"","NY","NY","02674877","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","D. Piotto",2011,"","3315","","D. Piotto",2010,6,10,"Brazil","Bahia",,"Parque Est. Serra do Conduru",-14.42,-39.08,,"Ouratea polygyna Engl.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","128084","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","F. O. Silva",,"","399","","Daneu, L.",2010,10,12,"Brazil","Bahia","UNA","IBAMA (REBIO de Una), área da Metal Forte, Entrada no Acuípe, seguindo para Vila Brasil, depois sentido a Piedade.",-15.15,-39.083333,,"Ouratea polygyna Engl.","",,"GBIF"
"","JBRJ","RB","RB00782220","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","Fernanda Oliveira Silva",,"","399","","L. Daneu; Robson REBIO",2010,10,12,"Brazil","Bahia","Una","IBAMA (REBIO de Una), área da Metal Forte, entrada no Acuípe, seguindo para VilaBrasil, depois sentido a Piedade.",-15.15,-39.083333,"Árvore, ca. 6m alt. Folhas verde-escura com a face inferior mais clara. inflorescência com botôes esverdeados e flores amareladas","Ouratea polygyna Engl.","",,"GBIF"
"","UFPB","JPB","47329","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.",,,"","111","","Silva, FO; Pessoa, MC",2010,11,17,"Brazil","Paraíba","Mamanguape","Reserva Biológica Guaribas, Área II. Trilha Caiana.",-6.741861,-35.142056,"; HABITAT: Tabuleiro; DESC: Árvore. Folhas serrilhadas. Fruto esquizocarpo. Presença de formigas.","Ouratea polygyna Engl.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","84420","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","F. O. Silva",,"","541","","E. M. N. Ferraz",2010,11,5,"Brazil","Pernambuco","SÃO VICENTE FÉRRER","Mata do Estado.",-7.583333,-35.5,"<ll>dwc_commonname:</ll> Macaxeira","Ouratea polygyna Engl.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","126235","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","F. O. Silva",,"","5455","","Jardim, J. G.",2009,1,31,"Brazil","Bahia",,"Rod. Una/Arataca; 14 km após o povoado de Colônia de Una.",-15.233333,-39.25,"Foto.","Ouratea polygyna Engl.","",,"GBIF"
"","UNEMAT","HERBAM","3508","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","Lobato, LC; Soares, CRA; Silva, CA",2008,"","258","","Soares, C.R.A.; Piva, J.H.; Rodrigues, L. & Nishi, I.",2007,10,16,"Brazil","Mato Grosso",,"UHE Sinop",-11.28,-55.4475,,"Ouratea polygyna Engl.","",,"GBIF"
"","JBRJ","RB","RB01371599","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","L.C. Lobato; C.R.A. Soares; C.A. Silva",,"","258","","C.R.A. Soares; J.H. Piva; L. Rodrigues; I. Nishi",2007,10,16,"Brazil","Mato Grosso","Mato Grosso","Usina Hidrelétrica Sinop.",-11.28,-55.4475,,"Ouratea polygyna Engl.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","78879","Ouratea polygyna","","Ochnaceae","Ouratea","polygyna","","Engl.","Guedes, ML; Valadão, RM",2006,"","678","","Valadão, RM; Guedes, ML",2006,1,26,"Brazil","Bahia","Ituberá/Grapiúna","Litoral Sul, Fragmento do Corte Alto.",,,"de ca. 2,0m de altura. Folhas coriáceas, levemente discolores. Inflorescência terminal com botões esverdeado e flores compétalas amarelas.; Arbórea.","Ouratea polygyna Engl.","",,"GBIF"
