"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01321182","Ouratea xerophila","","Ochnaceae","Ouratea","xerophila","","Rizzini","M. Alves",,"","311","","K. Mendes; et al.",2009,1,6,"Brazil","Sergipe","Areia Branca","Estrada para as torres no topo da Serra de Itabaiana.",,,,"Ouratea xerophila Rizzini","",,"GBIF"
"","UFPE","UFP","57059","Ouratea xerophila","","Ochnaceae","Ouratea","xerophila","","Rizzini","Alves, M.",2008,"","949","","Alves-Araújo, A.; Gomes, P.; Mendes, K. & Amorim, B.",2008,4,20,"Brazil","Sergipe","Areia Branca","Serra de Itabaiana, Trilha para os riachos que cortam a entrada. Areial.",,,"Arbusto 1-2m alt., frutos verdes.; Vegetação arbustiva aberta.","Ouratea xerophila Rizzini","",,"GBIF"
"","UFPE","UFP","57058","Ouratea xerophila","","Ochnaceae","Ouratea","xerophila","","Rizzini","Alves, M.",2008,"","948","","Alves-Araújo, A.; Gomes, P.; Mendes, K. & Amorim, B.",2008,4,20,"Brazil","Sergipe","Areia Branca","Serra de Itabaiana",,,"Arbusto 2m alt., frutos roxos e enegrecidos.; Vegetação arbustiva aberta. Vegetação aberta tipo ""cerrado"".","Ouratea xerophila Rizzini","",,"GBIF"
"","UFPE","UFP","42270","Ouratea xerophila","","Ochnaceae","Ouratea","xerophila","","Rizzini","Oliveira, M.",2006,"","2094","","Oliveira, M.; Galileu, A.",2006,1,17,"Brazil","Piauí","Campo Maior","Fazenda Flores, Campo Cerrado.",,,"Arbusto de aproximadamente 3,5m alt., frutos maturos enegrecidos. Ocasional.; Vegetação arbustivo-arbórea em moitas. Solo arenoso.","Ouratea xerophila Rizzini","",,"GBIF"
"","UFPE","UFP","42570","Ouratea xerophila","","Ochnaceae","Ouratea","xerophila","","Rizzini","Oliveira, M.",2006,"","2104","","Oliveira, M.; Galileu, A.",2006,2,17,"Brazil","Piauí","Campo Maior","Fazenda Flores",,,"Árvore de aproximadamente 6,0m alt., frutos enegrecidos. Frequente.; Vegetação arbustiva em moitas, com algumas árvores esparsas. Solo arenoso-quartzóide.","Ouratea xerophila Rizzini","",,"GBIF"
"","UFPE","UFP","42787","Ouratea xerophila","","Ochnaceae","Ouratea","xerophila","","Rizzini","Oliveira, M.",2006,"","2184","","Oliveira, M.; Galileu, A.",2006,2,17,"Brazil","Piauí","Capitão de Campos",,,,"Arbusto de aproximadamente 3,5m alt., flores alvas.; Cerradão, vegetação arbórea densa. Solo argilo-arenoso.","Ouratea xerophila Rizzini","",,"GBIF"
"","UFPE","UFP","43325","Ouratea xerophila","","Ochnaceae","Ouratea","xerophila","","Rizzini","Oliveira, M.",2006,"","2246","","Oliveira, M.; Galileu, A.",2006,3,21,"Brazil","Piauí","Capitão de Campos",,,,"Abusto de aproximadamente 3,0m alt., flores alvas. Frequente.; Cerradão, vegetação arbórea densa. Solo argilo-arenoso.","Ouratea xerophila Rizzini","",,"GBIF"
"","UFPE","UFP","42096","Ouratea xerophila","","Ochnaceae","Ouratea","xerophila","","Rizzini","Oliveira, M.",2006,"","1944","","Oliveira, M.; Galileu, A.",2005,6,15,"Brazil","Piauí","Campo Maior","Fazenda Flores, Campo Cerrado.",,,"Abusto de aproximadamente 3,0m alt., flores alvas. Ocasional.; Vegetação arbustivo-arbórea em moitas. Solo arenoso.","Ouratea xerophila Rizzini","",,"GBIF"
"","UFPE","UFP","42114","Ouratea xerophila","","Ochnaceae","Ouratea","xerophila","","Rizzini","Oliveira, M.",2006,"","1962","","Oliveira, M.; Galileu, A.",2005,7,28,"Brazil","Piauí","Campo Maior","Fazenda Flores",,,"Arbusto de aproximadamente 3,0m alt., flores alvas. Ocasional.; Campo Cerrado, vegetação arbórea densa. Solo argilo-arenoso.","Ouratea xerophila Rizzini","",,"GBIF"
"","UFPE","UFP","42083","Ouratea xerophila","","Ochnaceae","Ouratea","xerophila","","Rizzini","Oliveira, M.",2006,"","1115","","Lucena, M.F.A.; Oliveira, M. & Galileu, A.",2005,9,29,"Brazil","Piauí","Campo Maior","Fazenda Flores, Cuê.",,,"Árvore de aproximadamente 3,0m alt., folhas coriáceas. Estação 02 Parc 01 n° 440. Frequente.; Vegetação arbustiva em moitas, com algumas árvores esparsas. Solo arenoso-quartzóide.","Ouratea xerophila Rizzini","",,"GBIF"
