"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01212762","Cathedra rubricaulis","","Aptandraceae","Cathedra","rubricaulis","","Miers","R.MOURA",2017,"","71","","K.S. Valdemarin; et al",2016,9,25,"Brazil","Espírito Santo","Presidente Kennedy","Praia do Marobá - área de restinga baixa próximo à Estrada",,,,"Cathedra rubricaulis Miers","",,"GBIF"
"","JBRJ","RB","RB01376048","Cathedra rubricaulis","","Aptandraceae","Cathedra","rubricaulis","","Miers","R. Moura",2017,"",,"","Mendonças, C. R.",2014,4,22,"Brazil","Rio de Janeiro","Santa Maria Madalena","Conglomerado 45-4-1-1-. UTM do Ponto Central ( 196349m) N (7568687m). Fuso do GPS (24K)",,,"Árvore, , com 12,4 m de altura. Base reta. Casca interna vermelha e externa castanho claro, fina, rugosa","Cathedra rubricaulis Miers","",,"GBIF"
"","JBRJ","RB","RB00859018","Cathedra rubricaulis","","Aptandraceae","Cathedra","rubricaulis","","Miers","Mario Gomes",2014,"",,"","D. Hottz; L. S. Nascimento & M. A. Ferreira",2013,9,,"Brazil","Rio de Janeiro","Cabo Frio","Conglomerado 142-2-9-17-R1. UTM E(807442m) N(7486312m). Fuso do GPS (23K).",,,"Arbusto. Flor amarela muito pequena.","Cathedra rubricaulis Miers","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","134153","Cathedra rubricaulis","","Aptandraceae","Cathedra","rubricaulis","","Miers","D. S. Lucena",,"","75","","T. Araújo",2011,2,12,"Brazil","Bahia","ITACARÉ","Estrada Ubaitaba-Itacaré, Km 8 RPPN Capitão",-14.418056,-39.551389,,"Cathedra rubricaulis Miers","",,"GBIF"
"","UEFS","HUEFS","170807","Cathedra rubricaulis","","Aptandraceae","Cathedra","rubricaulis","","Miers",,,"","9130","","Melo, E.",2011,2,12,"Brazil","Bahia","Santa Terezinha","Serra da Jibóia.",-12.854444,-39.475833,"Campo rupestre e borda da mata.","Cathedra rubricaulis Miers","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","126236","Cathedra rubricaulis","","Aptandraceae","Cathedra","rubricaulis","","Miers","D. S. Lucena",,"","5456","","Jardim, J. G.",2009,2,1,"Brazil","Bahia","UNA","Rod. BA-001 Ilhéus/Uma, 42 km S.",-15.183333,-39.015833,"Foto.","Cathedra rubricaulis Miers","",,"GBIF"
"","UFES","VIES","33252","Cathedra rubricaulis","","Aptandraceae","Cathedra","rubricaulis","","Miers",,,"","14","","Moreira, L.N.",2007,5,14,"Brazil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional Pacotuba.",,,,"Cathedra rubricaulis Miers","",,"GBIF"
"","JBRJ","RB","RB00589428","Cathedra rubricaulis","","Aptandraceae","Cathedra","rubricaulis","","Miers",,,"",,"","S. de V.A.Pessoa",2006,11,23,"Brazil","Rio de Janeiro","Casimiro de Abreu","Fazenda Carioca, remanescente de mata submontana.",-22.520833,-42.096667,"Árvore, ca. 9m. de altura, DAP 13.1cm, ind. FC 290.","Cathedra rubricaulis Miers","",,"GBIF"
"","JBRJ","RB","RB00311704","Cathedra rubricaulis","","Aptandraceae","Cathedra","rubricaulis","","Miers",,,"","242","","Heloisa G. Dantas; Ribeiro, R.D.",2004,4,3,"Brazil","Rio de Janeiro","Armação dos Búzios","Rasa.",-22.741111,-41.952778,"Árvore com 3m. Folhas concolor.","Cathedra rubricaulis Miers","",,"GBIF"
"","JBRJ","RB","RB01120997","Cathedra rubricaulis","","Aptandraceae","Cathedra","rubricaulis","","Miers",,,"","91","","Rodrigues, P.J.F.P.",2002,9,29,"Brazil","Rio de Janeiro","Miguel Pereira","REBIO Tinguá. Orbel I, Módulo PPBio Mata Atlântica. Local Orbel 1. Parcela 10. Nº indivíduo 305. Levantamento Fitossociológico.",-22.561111,-43.468611,"Árvore com DAP 34 cm, em 2009, e 18 m de altura. Com fruto.","Cathedra rubricaulis Miers","",,"GBIF"
