"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","230786","Ximenia coriacea","","Ximeniaceae","Ximenia","coriacea","","Engl.",,,"","418","","Martins, C.T.V.D.",2014,5,2,"Brazil","Bahia","Mucugê","Córrego Sertãozinho.",,,,"Ximenia coriacea Engl.","",,"GBIF"
"","Empresa Brasileira de Pesquisa Agropecuária","HTSA","6211","Ximenia coriacea","","Ximeniaceae","Ximenia","coriacea","","Engl.",,,"","340","","Martins.C.T.V.D",2013,11,29,"Brazil","Bahia","Mucugê","Alto do rio Paraguaçu",,,"Arbusto. Flores esverdeadas. Campo rupestre.","Ximenia coriacea Engl.","",,"GBIF"
"","UEFS","HUEFS","230710","Ximenia coriacea","","Ximeniaceae","Ximenia","coriacea","","Engl.",,,"","340","","Martins, C.T.V.D.",2013,11,29,"Brazil","Bahia","Mucugê","Alto do rio Paraguaçu.",,,,"Ximenia coriacea Engl.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","102370","Ximenia coriacea","","Ximeniaceae","Ximenia","coriacea","","Engl.","Guedes, ML",2012,"","19347","","Guedes, ML; Alunos de Botânica III",2011,10,22,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Morrão",-11.55,-41.15,"de ca 1,8 m dealtura, glabro. Folhas pecioladas, elíptica a oblongo-eliptica, coriáceas. Flores solitárias ou em fascículos axilares, hermafroditas, pétas brancas densamente barbado internamente.","Ximenia coriacea Engl.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","179657","Ximenia coriacea","","Ximeniaceae","Ximenia","coriacea","","Engl.",,2015,"","5194","","Carmo, FF",2010,9,20,"Brazil","Minas Gerais","Rio Pardo Minas","Peixe Bravo",-16.010694,-42.702778,"Coletada em afloramento de canga","Ximenia coriacea Engl.","",,"GBIF"
"","UEFS","HUEFS","166608","Ximenia coriacea","","Ximeniaceae","Ximenia","coriacea","","Engl.",,,"","56207","","Harley, R.M.",2010,11,23,"Brazil","Bahia","Mucugê","Parque Municipal e Reserva Sempre-Viva",-12.983333,-41.333333,,"Ximenia coriacea Engl.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","92709","Ximenia coriacea","","Ximeniaceae","Ximenia","coriacea","","Engl.","Guedes, ML",2010,"","16578","","Guedes, ML; Gomes, FS; Alunos de Botânica III",2009,10,11,"Brazil","Bahia","Mucugê","Chapada Diamantina, Caminho de Mucugê para Boninal",-13.4725,-41.4725,"de ca 1 m de altura. Folhas coriáceas, glabra. Flores fasciculadas, perfumadas, hermafroditas, pétalas internamente pilosas, brancas.","Ximenia coriacea Engl.","",,"GBIF"
"","UFRB","HURB","20462","Ximenia coriacea","","Ximeniaceae","Ximenia","coriacea","","Engl.",,,"",,"","Souza, J.S.",2008,6,20,"Brazil","Bahia","São Felipe","Serra da Copioba;",,,,"Ximenia coriacea Engl.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","81031","Ximenia coriacea","","Ximeniaceae","Ximenia","coriacea","","Engl.","Guedes, ML",2007,"","13911","","Guedes, ML; Oliveira, MAJ; Santana, FA",2007,11,16,"Brazil","Bahia","Barra","Médio São Francisco, Fazenda do Brejo",-11.083333,-43.133333,"espinescente. Folhas cartáceas, discolores. Flores com botões esverdeados. frutos imaturos verdes Freqüente.","Ximenia coriacea Engl.","",,"GBIF"
"","IAC","IAC","51880","Ximenia coriacea","","Ximeniaceae","Ximenia","coriacea","","Engl.","G.A.D.C. Franco",2009,"","655","","J.A.M.A. Gomes",2006,11,8,"Brazil","São Paulo","Ubatuba","Praia Puruba",-23.4339,-45.0711,,"Ximenia coriacea Engl.","",,"GBIF"
