"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","42793","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.",,,"","673","","Nichio-Amaral, R.; Nepomuceno, A.; Miranda, V.S.; Gurtler, J.; Mello, B.N.; Magnago, R.; Sossai, B.G.",2019,3,27,"Brazil","Espírito Santo","Conceição da Barra","Área de clareira com entrada pela trilha do paliteiro. Flona do Rio Preto",,,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","42799","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.",,,"","679","","Nichio-Amaral, R.; Nepomuceno, A.; Miranda, V.S.; Gurtler, J.; Mello, B.N.; Magnago, R.; Sossai, B.G.",2019,3,27,"Brazil","Espírito Santo","Conceição da Barra","Área de clareira com entrada pela trilha do paliteiro. Flona do Rio Preto",,,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","134583","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","Guedes, ML",2019,"","31546","","Guedes, ML; Oliveira, MA de J; Alunos da Disciplina Paisagismo IBIO",2019,5,10,"Brazil","Bahia","Maracás","Faz. Botelho.",-13.733333,-40.716667,"Folhas cartáceas, discolores. Frutos cápsulas, imaturas.; antropizadada.","Pera furfuracea Müll.Arg.","",,"GBIF"
"","Reserva Natural Vale","CVRD","15943","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","Geovane S. Siqueira",2018,"","1300","","Siqueira, G.S.",2018,12,26,"Brazil","Es","LINHARES",,,,"área em estágio de regeneração. <ll>dwc_commonname:</ll> Virote","Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","36064","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","186","","Gurtler, J. JAC; Costa-Lima, J.L.; Hollunder, R.K.; Frade, M.S.; Scheidegger, A.F.A.",2017,3,14,"Brazil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas. Distrito de Itaúnas, ao longo da Trilha Alméscar.",,,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01398175","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","G.S. Siqueira",2017,"","235","","Grupo de Coletores do Núcleo Juçara",2016,6,13,"Brazil","Espírito Santo","Conceição da Barra","Base avançada. Núcleo Juçara, Matriz 235 - área de pasto. Floresta Nacional do Rio Preto",-18.439167,-39.824167,"arbusto, terrícola, de solo arenoso, ambiente de planície, clareira, de acesso muito difícil","Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFPB","JPB","61289","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.",,,"","4594","","Nusbaumer, L; et al.",2015,10,7,"Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada, Localité de Quebrangulo.",-9.250288,-36.404682,"; HABITAT: Forêt ombrophile submontagnarde de bas de pente; DESC: arbre, 20 m, tombé une heure avant la récolte (entendu!); inflo. ovoïde à 2 bractée vert-jaune pâle, s'ouvrant par une fente de déhiscence, 2 glandes brillantes noires","Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFPB","JPB","61350","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.",,,"","4655","","Nusbaumer, L; et al.",2015,10,19,"Brazil","Alagoas","Branquinha","Serra de Murici, Localité de Branquinha. Serra de Riachão.",-9.182993,-35.950771,"; HABITAT: Forêt ombrophile submontagnarde, forêt de pente, à 100 m d'un bas-fond d'ordre II; DESC: arbre, 20 m, 50 cm DBH; fr ovoïde vert, recouvert de lepidotes blanc-roux, trois loges, stigmate à trois lobes noirs, plissés en morce","Pera furfuracea Müll.Arg.","",,"GBIF"
"","IMA","MAC","61682","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.",,,"","4655","","L.Nusbaumer",2015,10,19,"Brazil","Alagoas","Branquinha","Serra de Riachão, Serra de Murici.",-9.308314,-36.585475,"Árvore ca. 20 m. Fruto ovóide verde.; Mata Atlântica.","Pera furfuracea Müll.Arg.","",,"GBIF"
"","IMA","MAC","61690","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.",,,"","4594","","L.Nusbaumer",2015,10,7,"Brazil","Alagoas","Quebrangulo","Reserva Biológica Federal de Pedra Talhada.",-9.417467,-36.679672,"Árvore, ca. 20 m. Inflorescência verde.; Mata Atlântica.","Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","34034","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","161","","Moreau, J.S.; Silva, W.M.; Rosa, J.L. & Silva, A.E.",2014,1,22,"Brazil","Espírito Santo","Aracruz","FIBRIA S.A.",,,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00797197","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","BIGIO. N.C.",,"","8261","","Amorim, A.M; et.al",2013,2,8,"Brazil","Bahia","Boa Nova","PARNA Boa Nova. Região das Torres, na estrada em acesso para Fazenda Lajedão. Acesso peala BR 030 em direção a BR 116, ramal ca. 5 Km de Boa Nova. Áreas proximas a segunda porteira sobre o depósito de lixo municipal.",-14.356944,-40.212778,"Arvoreta ca. 4 m alt. Folhas verdes, ligeiramente discolores. Flores amarelas, vistosas.","Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","37203","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","167","","Souza, W.O.; Machado, J.O. & Alves-Araújo, A.",2013,8,8,"Brazil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas.",-18.403333,-39.701944,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","37518","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","151","","Machado, J.O.; Souza, W.O. & Alves-Araújo, A.",2013,12,5,"Brazil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas.",-18.403333,-39.701944,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","7000","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","27","","Cipriano, R.C.; Assis, A.M.",2012,1,5,"Brazil","Espírito Santo","Conceição da Barra","Campinas.",-18.580556,-39.7575,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","178130","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","Bigio, NC",2017,"","1615","","Flores, TB; Campos, OR",2012,10,27,"Brazil","Espírito Santo","Ibitirama","Propriedade particular (Paulo Kintão) No município de Ibitirama pegar o caminho para o cemitério, estrada de terra à direita em uma baixada.",-20.55875,-41.666667,"Material prensado a álcool; Árvore, ca. 4m de alt. Frtutos imaturos verdes, maduros marrons; Mata de encosta.","Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","35218","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","1615","","Flores, T.B.; Campos, O.R.",2012,10,27,"Brazil","Espírito Santo","Ibitirama",,-20.55,-41.65,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00782696","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","BIGIO. N.C.",,"","1615","","T.B. Flores; O.R. Campos",2012,10,27,"Brazil",,"Indeterminado","Propriedade Particular ( Paulo Kintão), no município de Ibitirama pegar o caminho para o cemitério, estrada de terra á direita em uma baixada. Mata de encosta.",-20,-41,"Árvore, ca. 4 m de altura. Frutos imaturos verdes, maduros marrons.","Pera furfuracea Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","122744","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","Bigio, N.C.",2017,"","1615","","Flores, T.B.",2012,10,27,"Brazil","Espírito Santo","Ibitirama","Propriedade Particular (Paulo Kintão). No município de Ibitirama pegar o caminho para o cemitério, estrada de terra à direita em uma baixada. Mata de encosta.",,,"Árvore, ca. 4m de alt. Frutos imaturos verdes, maduros marrons.","Pera furfuracea Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01003642","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","G. Siqueira",2011,"","1787","","G.D. Colletta; T.B. Flores; M.M. Duarte; A.C. Ferrari",2011,4,14,"Brazil","Espírito Santo","Linhares","Reserva Vale, área do projeto de restauração, projeto 145.",,,"Árvore, botões alvos","Pera furfuracea Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00777194","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.",,,"","345","","R. Morokawa; M.F. Devecchi; M.V. Martins; A.P.S. Sabino; Et al.",2011,4,15,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, Trilha do Flamengo, Km 4. 19,15208 S - 40,03717 W.",,,"Árvore","Pera furfuracea Müll.Arg.","",,"GBIF"
"","Reserva Natural Vale","CVRD","13521","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","Geovane S. Siqueira",2011,"","52","","Ferreira, V.B.R.",2010,3,29,"Brazil","Es","LINHARES","C.N.Ceolin (arbóreo)",,,"Planta encontrada na borda do Nativo <ll>dwc_commonname:</ll> Pera da praia","Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","23469","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","101","","Oliveira, I.R.; Ribeiro, M. & Rocha, T.L.",2010,9,26,"Brazil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego do Veado.",,,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","27125","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","276","","Ribeiro, M.; Oliveira, I.R. & Broggio, I.S.",2010,9,19,"Brazil","Espírito Santo","Pinheiros","Reserva Biológica de Córrego do Veado.",,,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","24290","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","325","","Ribeiro, M.; Broggio, I.S. & Fanticelle, B.S.",2010,11,1,"Brazil","Espírito Santo","Pinheiros","Reserva Biológica de Córrego do Veado.",,,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","22538","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","3828","","Gomes, J.M.L.",2010,12,20,"Brazil","Espírito Santo","Linhares","Flona de Goytacazes.",,,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","Reserva Natural Vale","CVRD","12845","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","Narcísio C. Bigio",2018,"","276","","Colletta, G.D.",2009,5,13,"Brazil","Es","LINHARES",,,,"Coletores adicionais: M.S.Ferrucci, M.B.Ângulo,T.B.Flores. <ll>dwc_commonname:</ll> Virote","Pera furfuracea Müll.Arg.","",,"GBIF"
"","UFES","VIES","26304","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",2018,"","336","","Peres, A.L.S.S.",2009,6,4,"Brazil","Espírito Santo","Linhares",,,,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","MPEG","HERBMG","MG195655","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","Bigio, N.C.",,"",,"","Fraga, C.N.; Saavedra, M.M.; Neri, J.",2009,7,30,"Brazil","Bahia",,"BR-418, 28 Km da BR-101",-17.774444,-39.603333,,"Pera furfuracea Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00573670","Pera furfuracea","","Peraceae","Pera","furfuracea","","Müll.Arg.","N.C. Bigio",,"","2788","","C.N. Fraga; M.M. Saavedra & J. Neri",2009,7,30,"Brazil","Bahia","Caravelas","BR-418, ca. 28km da BR-101 em direção a Caravelas. Floresta de tabuleiro costeiro.",-17.774444,-39.603333,"Arbusto, ca. 2m alt. Frutos verdes","Pera furfuracea Müll.Arg.","",,"GBIF"
