"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Paraná, UFPR","EFC","18007","Picramnia excelsa","","Picramniaceae","Picramnia","excelsa","","Kuhlm. ex Pirani","Völtz, R.R.",2019,"","2043","","Völtz, R.R.; Serejo, S.V.",2019,2,26,"Brazil","Paraná","São Mateus do Sul","Barra Feia",-25.97972,-50.565,"Árvore 7 m alt.; ritidoma fissurado, acinzentado; em bizel casca interna amarelada; flores (ou frutos) vermelhos; interior de Floresta Ombrófila Mista com erval.","Picramnia excelsa Kuhlm. ex Pirani","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","14230","Picramnia excelsa","","Picramniaceae","Picramnia","excelsa","","Kuhlm. ex Pirani","Blum, C.T.",2015,"","2230","","Blum, C.T.",2015,6,10,"Brazil","Paraná","Curitiba","Capão do Cifloma",-25.4491,-49.2389,"Árvore 7 m, frutos avermelhados, em Floresta Ombrófila Mista no estágio médio __COMMOM_NAME__: Cedrinho","Picramnia excelsa Kuhlm. ex Pirani","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","7654","Picramnia excelsa","","Picramniaceae","Picramnia","excelsa","","Kuhlm. ex Pirani","J. Cordeiro & E. Barboza",2009,"","2503","","M.G. Caxambu",2009,2,27,"Brazil","Pr","Turvo","Propriedade da família Rickli",-25.070472,-51.584417,"arvoreta ca. 4 m, heliófita. Flores avermelhadas.","Picramnia excelsa Kuhlm. ex Pirani","",,"GBIF"
"","UTFPR","DVPR","4917","Picramnia excelsa","","Picramniaceae","Picramnia","excelsa","","Kuhlm. ex Pirani","Cordeiro, J.; Barboza. E.",2009,"","2503","","Caxambu, M.G.; et al.; et al.",2009,2,27,"Brazil","Paraná","Turvo","Propriedade da família Rickli",-25.04137,-51.35039,,"Picramnia excelsa Kuhlm. ex Pirani","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","134234","Picramnia excelsa","","Picramniaceae","Picramnia","excelsa","","Kuhlm. ex Pirani",,,"","2244","","C.P. Caliari et al.",2009,4,14,"Brazil","Paraná","Telêmaco Borba","Parque Ecológico da Klabin. Borda da mata. Floresta ombrófila mista próximo a curso de rio com presenaça marcante de Pteridophyta no subosque.",,,"Árvore, ca. 5,5 m., fruto marrom","Picramnia excelsa Kuhlm. ex Pirani","",,"GBIF"
"","JBRJ","RB","RB01311240","Picramnia excelsa","","Picramniaceae","Picramnia","excelsa","","Kuhlm. ex Pirani",,,"","2244","","C.P. Caliari; et al.",2009,,,"Brazil","Paraná","Telêmaco Borba","Parque Ecológico da Klabin.",,,,"Picramnia excelsa Kuhlm. ex Pirani","",,"GBIF"
"","USP","SPF","221490","Picramnia excelsa","","Picramniaceae","Picramnia","excelsa","","Kuhlm. ex Pirani","Pirani, JR",2012,"","1702","","Tsuji, R",2007,3,1,"Brazil","Paraná","São Mateus do Sul","Coletado nas proximidades da cidade.",,,,"Picramnia excelsa Kuhlm. ex Pirani","",,"GBIF"
"","HUCP",,"18887","Picramnia excelsa","","Picramniaceae","Picramnia","excelsa","","Kuhlm. ex Pirani","Selusniaki, M",,"","1438","","Selusniaki, M",2007,9,9,"Brazil","Paraná",,"0s",0,0,,"Picramnia excelsa Kuhlm. ex Pirani","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","20684","Picramnia excelsa","","Picramniaceae","Picramnia","excelsa","","Kuhlm. ex Pirani","Sobral, M",2010,"","4012","","Verdi, M.",2007,11,22,"Brazil","Santa Catarina","Itaiópolis",,-26.37,-50.073333,"Fito IFFSC 984 /S/36 Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração Habito: arbórea;","Picramnia excelsa Kuhlm. ex Pirani","",,"GBIF"
"","UCS","HUCS","25687","Picramnia excelsa","","Picramniaceae","Picramnia","excelsa","","Kuhlm. ex Pirani","Gonzatti, F.",2018,"","2680","","Wasum, R.A.",2005,4,18,"Brazil","Paraná","São Mateus do Sul","Estrada para Três Barras",-25.907083,-50.38075,"em orla da mata secundária","Picramnia excelsa Kuhlm. ex Pirani","",,"GBIF"
