"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01378322","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","A.M. Miranda",,"","6838","","A.M. Miranda; K. Martins & A. Figueiredo",2017,10,19,"Brazil","Bahia","Saubara","Distrito de Cabuçu, Fazenda Cabuçu",,,"Arbusto com cerca de 3 metros de altura; caule acinzentado, folhas coriáceas; frutos imaturos verdes. Ocasional","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","238605","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","A.M.Miranda",2017,"","6838","","Miranda, A.M.",2017,10,19,"Brazil","Bahia","Saubara","Cabuçu. Fazenda Cabuçu.",,,,"Coccoloba oblonga Lindau","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","131610","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","Miranda, AM",2017,"","6838","","Miranda, AM; Martins, K",2017,10,19,"Brazil","Bahia","Saubara","Distrito de cabuçu, fazenda Cabuçu.",,,"ca 3m de altura, caule acinzentado, folhas coriáceas, frutos imaturos verdes. Ocasional.","Coccoloba oblonga Lindau","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","22034","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","A.M.Miranda",2017,"","6838","","A.M.Miranda; K.Martins, A.Figueredo",2017,10,19,"Brazil","Bahia","Saubara","distrito de Cabuçu, fazenda Cabuçu",,,"Arbusto ca. 3 m alt.; caule acinzentado; folhas coriáceas; frutos imaturos verdes. Ocasional.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","224858","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","13232","","Melo, E.",2016,6,18,"Brazil","Bahia","Santa Terezinha","Serra da Jibóia, ápice da serra.",-12.253611,-39.475833,"Mata Altântica.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","215672","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","E.Melo",2017,"","1257","","Costa, G.",2015,3,28,"Brazil","Bahia","Jiquiriçá","Cachoeira dos Amores. Fragmento de Mata, próximo a rio e pasto.",-13.2825,-39.570278,,"Coccoloba oblonga Lindau","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","142425","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","Sem Informação",,"","307","","Nogueira, M.G.C.",2014,8,30,"Brazil","Bahia","NILO PEÇANHA","Conglomerado BA_1067-1-1-33",-13.679722,-39.060278,"Duplicatas: NAO","Coccoloba oblonga Lindau","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","142427","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","Sem Informação",,"","319","","Nogueira, M.G.C.",2014,8,30,"Brazil","Bahia","NILO PEÇANHA","Conglomerado BA_1067-1-6-45",-13.679722,-39.060278,"Duplicatas: NAO","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","175422","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","836","","Popovkin, A.V.",2011,2,9,"Brazil","Bahia","Entre Rios","Imbé.",-12.05,-38,"Atlantic Forest.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","172165","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","E.Melo",2016,"","1012","","Saavedra, M.M.",2009,7,27,"Brazil","Bahia","Porto Seguro","BR - 367, ca. 12 Km de Porto Seguro em direção a Santa Cruz de Cabrália.",-16.357778,-39.013056,"Restinga Arbórea.","Coccoloba oblonga Lindau","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","9283","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","Melo, E",2016,"","109","","Ribeiro, LV; Santos; E.V.Brunos",2006,6,12,"Brazil","Sergipe","São Cristóvão","Fragmento de Mata próxima á rodovia Jõao Bebe Água",-10.0053,-37.1223,"Arbusto. Com frutos.; Arbusto. Com frutos.; Borda da Mata","Coccoloba oblonga Lindau","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","73493","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","Santos, JS",2006,"","126","","Santos, JS; Guedes, ML; Valadão, RM; Carvalho, G",2006,7,24,"Brazil","Bahia","Cachoeira","Recôncavo Sul, RPPN-Peninha-Mata do Mato Preto",-12.616667,-38.95,"ca de 3m altura, com ramos lenticelados. Folhas cartáceas, discolores. Frutos imaturos verdes.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","126809","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","E.Melo",2017,"","1073","","Paixão, J.L.",2006,8,18,"Brazil","Bahia","Potiraguá","Rod. que liga a BR 101 com Itapetinga, ca. 15 Km de Itaibé, Faz. Idependência. Área com ação antropica, proviniente da extração da madeira.",-15.203333,-39.575,"Mata higrófila sul bahiana.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","127275","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","E.Melo",2016,"","6181","","Amorim, A.",2006,9,2,"Brazil","Bahia","Saubara","Rod. Cachoeira de São Félix a Santo Amaro. Entrocamento ca. 10 km de Santo Amaro em direção a Saubara. Estrada vicinal em direção ao assentamento.",-12.78,-38.79,"Interior de mata próximo ao córrego.","Coccoloba oblonga Lindau","",,"GBIF"
"","UESB","HUESB","4095","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","E.Melo",2005,"","3978","","Melo, E.; B.M.Silva.; B.M.Silva.",2005,7,22,"Brazil","Bahia","Santa Teresinha","Serra da Jibóia.",-12.854722,-39.475,"Amostra p/ DNA. Troca de material.; Arbusto ca. 3 m alt. Folhas coriáceas discolores. Frutos imaturos verdes.; Ápice da serra.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","98823","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","3978","","Melo, E.",2005,7,22,"Brazil","Bahia","Santa Terezinha","Serra da Jibóia.",-12.854722,-39.475,"Ápice da serra.","Coccoloba oblonga Lindau","",,"GBIF"
"","UESC","UESC","13679","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","1395","","Nunes, T.S.",2005,12,27,"Brazil","Bahia","Santo Antônio",,-16.163611,-38.968889,"Árvore ca. 6m altura.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","104148","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","E.Melo",2016,"","1378","","Nunes, T.S.",2005,12,27,"Brazil","Bahia","Santo Antônio","Estrada para Belmonte.",-16.163611,-38.968889,,"Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","104165","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","1395","","Nunes, T.S.",2005,12,27,"Brazil","Bahia","Santo Antônio","Estrada para Belmonte.",-16.163611,-38.968889,,"Coccoloba oblonga Lindau","",,"GBIF"
"","NY","NY","1019275","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau","E. de Melo",2006,"","1395","","T. S. Nunes",2005,12,27,"Brazil","Bahia",,"Estrada para Belmonte.",-16.1636,-38.9689,,"Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","83485","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","4933","","França, F.",2004,2,24,"Brazil","Bahia","Entre Rios","Estrada Entre-Rios-Linha Verde.",-11.980278,-37.935,"Tabuleiro arenoso.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","102177","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","496","","Macedo, G.E.L.",2004,2,28,"Brazil","Bahia","Jequié",,-13.944722,-40.109444,"Floresta estacional(Mata de cipó) zona de transição. Solo areno argiloso-pedregoso.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","102176","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","596","","Macedo, G.E.L.",2004,3,8,"Brazil","Bahia","Jequié",,-13.944722,-40.109444,"Floresta estacional(Mata de cipó) zona de transição. Solo areno argiloso-pedregoso.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","102175","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","1209","","Macedo, G.E.L.",2004,8,18,"Brazil","Bahia","Jequié",,-13.951111,-40.109722,"Floresta estacional(Mata de cipó) zona de transição. Solo areno argiloso-pedregoso.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","102174","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","1274","","Macedo, G.E.L.",2004,9,2,"Brazil","Bahia","Jequié",,-13.944722,-40.109444,"Floresta estacional(Mata de cipó) zona de transição. Solo areno argiloso-pedregoso.","Coccoloba oblonga Lindau","",,"GBIF"
"","UEFS","HUEFS","102173","Coccoloba oblonga","","Polygonaceae","Coccoloba","oblonga","","Lindau",,,"","1351","","Macedo, G.E.L.",2004,12,6,"Brazil","Bahia","Jequié",,-13.944722,-40.109444,"Floresta estacional(Mata de cipó) zona de transição. Solo areno argiloso-pedregoso.","Coccoloba oblonga Lindau","",,"GBIF"
