"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","249074","Coccoloba schwackeana","","Polygonaceae","Coccoloba","schwackeana","","Lindau",,,"","1455","","Moonlight, P.W.",2019,2,22,"Brazil","Bahia","Macaúbas","Nordeste plot MAC-02. Accessed from dirt road leading south from BA-245 at Acude de Macaubus, ca. 6km along road.",-13.060833,-42.517222,"Open, heavily grazed caatinga with semi-closed canopy at ca. 5m. Sparse herb and shrub layer. Many terrestrial CAM plants.","Coccoloba schwackeana Lindau","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","128690","Coccoloba schwackeana","","Polygonaceae","Coccoloba","schwackeana","","Lindau","Guedes, ML",2017,"","s.n.","","Valadão, R de M",2016,11,25,"Brazil","Bahia","Tanhaçu",,-14.016667,-41.233333,"Folhas coriáceas. Frutos vináceos.","Coccoloba schwackeana Lindau","",,"GBIF"
"","UEFS","HUEFS","186362","Coccoloba schwackeana","","Polygonaceae","Coccoloba","schwackeana","","Lindau",,,"","11104","","Melo, E.",2012,5,19,"Brazil","Bahia","Itatim","Inselbergue Morro das Tocas, base e encosta do morro.",-12.727778,-39.704444,"Caatinga.","Coccoloba schwackeana Lindau","",,"GBIF"
"","UEFS","HUEFS","219590","Coccoloba schwackeana","","Polygonaceae","Coccoloba","schwackeana","","Lindau",,,"","21RGV","","Paiva, M.",2012,7,3,"Brazil","Bahia","Itatim","Morro do Letreiro Face Leste T3 2 1.",-12.7275,-39.776389,,"Coccoloba schwackeana Lindau","",,"GBIF"
"","UEFS","HUEFS","219595","Coccoloba schwackeana","","Polygonaceae","Coccoloba","schwackeana","","Lindau",,,"","26RGV","","Paiva, M.",2012,7,3,"Brazil","Bahia","Itatim","Morro do Letreiro Face Leste T2 3 2.",-12.7275,-39.776389,,"Coccoloba schwackeana Lindau","",,"GBIF"
"","UEFS","HUEFS","193239","Coccoloba schwackeana","","Polygonaceae","Coccoloba","schwackeana","","Lindau",,,"","11839","","Melo, E.",2012,12,14,"Brazil","Bahia","Itatim","Rio Ribeirão.",-12.933889,-39.899444,"Caatinga na base de pontões rochosos, nas proximidades do rio.","Coccoloba schwackeana Lindau","",,"GBIF"
"","UEFS","HUEFS","195309","Coccoloba schwackeana","","Polygonaceae","Coccoloba","schwackeana","","Lindau","E.Melo",2017,"","156","","Marinho, L.C.",2011,10,30,"Brazil","Bahia","Tanhaçu","Floresta Nacional Contendas do Sincorá.",,,,"Coccoloba schwackeana Lindau","",,"GBIF"
"","UEFS","HUEFS","147781","Coccoloba schwackeana","","Polygonaceae","Coccoloba","schwackeana","","Lindau",,,"","3094","","Conceição, A.A.",2009,1,18,"Brazil","Bahia","Bom Jesus da Serra","Próximo a àrea com afloramento de Serpentinito.",-14.409444,-40.518611,,"Coccoloba schwackeana Lindau","",,"GBIF"
"","UEFS","HUEFS","149048","Coccoloba schwackeana","","Polygonaceae","Coccoloba","schwackeana","","Lindau",,,"","6229","","Melo, E.",2009,6,4,"Brazil","Bahia","Riachão do Jacuípe",,-11.741944,-39.388611,"Caatinga antropizada.","Coccoloba schwackeana Lindau","",,"GBIF"
"","UEFS","HUEFS","149127","Coccoloba schwackeana","","Polygonaceae","Coccoloba","schwackeana","","Lindau",,,"","6308","","Melo, E.",2009,6,8,"Brazil","Bahia","Conceição do Coité",,-11.633611,-39.348333,"Mata Estacional.","Coccoloba schwackeana Lindau","",,"GBIF"
