"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UnB","UB","216597","Cybianthus goyazensis","","Primulaceae","Cybianthus","goyazensis","","Mez","Kuhlmann, MP",2013,"","182","","Kuhlmann, MP",2013,2,28,"Brazil","Distrito Federal","Brasília","Parque Nacional de Brasília",,,"Foto em www.frutosatrativosdocerrado.bio.br; Arbusto 2m; frutos maduros cor roxa; 1 semente p/fruto; flor creme; zoocórico.; Mata de Galeria inundável","Cybianthus goyazensis Mez","",,"GBIF"
"","UnB","UB","216774","Cybianthus goyazensis","","Primulaceae","Cybianthus","goyazensis","","Mez","Kuhlmann, MP",2013,"","182","","Kuhlmann, MP",2013,2,28,"Brazil","Distrito Federal","Brasília","Parque Nacional de Brasília",,,"Foto em www.frutosatrativosdocerrado.bio.br; Arbusto 2m; frutos maduros cor roxa; 1 semente p/fruto; flor creme; zoocórico.; Mata de Galeria inundável","Cybianthus goyazensis Mez","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","33063","Cybianthus goyazensis","","Primulaceae","Cybianthus","goyazensis","","Mez","Kuhlmann, MP",2013,"","182","","Kuhlmann, MP",2013,2,28,"Brazil","Distrito Federal","Brasília","Parque Nacional de Brasília",,,"Foto em www.frutosatrativosdocerrado.bio.br; Arbusto 2m; frutos maduros cor roxa; 1 semente p/fruto; flor creme; zoocórico.; Mata de Galeria inundável","Cybianthus goyazensis Mez","",,"GBIF"
"","Cenargen","CEN","83396","Cybianthus goyazensis","","Primulaceae","Cybianthus","goyazensis","","Mez","B. M. T. Walter",2017,"","9","","Márcio Honorato Fernandes",2012,1,10,"Brazil","Df","BRASILIA","Fazenda Malunga (produção orgânica de hortaliças e leite). Núcleo Rural Lamarão.",-15.977222,-47.493611,,"Cybianthus goyazensis Mez","",,"GBIF"
"","Cenargen","CEN","83577","Cybianthus goyazensis","","Primulaceae","Cybianthus","goyazensis","","Mez","B. M. T. Walter",2017,"","191","","Márcio Honorato Fernandes",2012,8,2,"Brazil","Df","BRASILIA","Chácara Onoyama. Taguatinga - DF.",-15.828611,-48.069166,"Remanescente de mata. Coletada na borda da mata.","Cybianthus goyazensis Mez","",,"GBIF"
"","Cenargen","CEN","83671","Cybianthus goyazensis","","Primulaceae","Cybianthus","goyazensis","","Mez","B. M. T. Walter",2017,"","279","","Márcio Honorato Fernandes",2012,11,22,"Brazil","Df","BRASILIA","Fazenda Santa Cecíia. Núcleo Rural Rajadinha II.",-15.766388,-47.636666,,"Cybianthus goyazensis Mez","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","245879","Cybianthus goyazensis","","Primulaceae","Cybianthus","goyazensis","","Mez","Oliveira, R.C. de",,"","1552","","Mike Hopkins",2011,9,11,"Brazil","Goiás",,"Portal da Chapada",,,,"Cybianthus goyazensis Mez","",,"GBIF"
"","UnB","UB","177840","Cybianthus goyazensis","","Primulaceae","Cybianthus","goyazensis","","Mez","Oliveira, RC",,"","1552","","Soares-Silva, LH",2011,9,11,"Brazil","Goiás","Alto Paraíso de Goiás","Portal da Chapada",,,"Arvoreta 2m. Botões florais e flores verde acinzentadas.","Cybianthus goyazensis Mez","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","25847","Cybianthus goyazensis","","Primulaceae","Cybianthus","goyazensis","","Mez","Freitas, MF",2018,"","836","","Carvalho-Silva, M; Soares, AER; Dias, EBA; Azevedo, INC de; Oliveira, MS",2009,9,29,"Brazil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília, Mata do Córrego Taquara, área do Cristo Redentor",-15.931389,-47.9025,"Levantamento Florístico; Arbusto com 20cm, flor creme, botões florais rosados; Mata de Galeria, substrato areno-argiloso, rico em matéria orgânica, relevo plano","Cybianthus goyazensis Mez","",,"GBIF"
"","JBRJ","RB","RB01411111","Cybianthus goyazensis","","Primulaceae","Cybianthus","goyazensis","","Mez","M.F. Freitas",,"","836","","M.C. Silva; A.E.R. Soares; E.B.A. Dias; Azevedo",2009,9,29,"Brazil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília. Mata do Córrego Taquara, área do Cristo Redentor.",-15.931389,-47.9025,,"Cybianthus goyazensis Mez","",,"GBIF"
