"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Cenargen","CEN","109292","Myrsine leuconeura","","Primulaceae","Myrsine","leuconeura","","Mart.","M. F. Freitas",2018,"","99","","Lutero Lerner - IFN",2018,3,9,"Brazil","Go","ITAUCU","Conglomerado: GO-450. Subunidade 02, subparcela 04, indivíduo 14.",-16.2,-49.68,"Projeto Inventário Florestal Nacional (IFN). Árvore com 16,5 cm de DAP. Exsudato tipo resina, vermelho, pouco abundante e pegajoso. Fruto maduro, 0,3 cm de dimensão, forma redonda, cor interna roxo, consistência externa carnosa, p","Myrsine leuconeura Mart.","",,"GBIF"
"","Cenargen","CEN","100431","Myrsine leuconeura","","Primulaceae","Myrsine","leuconeura","","Mart.","M. F. Freitas",2018,"","16793","","Glocimar Pereira-Silva",2016,6,22,"Brazil","Df","BRASILIA","Mata de galeria da Quarentena Vegetal, área de supressão.",-15.727777,-47.904166,,"Myrsine leuconeura Mart.","",,"GBIF"
"","UnB","UB","216410","Myrsine leuconeura","","Primulaceae","Myrsine","leuconeura","","Mart.","Freitas, MF",2015,"","242A","","Silvestre, LFV",2015,5,19,"Brazil","Goiás","Cavalcante","Engenho II. Sítio Histórico Kalunga",,,"Registro etnobotânico - medicinal, construção, lenha; Arbóreo 4m; Mata","Myrsine leuconeura Mart.","",,"GBIF"
"","Cenargen","CEN","105119","Myrsine leuconeura","","Primulaceae","Myrsine","leuconeura","","Mart.","B. M. T. Walter",2018,"","404","","Gustavo Paiva Evangelista Rocha",2015,9,15,"Brazil","Go","CATALAO","Chapadão.",-18.152222,-47.851111,,"Myrsine leuconeura Mart.","",,"GBIF"
"","UFES","VIES","35165","Myrsine leuconeura","","Primulaceae","Myrsine","leuconeura","","Mart.","Carrijo, T.T.",2014,"","2096","","Carrijo, T.T.",2014,5,8,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",,,,"Myrsine leuconeura Mart.","",,"GBIF"
"","UFES","VIES","35164","Myrsine leuconeura","","Primulaceae","Myrsine","leuconeura","","Mart.","Carrijo, T.T.",2014,"","2097","","Carrijo, T.T.",2014,5,8,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",,,,"Myrsine leuconeura Mart.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14919","Myrsine leuconeura","","Primulaceae","Myrsine","leuconeura","","Mart.","Carrijo,T.T.",2014,"","2013","","Carrijo,T.T.",2014,5,9,"Brazil","Es","LINHARES",,-19.104583,-39.911111,"Arbusto cespitoso; Inflorescência amareladas e perfumadas. <ll>dwc_commonname:</ll> Capororoca amarela","Myrsine leuconeura Mart.","",,"GBIF"
"","MBML","MBML-HERBARIO","48708","Myrsine leuconeura","","Primulaceae","Myrsine","leuconeura","","Mart.","T.T. Carijo/2015",,"","2096","","T.T. Carrijo",2014,5,8,"Brazil","Espírito Santo","Linhares","Reserva da Vale",,,"Flor masculina. Arvoreta ca 1m altura. Flores amarelas e perfumadas, em beira de rio","Myrsine leuconeura Mart.","",,"GBIF"
"","JBRJ","RB","RB01410596","Myrsine leuconeura","","Primulaceae","Myrsine","leuconeura","","Mart.","T.T. Carrijo",,"","2096","","T.T. Carrijo",2014,5,8,"Brazil","Espírito Santo","Linhares","Reserva Natural do Vale.",-19.256667,-40.560833,,"Myrsine leuconeura Mart.","",,"GBIF"
"","JBRJ","RB","RB01410597","Myrsine leuconeura","","Primulaceae","Myrsine","leuconeura","","Mart.","T.T. Carrijo",,"","2097","","T.T. Carrijo",2014,5,8,"Brazil","Espírito Santo","Linhares","Reserva Natural do Vale.",-19.256667,-40.560833,,"Myrsine leuconeura Mart.","",,"GBIF"
