"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","15338","Myrsine rubra","","Primulaceae","Myrsine","rubra","","M.F.Freitas & Kin.-Gouv.","Geovane S. Siqueira",2015,"","1086","","Siqueira, G.S.",2015,8,24,"Brazil","Es","LINHARES",,,,"área de solo com turfeira hidromorfica <ll>dwc_commonname:</ll> Capororoca d água","Myrsine rubra M.F.Freitas & Kin.-Gouv.","",,"GBIF"
"","UEFS","HUEFS","224362","Myrsine rubra","","Primulaceae","Myrsine","rubra","","M.F.Freitas & Kin.-Gouv.",,,"","1086","","Siqueira, G.S.",2015,8,24,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Louro. Área de solo com turfeira hidromórfica.",-19.526389,-45.893056,"Várzea periodicamente inundável.","Myrsine rubra M.F.Freitas & Kin.-Gouv.","",,"GBIF"
"","JBRJ","RB","RB01050693","Myrsine rubra","","Primulaceae","Myrsine","rubra","","M.F.Freitas & Kin.-Gouv.","M. F. Freitas",2015,"","s/n","","Luan, Silva",2015,9,15,"Brazil","Rio de Janeiro","Rio das Ostras","Conglomerado 209-3-4-24. UTM do Ponto Central: E (202096m) N (7511439m). Fuso do GPS (24K).",,,"Árvore, com 4m de altura. Base reta. Casca interna vermelha e externa cinza, fina, lenticelada. Flor creme.","Myrsine rubra M.F.Freitas & Kin.-Gouv.","",,"GBIF"
"","JBRJ","RB","RB00941257","Myrsine rubra","","Primulaceae","Myrsine","rubra","","M.F.Freitas & Kin.-Gouv.","M. F. Freitas",2015,"","68","","Scarponi, T. M.; Nascimento, L. S.;  Ammon, R. A. & Hottz, D.",2014,8,4,"Brazil","Rio de Janeiro","Quissamã","Conglomerado  256-3-7-27.  UTM  E(252461m)  N(7549722m).  Fuso  do  GPS  (24K).",,,"Árvore com 6,3 metros de altura, base reta. Casca interna creme com exsudato vermelho em ""anel"", com odor forte ao corte, casca externa cinza escuro, grossa, áspera, lenticelada. Exsudato no fuste: goma vermelha, pouco abundante, pegajosa, com odor. Flor verde claro c/ amarelo.","Myrsine rubra M.F.Freitas & Kin.-Gouv.","",,"GBIF"
"","NY","NY","02703778","Myrsine rubra","","Primulaceae","Myrsine","rubra","","M.F.Freitas & Kin.-Gouv.",,,"","68","","T. M. Scarponi",2014,8,4,"Brazil","Rio de Janeiro",,"Conglomerado 256-3-7-27. UTM E(252461m) N(7549722m). Fuso do GPS (24K).",,,,"Myrsine rubra M.F.Freitas & Kin.-Gouv.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","136114","Myrsine rubra","","Primulaceae","Myrsine","rubra","","M.F.Freitas & Kin.-Gouv.","M.F. Freitas",2015,"","68","","T.M. Scarponi",2014,8,4,"Brazil","Rio de Janeiro","Quissamã",,,,,"Myrsine rubra M.F.Freitas & Kin.-Gouv.","",,"GBIF"
"","Reserva Natural Vale","CVRD","15077","Myrsine rubra","","Primulaceae","Myrsine","rubra","","M.F.Freitas & Kin.-Gouv.","Geovane S. Siqueira",2014,"","989","","Siqueira, G.S.",2014,9,15,"Brazil","Es","SOORETAMA",,-19.013056,-40.016306,"área de solo com turfeira hidromorfica <ll>dwc_commonname:</ll> Capororoca d água","Myrsine rubra M.F.Freitas & Kin.-Gouv.","",,"GBIF"
"","JBRJ","RB","RB00924546","Myrsine rubra","","Primulaceae","Myrsine","rubra","","M.F.Freitas & Kin.-Gouv.","G.S. Siqueira",2014,"","989","","G.S. Siqueira",2014,9,15,"Brazil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama. BR 101.",,,"Arbóreo. Terrestre. Botão verde claro. Flor verde clara. Fruto maduro preto. Fruto imaturo verde. Seiva incolor. Descamação ausente. Fuste cilíndrico. Casca áspera. Altura total: 6m.","Myrsine rubra M.F.Freitas & Kin.-Gouv.","",,"GBIF"
"","JBRJ","RB","RB00935399","Myrsine rubra","","Primulaceae","Myrsine","rubra","","M.F.Freitas & Kin.-Gouv.","M.F.Freitas",,"","436","","A.D.Mattedi; J.V.R.Gomes",2013,11,1,"Brazil","Rio de Janeiro","São João da Barra","RPPN Fazenda Caruara. RPPN Fazenda Caruara",-21.840833,-41.062778,"Fruto roxo, Flores verdes","Myrsine rubra M.F.Freitas & Kin.-Gouv.","",,"GBIF"
"","UFES","VIES","39894","Myrsine rubra","","Primulaceae","Myrsine","rubra","","M.F.Freitas & Kin.-Gouv.",,,"","4123","","Gomes, J.M.L.",2012,9,5,"Brazil","Espírito Santo","Presidente Kennedy",,,,,"Myrsine rubra M.F.Freitas & Kin.-Gouv.","",,"GBIF"
