"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","38209","Roupala longepetiolata","","Proteaceae","Roupala","longepetiolata","","Pohl","Moura, R.",2015,"","835","","Mayer, M.",2014,11,4,"Brazil","Espírito Santo","Iúna",,,,,"Roupala longepetiolata Pohl","",,"GBIF"
"","UFES","VIES","21378","Roupala longepetiolata","","Proteaceae","Roupala","longepetiolata","","Pohl","Zorzanelli, J.P.F.",2012,"","216","","Zorzanelli, J.P.F.",2011,11,20,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Roupala longepetiolata Pohl","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","97604","Roupala longepetiolata","","Proteaceae","Roupala","longepetiolata","","Pohl",,,"","3901","","Tameirão Neto, E",2005,7,14,"Brazil","Minas Gerais","Bom Jardim de Minas","Fazenda Areão - Saint Gobain.",,,"Floresta ciliar, arbóreo - Margem Direita do Rio Grande. Coordenadas em UTM","Roupala longepetiolata Pohl","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","53774","Roupala longepetiolata","","Proteaceae","Roupala","longepetiolata","","Pohl",,,"","156","","França, GS; Stehmann, JR",2000,10,14,"Brazil","Minas Gerais","São Sebastião do Paraíso",,-22.686944,-45.970833,"Arbóreo, flores brancas, carne de vaca, próximo à estrada","Roupala longepetiolata Pohl","",,"GBIF"
"","UNICAMP","UEC","104123","Roupala longepetiolata","","Proteaceae","Roupala","longepetiolata","","Pohl",,,"","554","","Nadruz, MA; et al.",1989,12,28,"Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Mun. de Macaé de Cima, Nascente do Rio das Flores.",-22.55,-42.566667,"Árvore 5m de altura. Folhas discolores verdes: frutos jovens verdes.","Roupala longepetiolata Pohl","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","61279","Roupala longepetiolata","","Proteaceae","Roupala","longepetiolata","","Pohl","M. S. Silva",,"","554","","M. Nadruz",1989,12,28,"Brazil","Rio de Janeiro","nova friburgo","Reserva Ecológica Municipal de Macaé de Cima, nascente do Rio das Flores.",-22.55,-42.5,,"Roupala longepetiolata Pohl","",,"GBIF"
"","UNICAMP","UEC","33908","Roupala longepetiolata","","Proteaceae","Roupala","longepetiolata","","Pohl",,,"","14970","","Rodrigues, RR; Figueiredo, N",1986,1,16,"Brazil","São Paulo","Iguape","Est. Ecol. de Juréia",,,"Árvore de 5m, botões ferrugem, beira de cachoeira.","Roupala longepetiolata Pohl","",,"GBIF"
"","JBRJ","RB","RB00322407","Roupala longepetiolata","","Proteaceae","Roupala","longepetiolata","","Pohl","H. Sleumer",1971,"","3537","","D. Sucre",1968,8,21,"Brazil","Rio de Janeiro","Rio de Janeiro","Est. da Guanabara. Mata secundária do Horto Florestal.",,,"Árvore com ca. 8m de alt., apresentando folhas simples com exceção de 1 galho com folhas compostas. Só material frutífero.","Roupala longepetiolata Pohl","",,"GBIF"
"","NY","NY","626276","Roupala longepetiolata","","Proteaceae","Roupala","longepetiolata","","Pohl","H. O. Sleumer",1971,"","3537","","B. D. Sucre",1968,8,21,"Brazil","Rio de Janeiro",,,,,,"Roupala longepetiolata Pohl","",,"GBIF"
"",,"Botany","L.1650853","Roupala longepetiolata","","Proteaceae","Roupala","longepetiolata","","Pohl",,,"",,"","Sucre Benjamin D",1968,8,21,"unknown or invalid",,,,,,,"Roupala longepetiolata Pohl","",,"GBIF"
