"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01386914","Drypetes sessiliflora","","Putranjivaceae","Drypetes","sessiliflora","","Allemão","Mario Gomes",2018,"","213","","Luan Silva",2015,8,20,"Brazil","Rio de Janeiro","Casimiro de Abreu","Conglomerado 365-1-5-31. UTM do Ponto Central: E (805529m) N (7506304m). Fuso do GPS (23K)",,,"Àrvore, com 15m de altura. Base reta. Casca interna com borda verde e centro amarela e externa creme, fina.","Drypetes sessiliflora Allemão","",,"GBIF"
"","JBRJ","RB","RB01386510","Drypetes sessiliflora","","Putranjivaceae","Drypetes","sessiliflora","","Allemão","Mario Gomes",2018,"",,"","Scarponi, T. M.; Nascimento L. S.; Ammon, R. A. & Hottz, D.",2014,8,18,"Brazil","Rio de Janeiro","Nova Friburgo","Conglomerado 14-4-6-43. UTM do Ponto C entral: E ( 768691m) N (7519456m). Fuso do GPS (23K)",,,"Árvore, com 10,80 m de altura. Base reta. Casca interna creme e externa amarelo pálido, fina, fissurada","Drypetes sessiliflora Allemão","",,"GBIF"
"","JBRJ","RB","RB01386512","Drypetes sessiliflora","","Putranjivaceae","Drypetes","sessiliflora","","Allemão","Mario Gomes",2018,"",,"","Scarponi, T. M.; Nascimento, L. S.;  Ammon, R. A. & Hottz, D.",2014,8,20,"Brazil","Rio de Janeiro","Macaé","Congloemerado 202-1-10-22R. UTM do Ponto Central:   E (787416m)( N (7529093m). Fuso do GPS (23K).",,,"Arbusto com 1,9m de altura. Base reta.","Drypetes sessiliflora Allemão","",,"GBIF"
"","UFRB","HURB","13847","Drypetes sessiliflora","","Putranjivaceae","Drypetes","sessiliflora","","Allemão",,,"","1811","","Victor Jr., V.",2013,1,12,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Drypetes sessiliflora Allemão","",,"GBIF"
"","UFRB","HURB","13848","Drypetes sessiliflora","","Putranjivaceae","Drypetes","sessiliflora","","Allemão",,,"","151","","Victor Jr., V.",2013,1,8,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Drypetes sessiliflora Allemão","",,"GBIF"
"","UFRB","HURB","13845","Drypetes sessiliflora","","Putranjivaceae","Drypetes","sessiliflora","","Allemão",,,"","837","","Victor Jr., V.",2013,1,12,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Drypetes sessiliflora Allemão","",,"GBIF"
"","UFRB","HURB","13849","Drypetes sessiliflora","","Putranjivaceae","Drypetes","sessiliflora","","Allemão",,,"","2192","","Victor Jr., V.",2013,1,16,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Drypetes sessiliflora Allemão","",,"GBIF"
"","UFRB","HURB","13846","Drypetes sessiliflora","","Putranjivaceae","Drypetes","sessiliflora","","Allemão",,,"","810","","Victor Jr., V.",2013,1,12,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Drypetes sessiliflora Allemão","",,"GBIF"
"","UFRB","HURB","13850","Drypetes sessiliflora","","Putranjivaceae","Drypetes","sessiliflora","","Allemão",,,"","1955","","Victor Jr., V.",2013,1,16,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Drypetes sessiliflora Allemão","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","121331","Drypetes sessiliflora","","Putranjivaceae","Drypetes","sessiliflora","","Allemão","Gomes, FS",2013,"","1549","","Gomes, FS",2013,3,27,"Brazil","Bahia","Mascote",,-15.800556,-39.506667,"Folhas cartáceas, discolores. Material estéril.46.1, parcela 04.","Drypetes sessiliflora Allemão","",,"GBIF"
