"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Ceará, UFC","EAC","59369","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Lima-Verde, L.W.",2016,"","203","","Pinto, G.S.",2016,1,22,"Brazil","Ceará","Fortaleza","Campus do Pici, UFC.",,,"Inventário Florístico do Campus do Pici - UFC.; Árvore, flor amarela.; Ambiente urbano.","Ziziphus platyphylla Reissek","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","125130","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek",,2016,"","281","","Campos, L; Coelho, J",2016,4,27,"Brazil","Bahia","Salvador","Campus de ondina - UFBA, estacionamento lateral de letras.",,,"ca. 8 m. Folhas discolores, sépalas verdes, corola creme, disco nectarifero amarelo, fruto marron.; Área antropizada","Ziziphus platyphylla Reissek","",,"GBIF"
"","Reserva Natural Vale","CVRD","15650","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Domingos A. Folli",2016,"","7494","","Folli, D.A.",2016,10,28,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Juazeiro","Ziziphus platyphylla Reissek","",,"GBIF"
"","JBRJ","RB","RB01208119","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","H.C. de Lima",,"","8470","","Haroldo C. de Lima; Andressa N. Lima",2016,12,12,"Brazil","Rio de Janeiro","Campos dos Goytacazes","Mata de Bom Jesus.",-21.713611,-41.262222,"Árvore com 16 metros de altura. Tronco com casca levemente fissurada, pardacenta, DAP cerca de 30 centímetros. Botões esverdeados e flores com cálice e corola esverdeados, estames amarelos. Frequente.","Ziziphus platyphylla Reissek","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","120250","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Guedes, ML",2015,"","23380","","Guedes, ML; Kelmo, F; et al.",2015,2,27,"Brazil","Bahia","Jandaíra","Litoral Norte, Próximo a parcela 30.",-11.45,-37.35,"espinescente. Folhas cartáceas, discolores, margens serreadas. Frutos jovens.","Ziziphus platyphylla Reissek","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","113245","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Guedes, ML",2014,"","1350","","Gomes, FS; Guedes, ML; Kelmo, F; Alunos de Ecologia",2014,2,2,"Brazil","Bahia","Jandaíra","Litoral Norte, Mangue seco.",-11.55,-37.783333,"Folhas cartáceas. Flores axilares, flores amarelo-esverdeadas.","Ziziphus platyphylla Reissek","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","56667","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Moura, R.",2014,"","238","","Batista, W.",2014,2,11,"Brazil","Ceará","Canindé","congl. 115, sub. 1, árv. 10.&nf;Estrato intermediário; solo argiloso com presença de pedras.",-4.32,-39.239994,"Inventário Florestal Nacional - CE; Árvore, casca morta escura com presença de cicatrizes; presença de espinhos no fuste; fruto verde.&nf;Dups RB.","Ziziphus platyphylla Reissek","",,"GBIF"
"","JBRJ","RB","RB01415878","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","R. Moura",,"","238","","W. Batista",2014,2,11,"Brazil","Ceará","Canindé","Conglomerado 115, sub. 1, árv. 10.",-4.32,-39.24,,"Ziziphus platyphylla Reissek","",,"GBIF"
"","UFES","VIES","37510","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek",,,"","246","","Machado, J.O.; Souza, W.O. & Alves-Araújo, A.",2014,3,18,"Brazil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas.",,,,"Ziziphus platyphylla Reissek","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","113295","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Guedes, ML",2014,"","21341","","Guedes, ML; Costa, TF",2014,4,6,"Brazil","Bahia","Barra do Itariri","próximo ao bairro Malvinas.",-12.583333,-38.016667,"de ca 6 m de altura, espinescente. Folhas cartáceas, discolores. Inflorescência com flores amarelo-esverdeadas, pétalas unguiculadas, cuculadas.","Ziziphus platyphylla Reissek","",,"GBIF"
"","UFRB","HURB","8146","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","M.L. Guedes",2014,"","21341","","Guedes, M.L.; Costa, T.F.",2014,4,6,"Brazil","Bahia","Barra do Itariri","próximo ao Bairro Malvinas;",-11.780833,-37.983333,,"Ziziphus platyphylla Reissek","",,"GBIF"
"","UFES","VIES","37606","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek",,,"","104","","Pena, N.T.L.; Alves-Araújo, A.; Machado, J.O.; Silva, L.A.; Souza, W.O. & Freitas, J.",2014,5,19,"Brazil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas.",,,,"Ziziphus platyphylla Reissek","",,"GBIF"
"","UFES","VIES","38730","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Wandekoken, D.T.",2014,"","3","","Wandekoken, D.T.",2014,10,1,"Brazil","Espírito Santo","Vitória","Caixa d#?#água da UFES.",-20.275833,-40.306389,,"Ziziphus platyphylla Reissek","",,"GBIF"
"","UFES","VIES","41264","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek",,,"","3658","","Assis, A.M.; Santos, R.; Herzog, T. & Lopes, J. C.",2013,1,22,"Brazil","Espírito Santo","Serra","ArcelorMittal - restinga arbustiva.",-20.243611,-40.215556,,"Ziziphus platyphylla Reissek","",,"GBIF"
"","Reserva Natural Vale","CVRD","14418","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Domingos A. Folli",2013,"","7050","","Folli, D.A.",2013,4,17,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Juazeiro","Ziziphus platyphylla Reissek","",,"GBIF"
"","Reserva Natural Vale","CVRD","14453","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Domingos A. Folli",2013,"","883","","Siqueira, G.S.",2013,4,17,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Juazeiro","Ziziphus platyphylla Reissek","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","54610","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Lima-Verde, L.W.",2013,"","s.n.","","Macedo, L.",2013,6,11,"Brazil","Ceará","Aquiraz","Balbino, Solo arenoso.",,,"Árvore.; Tabuleiro.","Ziziphus platyphylla Reissek","",,"GBIF"
"","Reserva Natural Vale","CVRD","14682","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Geovane S. Siqueira",2013,"","935","","Siqueira, G.S.",2013,12,1,"Brazil","Es","PRESIDENTE KENNEDY",,,,"<ll>dwc_commonname:</ll> Juazeiro","Ziziphus platyphylla Reissek","",,"GBIF"
"","JBRJ","RB","RB00845170","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","G.S. Siqueira",,"","935","","G.S. Siqueira",2013,12,1,"Brazil","Espírito Santo","Presidente Kennedy","Praia das Neves; estrada da orla da praia. Coordenadas: Long.: 298183; Lat.:7653350",,,"Terrestre, porte arbóreo 5 metros de altura, botão verde claro, flor amarela. Exsudação seiva incolor. Descamação ausente","Ziziphus platyphylla Reissek","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","104481","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Gomes, FS",2012,"","1090","","Gomes, FS; Guedes, ML",2012,3,3,"Brazil","Bahia","Esplanada","Litoral Norte, Entrada para Jandaíra, estrada de Barro",-12.053889,-37.836667,"espinescente, de ca 6 m de altura. Folhas cartáceas, discolores. Frutos imaturos Fotos 475, 474 e 475.","Ziziphus platyphylla Reissek","",,"GBIF"
"","UFES","VIES","13718","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Gomes, F.S.",2012,"","1090","","Gomes, F.S.; Guedes, M.L.",2012,3,3,"Brazil","Bahia","Esplanada","Estrada para Jandaíra.",,,,"Ziziphus platyphylla Reissek","",,"GBIF"
"","UFES","VIES","40118","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek",,,"","281","","Barros, P.H.D.; Silva, L.A.",2012,10,26,"Brazil","Espírito Santo","Vila Velha","Parque Natural Municipal de Jacarenema.",,,,"Ziziphus platyphylla Reissek","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","98528","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Gomes, FS",2011,"","622","","Gomes, FS; Guedes, ML; Costa, AS",2011,1,25,"Brazil","Bahia","Jandaíra","Litoral Norte, Abadia",-11.557778,-37.5125,"ca. 5 m alt. Folhas coriáceas, discolores. Inflorescência amarelo-esverdeada. Frutos imaturos, verdes.; arbustivo-arbórea.","Ziziphus platyphylla Reissek","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","99386","Ziziphus platyphylla","","Rhamnaceae","Ziziphus","platyphylla","","Reissek","Guedes, ML",2011,"","18267","","Guedes, ML; Silva, LM; Akita, AST; Gomes, FS",2011,5,14,"Brazil","Bahia","Candeias","Região Metropolitana Salvador, Próximo à cidade de Caboto, nas imediações do Porto de Aratu",-12.765,-38.497222,"Espinescente. Folhas coriáceas, discolores. Fruto amarelo.; Área antropizada.","Ziziphus platyphylla Reissek","",,"GBIF"
