"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Ceará, UFC","EAC","60248","Ziziphus undulata","","Rhamnaceae","Ziziphus","undulata","","Reissek","Lima-Verde, L.W.",2017,"","s.n.","","Rodrigues, A.M.",2017,3,15,"Brazil","Ceará","Iguatu","Sítio Catingueira.",-6.307778,-39.095278,"Árvore; fruto cinza esverdeado.","Ziziphus undulata Reissek","",,"GBIF"
"","Universidade do Estado de Mato Grosso","HPAN","3341.1","Ziziphus undulata","","Rhamnaceae","Ziziphus","undulata","","Reissek","Carniello, MA",2014,"","4591","","Carniello, MA; Santos, TM",2013,9,24,"Brazil","Mato Grosso","Cáceres","Assentamento Laranjeira I, Propriedade do Genão.",-16.552,-57.550833,"Estudo da composição e uso das plantas presentes nas áreas próximas ás residências das propriedades estabelicidads na região de nascentes de água do Assentamento Laranjeira I, Cáceres-MT","Ziziphus undulata Reissek","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","23063","Ziziphus undulata","","Rhamnaceae","Ziziphus","undulata","","Reissek","Nascimento - Júnior, JE",2012,"","685","","Santos, LAS; Melo, DS; Santos, FMS",2012,2,13,"Brazil","Sergipe","Japoatã","Às margens da rodovia",-10.346944,-36.800833,"Árvore de aprox. 6 m de altura. Frutos imaturos verde com manchas ferrugíneas.; Árvore de aprox. 6 m de altura. Frutos imaturos verde com manchas ferrugíneas.; Mata Atlântica.","Ziziphus undulata Reissek","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","29089","Ziziphus undulata","","Rhamnaceae","Ziziphus","undulata","","Reissek","Oliveira, EVS",2012,"","33","","Ferreira, ES; Oliveira, EVS",2012,6,19,"Brazil","Sergipe","Pirambu","Rebio de Santa Isabel, Fazenda Traíras",-10.699444,-36.829444,"Árvore. Cerca de 3 m.; Restinga","Ziziphus undulata Reissek","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","20717","Ziziphus undulata","","Rhamnaceae","Ziziphus","undulata","","Reissek","Nascimento - Júnior, JE",2011,"","906","","Nascimento - Júnior, JE; Amaral, MCE; Bittrich, V; Carregosa, T; Costa, SM",2011,7,4,"Brazil","Sergipe","Santo Amaro das Brotas",,-10.789167,-37.054167,"Arbusto. Frutos amarelados.&nf;; Arbusto. Frutos amarelados.&nf;; Restinga.","Ziziphus undulata Reissek","",,"GBIF"
"","UNICAMP","UEC","178006","Ziziphus undulata","","Rhamnaceae","Ziziphus","undulata","","Reissek",,,"","20717","","Nascimento-Junior, JE; Amaral, MCE",2011,7,4,"Brazil","Sergipe","Santo Amaro das Brotas",,,,"Arbusto. Frutos amarelados.; Restinga.","Ziziphus undulata Reissek","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","21015","Ziziphus undulata","","Rhamnaceae","Ziziphus","undulata","","Reissek","Silva, TC",2011,"","2759","","Prata, AP; Silva, TC; Santos, LAS",2011,8,10,"Brazil","Sergipe","Barra dos Coqueiros",,-10.933861,-37.026083,"Árvore, ca. 5m; folhas alternas.; Árvore, ca. 5m; folhas alternas.; Restinga.","Ziziphus undulata Reissek","",,"GBIF"
"","UFPB","JPB","54548","Ziziphus undulata","","Rhamnaceae","Ziziphus","undulata","","Reissek",,,"","977","","Matos, EN; Machado, U; Vidal, G",2011,12,13,"Brazil","Bahia","Caravelas","Sede do Parque Nacional de Abrolhos.",-17.745556,-39.236111,"; HABITAT: Floresta e Arbustiva.; DESC: Árvore espinescente AF211. Flores amarelas. H844.","Ziziphus undulata Reissek","",,"GBIF"
"","UEFS","HUEFS","182997","Ziziphus undulata","","Rhamnaceae","Ziziphus","undulata","","Reissek","R.B.Lima",,"","977","","Matos, E.N.de",2011,12,13,"Brazil","Bahia","Caravelas","Sede do Parque Nacional de Abrolhos.",-17.745556,-39.236111,"Floresta. e Arbustiva.","Ziziphus undulata Reissek","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","47413","Ziziphus undulata","","Rhamnaceae","Ziziphus","undulata","","Reissek","Castro, A.S.F.; et al.",2010,"","s.n.","","Oliveira, J.D.S.",2010,2,22,"Brazil","Alagoas","Olho d'Água do Casado","Assentamento, Substrato arenoso.",,,"Árvore ca. 6m, flor amarela, fruto verde, independente.; Caatinga","Ziziphus undulata Reissek","",,"GBIF"
