"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","NY","NY","03361362","Appunia triphylla","","Rubiaceae","Appunia","triphylla","","Ducke","B. M. Torke; J. Beros",2018,"","1101","","V. de F. Mansano",2017,11,7,"Brazil","Pará",,"Flona Tapajós, estrada que corta a flona no km 67.",-2.8756,-54.9397,,"Appunia triphylla Ducke","",,"GBIF"
"","NY","NY","03361367","Appunia triphylla","","Rubiaceae","Appunia","triphylla","","Ducke","B. M. Torke; J. Beros",2018,"","1101","","V. de F. Mansano",2017,11,7,"Brazil","Pará",,"Flona Tapajós, estrada que corta a flona no km 67.",-2.8756,-54.9397,,"Appunia triphylla Ducke","",,"GBIF"
"","JBRJ","RB","RB01308029","Appunia triphylla","","Rubiaceae","Appunia","triphylla","","Ducke","M. Gomes",2018,"","8969","","R.C. Forzza; F. A. Obermuller; L. Giacomin; T. André; E.C. Oliveira; A. Silva; E.S.C. Gomes; G.R.S. Sousa",2016,11,20,"Brazil","Pará","Belterra","Próximo ao Alojamento LBA, BR 163, Km 84. FLONA Tapajós",-3.052778,-54.928611,"Arbusto 2 m alt. Botões verdes.","Appunia triphylla Ducke","",,"GBIF"
"","MPEG","HERBMG","MG192084","Appunia triphylla","","Rubiaceae","Appunia","triphylla","","Ducke","Silva, C.A.S. da",,"",,"","Gurgel, E.S.C.",2008,5,19,"Brazil","Amazonas",,"Base de Operações Geólogo Pedro de Moura",-4.891389,-65.302778,,"Appunia triphylla Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","223427","Appunia triphylla","","Rubiaceae","Appunia","triphylla","","Ducke","Ramos, J.F.",2007,"","226","","Mike Hopkins",2004,12,26,"Brazil","Amazonas",,"Parque Nacional do Pico da Neblina. Trilha para o Pico da neblina. Área degradada próxima ao rio Tucano em antiga roça Yanomami.",0.711028,-65.93,,"Appunia triphylla Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","208977","Appunia triphylla","","Rubiaceae","Appunia","triphylla","","Ducke","Kinupp, V.F.",2001,"","1632","","Mike Hopkins",2001,2,20,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke, Reserva Florestal Adolppho Ducke.",-2.883333,-59.97,,"Appunia triphylla Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","210488","Appunia triphylla","","Rubiaceae","Appunia","triphylla","","Ducke","Campos, M.T.V.A. do A.",,"","23","","Mike Hopkins",1998,2,5,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke, Igarapé do Tinga, platô",-2.883333,-59.97,,"Appunia triphylla Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","198637","Appunia triphylla","","Rubiaceae","Appunia","triphylla","","Ducke","Taylor, C.M.",1999,"","367","","Mike Hopkins",1998,7,1,"Brazil","Amazonas",,"Estação de Manejo Florestal, km 23 do ramal ZF-2 da BR 174, norte de Manaus, Am.",,,,"Appunia triphylla Ducke","",,"GBIF"
"","MO","MO","3153286","Appunia triphylla","","Rubiaceae","Appunia","triphylla","","Ducke",,,"","Costa 367","","F. Costa",1998,7,1,"Brazil","Amazonas",,"Estação de Manejo Florestal, km 23 do ramal ZF-2 da BR 174, norte de Manaurs, Am. (Manaus)",,,,"Appunia triphylla Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","185069","Appunia triphylla","","Rubiaceae","Appunia","triphylla","","Ducke","Campos, M.T.V.A. do A.",1996,"","573","","Mike Hopkins",1996,3,21,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke, Perto da estrada principal.",-2.883333,-59.97,,"Appunia triphylla Ducke","",,"GBIF"
