"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01182006","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Mario Gomes",2016,"","880","","P. Rosa; C. Baez, T. Lima, D. Maurenza, R. Negrão, L. Moraes, A. Moura",2016,8,7,"Brazil","Rio de Janeiro","Nova Friburgo","Serra de Macaé de Cima, localidade de Rio Bonito, mata atrás da pousada Estalagem de propriedade de Bruce Leitmann. Vegeração secundária. APA Macaé de Cima",-22.404167,-42.430278,"Heliófila, casca parda, folhas discolores verdes, as folhas jovens são avermelhadas, frutos passados cinza.","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","Instituto de Botânica","SP","491553","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Gomes, M",2016,"","880","","Rosa, P; et al.",2016,8,7,"Brazil","Rio de Janeiro","Nova Friburgo","APA de Macaé de Cima, Serra de Macaé de Cima, localidade de Rio Bonito",-22.404167,-42.430278,,"Bathysa mendoncaei K.Schum.","",,"GBIF"
"","JBRJ","RB","RB01200146","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Mario Gomes",,"","8371","","Haroldo C. de Lima; J.M.A. Braga, L.J.T. Cardoso, C. de Carvalho & W. da Silva",2016,11,2,"Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Estrada do Comércio, a 3,4 km após o entroncamento para a Sede da Rebio, Três Voltas. Mata de encosta. Reserva Biológica do Tinguá",-22.576389,-43.462222,"Arvoreta com 4 m alt. Inflorescência eréta, botões e flores esverdadas. Frequente.","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","Pontifícia Universidade Católica do Rio de Janeiro","FCAB","7539","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Mario Gomes",2016,"","8371","","Haroldo C. de Lima; J.M.A. Braga; L.J.T. Cardoso; C. de Carvalho; W. da Silva",2016,11,2,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Tinguá, Estrada do Comércio, a 3,4 km após o entroncamento para a Sede da Rebio, três Voltas.",-22.576389,-43.462222,"Arvoreta com 4 m de altura. Inflorescência eréta, botões e flores esverdeadas. Frequente.; Mata de encosta.","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","JBRJ","RB","RB01331601","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","D.N.S. Machado",2016,"","1107","","D.N.S. Machado; G.A. de Queiroz; L.R. Caires; J. Melo",2016,12,21,"Brazil","Rio de Janeiro","Niterói","São Francisco, Parque Natural Municipal de Niterói (PARNIT), Morro Santo Inácio",-22.92,-43.082778,,"Bathysa mendoncaei K.Schum.","",,"GBIF"
"","JBRJ","RB","RB01331587","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","D.N.S. Machado",2016,"","1090","","D.N.S. Machado; G.A. de Queiroz; L.R. Caires; L.S. Cunha",2016,12,19,"Brazil","Rio de Janeiro","Niterói","São Francisco, Parque Natural Municipal de Niterói PARNIT, Morro Santo Inácio",-22.886944,-43.083056,,"Bathysa mendoncaei K.Schum.","",,"GBIF"
"","JBRJ","RB","RB01071640","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","MARIO GOMES",2016,"","663","","M.L.O. Trovó; I.M. Rollim & A. Lobão",2015,8,31,"Brazil","Rio de Janeiro","Nova Friburgo","Galdinópolis, estrada para a oficina das ervas, beirando Rio Magé.",,,"Arvoreta, ca. 3m. Folhas levemente discolores. Frutos velhos.","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","JBRJ","RB","RB01048076","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Mario Gomes",2015,"","850","","Luis Gustavo C. Rigon",2015,10,26,"Brazil","Rio de Janeiro","Rio Claro","Conglomerado 105-4-10-103. UTM do Ponto Central: E (610798m) N (7174572m). Fuso do GPS (23K).",,,"Arbusto, com 7,5m de altura. Base reta. Casca interna amarela e externa marrom, fina, laminada, sem odor ao corte. Flor verde.","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","JBRJ","RB","RB01066953","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Mario Gomes",2016,"","1404","","Luis Gustavo C. Rigon",2015,11,26,"Brazil","Rio de Janeiro","Angra dos Reis","Conglomerado 103-2-5-34. UTM do Ponto Central: E (573857m) N (7471790m). Fuso do GPS (23K).",,,"Àrvore, com 9,0 m de altura.base reta. Casca interna amarela e externa marrom, fina, lisa, desprendimento escamoso, sem odor ao ser cortada. Botão floral verde.","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","MBM","MBM","405158","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Gomes, M",2016,"","1404","","Rigon, LGC",2015,11,26,"Brazil","Rio de Janeiro","Angra dos Reis","Conglomerado 103-2-5-34",-22.86,-44.28,"Árvore com 9 m de altura, base reta. Casca interna amarela e externa marrom, fina, lisa, desprendimento escamoso, sem odor so ser cortada. Botão floral verde.; Solo raso, com afloramento de rochas, substrato médio de uma Floresta Atl","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","UFRB","HURB","13954","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.",,,"","601","","Victor Jr., V.",2013,1,11,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Bathysa mendoncaei K.Schum.","",,"GBIF"
"","UFRB","HURB","13955","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.",,,"","581","","Victor Jr., V.",2013,1,11,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Bathysa mendoncaei K.Schum.","",,"GBIF"
"","JBRJ","RB","RB00777846","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","D. Hottz",,"","297","","Finotti; D. Holz, E. Ramos e A. Sanchez-Tapia",2013,1,9,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha do Rancho Frio, indivíduo 226 da grade PROBIO II.",-22.771667,-43.000278,"Floresta Ombrófila Densa Montana","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","121218","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Gomes, FS",2013,"","1437","","Gomes, FS",2013,3,27,"Brazil","Bahia","Belmonte",,-15.818611,-39.243889,"Material estéril.","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","UESC","UESC","16365","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.",,,"","1958","","Paixão, J.L.,",2013,4,13,"Brazil","Bahia","Camacã",,-15.381111,-39.569722,"Floresta Ombrófila Densa Montana.; Árvore, ca. 12m de altura.","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","JBRJ","RB","RB00823946","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Mario Gomes",,"","09","","C. Marques",2013,5,25,"Brazil","Rio de Janeiro","Teresópolis","Trilha suspensa. Parque Nacional da Serra dos Órgãos",,,"Árvore, folha cartácea, lisa e discolor, fruto imaturo verde e passado marrom","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","140765","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Sem Informação",,"","522","","Lopes, L.C.M.",2012,5,27,"Brazil","Bahia","UNA",,,,,"Bathysa mendoncaei K.Schum.","",,"GBIF"
"","UESC","UESC","21670","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","J.G. Jardim",2012,"","1","","E.R. Andrade",2012,9,19,"Brazil","Bahia","Belmonte",,-15.849444,-39.362222,"Arbusto, aprox. 0,8m de altura.; (St.23)","Bathysa mendoncaei K.Schum.","",,"GBIF"
"","K","Herbarium","K001136151","Bathysa mendoncaei","","Rubiaceae","Bathysa","mendoncaei","","K.Schum.","Nadruz, M.",,"","2498","","Nadruz, M.",2011,1,11,"Brazil",,"Magé","Parque Nacional da Serra Órgãos. Distrito de Piebetá.",,,,"Bathysa mendoncaei K.Schum.","",,"GBIF"
