"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFV","VIC","51754","Bathysa nicholsonii","","Rubiaceae","Bathysa","nicholsonii","","K.Schum.",,,"","s.n.","","Moreira, J.B.C.",2018,4,4,"Brazil","Minas Gerais","Viçosa","UFV",,,,"Bathysa nicholsonii K.Schum.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","142529","Bathysa nicholsonii","","Rubiaceae","Bathysa","nicholsonii","","K.Schum.","Sem Informação",,"","531","","Oliveira, N.E.",2014,11,6,"Brazil","Bahia","Barro Preto","Conglomerado BA_1278-4-10-54",-14.760278,-39.420556,"Duplicatas: RB","Bathysa nicholsonii K.Schum.","",,"GBIF"
"","UFRB","HURB","13927","Bathysa nicholsonii","","Rubiaceae","Bathysa","nicholsonii","","K.Schum.",,,"","1138","","Victor Jr., V.",2013,1,11,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Bathysa nicholsonii K.Schum.","",,"GBIF"
"","UFRB","HURB","13926","Bathysa nicholsonii","","Rubiaceae","Bathysa","nicholsonii","","K.Schum.",,,"","1119","","Victor Jr., V.",2013,1,11,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Bathysa nicholsonii K.Schum.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","57700","Bathysa nicholsonii","","Rubiaceae","Bathysa","nicholsonii","","K.Schum.","J.A. Oliveira",2011,"","3263","","F.R.G. Salimena; C. Neves; M.S. Machado; P.H. Nobre",2011,3,26,"Brazil","Minas Gerais","Juiz de Fora","Jardim Botânico da UFJF - Mata do Krambeck, Ca. 860m altitude.",,,"Árvore ca. 7m, frutos imaturos verdes. Em mata.","Bathysa nicholsonii K.Schum.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","42594","Bathysa nicholsonii","","Rubiaceae","Bathysa","nicholsonii","","K.Schum.","Sobral, M",2012,"","401","","Uhlmann, A.; et al.",2011,8,29,"Brazil","Rio de Janeiro","Nova Friburgo","antena SBT.",-22.359167,-42.564167,"abundante no dossel da floresta Habitat: Floresta Ombrófila Densa Montana; Habito: arbórea;","Bathysa nicholsonii K.Schum.","",,"GBIF"
"","JBRJ","RB","RB00843806","Bathysa nicholsonii","","Rubiaceae","Bathysa","nicholsonii","","K.Schum.","Sobral",,"","401","","A. Uhlmann; et al",2011,8,29,"Brazil","Rio de Janeiro","Nova Friburgo","Antena SBT.",-22.359167,-42.563889,"Árvore de 7m de altura abundante no dossel da floresta","Bathysa nicholsonii K.Schum.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","58643","Bathysa nicholsonii","","Rubiaceae","Bathysa","nicholsonii","","K.Schum.","J.A. Oliveira",2012,"","135","","C.N. Silva; L. Menini Neto",2011,11,9,"Brazil","Minas Gerais","Juiz de Fora","Jardim Botânico da UFJF - Mata do Krambeck, Borda de mata.",,,"Borda de mata. Árvore, ca. de 5m de alt., frutos secos.","Bathysa nicholsonii K.Schum.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","127429","Bathysa nicholsonii","","Rubiaceae","Bathysa","nicholsonii","","K.Schum.","Sem Informação",,"","577","","Perdiz, R. de O.",2010,2,3,"Brazil","Bahia","arataca","Trilha do Talhão 1. Caminho que leva à Serra do Peito de Moça.",-15.174167,-39.339444,"Fotos.","Bathysa nicholsonii K.Schum.","",,"GBIF"
"","JBRJ","RB","RB00569559","Bathysa nicholsonii","","Rubiaceae","Bathysa","nicholsonii","","K.Schum.","Mario Gomes",2014,"","11508","","L. Kollmann; A.M. Amorim, L. Kollmann & L. Daneu",2009,4,9,"Brazil","Espírito Santo","Castelo","Floresta Ombrófila Densa Montana.",-20.5175,-41.075,"Arvoreto 4 m, frutos imaturos verdes.","Bathysa nicholsonii K.Schum.","",,"GBIF"
