"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNEMAT","HERBAM","13382","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Koch, AK",2016,"","80","","Lage, L.A.; Zanin, H.",2016,8,4,"Brazil","Pará","Jacareacanga","UHE São Manoel - Linha de Transmissão ME UTM(05157",,,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","MO","MO","100830226","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","C.M. Taylor",2016,"","Silva 319","","V.G. da Silva|J.R. Mesquita",2015,2,11,"Brazil","Amazonas",,"Reserva Florestal Adolpho Ducke, Área do Museu da Amazônia-MUSA.",-3.003611,-59.939722,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","251705","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Santos, A.J.B. dos",2012,"","3605","","Mike Hopkins",2012,6,18,"Brazil","Rondônia",,"Linha de transmissão (LT) 10.2.",-9.271111,-64.58,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","UEFS","HUEFS","200876","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","3605","","Santos, A.A.",2012,6,18,"Brazil","Rondônia","Porto Velho","Entrada para linha de transmissão(LT)7.2.",-9.274167,-64.579444,"Mata antropizada.","Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","JBRJ","RB","RB00781144","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","A. J. B. Barreto dos Santos",,"","3605","","A. A. Santos",2012,6,18,"Brazil","Rondônia","Porto Velho","Entrada Para linha de Transmissão.",,,"Àrvore quebrada. botões florais verdes","Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Cenargen","CEN","80691","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","P. Delprete",2016,"","1292","","Marcelo Fragomeni Simon",2011,3,30,"Brazil","Ro","PORTO VELHO","Ao longo da BR-364, 29 km E de Jaci Paraná, fragmento florestal à 500 m ao sul. Linha de Transmissão Jirau-Porto Velho.",-9.170833,-64.207777,"Árvore 25m, DAP 30cm, base acanalada, ritidoma estriado.","Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","USP","SPF","204088","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Zappi, DC",2014,"","143","","Fonseca, LHM",2010,9,14,"Brazil","Roraima","Caracaraí","Parque Nacional do Viruá",1.4775,-61.013333,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","236091","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Santos, O.A. dos",2010,"","240","","Mike Hopkins",2009,11,24,"Brazil","Amazonas",,"Comunidade Araticum da Tribo Sateré Mawé",,,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","MO","MO","100261607","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","D. Zappi",2008,"","Sasaki 2001","","D. Sasaki",2008,1,28,"Brazil","Mato Grosso",,"Município de Novo Mundo. Parque Estadual Cristalino. Cachoeira do Escondido, entrada pela Fazenda.",-9.592778,-55.255278,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","K","Herbarium","K000578148","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Zappi, D.C.",,"","2001","","Piva, J.H.; Philippsen, M.; Sasaki, D.",2008,1,28,"Brazil",,"Novo Mundo","Parque Estadual Cristalino. Cachoeira do Escondido, entrada pela Fazenda AJJ.GPS :N 017",-9.59,-55.26,"Subosque pouco denso com Melastomataceae, Marantaceae, Palmae, Rubiaceae.","Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","226411","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","1285","","Mike Hopkins",2006,12,1,"Brazil","Amazonas",,"Rebio Uatumã., Entorno. Ramal da Morena. Solo arenoso.",-1,-59,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","232005","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","644","","Mike Hopkins",2002,5,19,"Brazil","Amazonas",,"Reserva Florestal Adolpho Ducke., Rodovia Manaus-Itacoatiara, km 26. Trilha L-O4, km 7.5. Solo muito argiloso.",-2.943945,-59.9,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","12696","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","644","","Castilho, CV; Pereira, E da C; Souza, SS de; Mello, A",2002,5,19,"Brazil",,,"Rodovia Manaus-Itacoatiara, km 26. Trilha L-O4, km 7.5. Solo muito argiloso.",-2.943945,-59.898514,"; DESC: Árvore de dossel. Base levemente acanalada. Ritidoma castanho, esfoliante. Exsudato avermelhado nos ramos. DAP:34.5 cm. Fruto imaturo, verde.","Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","232005","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","644","","Castilho, CV; Pereira, E da C; Souza, SS de; Mello, A",2002,5,19,"Brazil",,,"Rodovia Manaus-Itacoatiara, km 26. Trilha L-O4, km 7.5. Solo muito argiloso.",-2.943945,-59.898514,"; DESC: Árvore de dossel. Base levemente acanalada. Ritidoma castanho, esfoliante. Exsudato avermelhado nos ramos. DAP:34.5 cm. Fruto imaturo, verde.","Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","232400","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","243","","Mike Hopkins",2001,11,3,"Brazil","Amazonas",,"Reserva Florestal Adolpho Ducke., Rodovia Manaus-Itacoatiara, km 26. Trilha L-O9, km 1.5. Solo argiloso.",-2.996804,-59.94,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","12638","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","243","","Castilho, CV; Pereira, EC; Souza, SS; Santos, AE; Mesquita, A",2001,11,3,"Brazil",,,"Rodovia Manaus-Itacoatiara, km 26. Trilha L-O9, km 1.5. Solo argiloso.",-2.996804,-59.944931,"; DESC: Árvore emergente. Base com sapopemas. Ritidoma castanho. DAP:68.5 cm.","Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","232400","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","243","","Castilho, CV; Pereira, EC; Souza, SS; Santos, AE; Mesquita, A",2001,11,3,"Brazil",,,"Rodovia Manaus-Itacoatiara, km 26. Trilha L-O9, km 1.5. Solo argiloso.",-2.996804,-59.944931,"; DESC: Árvore emergente. Base com sapopemas. Ritidoma castanho. DAP:68.5 cm.","Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","210698","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","115","","Mike Hopkins",2000,,,"Brazil","Amazonas",,"Mamirauá",,,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","6596","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","P.G. Delprete",2011,"","1733","","H. Lorenzi",1997,2,7,"Brazil","Pa","Itacoatiara","Coletado na estrada para Manaus, em área de terra firme.",,,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","185110","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Campos, M.T.V.A. do A.",1996,"","750","","Mike Hopkins",1996,1,17,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke, Estrada para Torre.",-2.883333,-59.97,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","F","Botany",,"Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","M. Campos",1996,"","750","","C. Sothers",1996,1,17,"Brazil","Amazonas",,,-5,-63,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","K","Herbarium","K001136290","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","750","","Sothers, C.A.",1996,1,17,"Brazil",,"Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Estrada para Torre. Planta fichada: 3357-15.",,,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","MPEG","HERBMG","MG157903","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Campos, M.T.V. do A.",,"",,"","Sothers, C.A.",1996,1,17,"Brazil","Amazonas",,"Reserva Florestal Ducke",-2.883333,-59.966667,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","USP","SPF","121478","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Campos, MTVA",1996,"","750","","Sothers, CA",1996,1,17,"Brazil","Amazonas","Manaus","Reserva Florestal Adolpho Ducke",-2.883333,-59.966667,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","NY","NY","01060709","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","M. T. V. do A. Campos",1996,"","750","","C. A. Sothers",1996,1,17,"Brazil","Amazonas",,"Estrada para Torre.",-2.883333,-59.966667,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","185019","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Campos, M.T.V.A. do A.",1996,"","468","","Mike Hopkins",1996,2,9,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke",-2.883333,-59.97,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","MO","MO","3095711","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Campos, 7/96",,"","Campo 468","","Campos",1996,2,9,"Brazil","Amazonas",,"Reserva Florestal Ducke; Manaus-Itacoatiara, km 26",-2.88333,-59.96666,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","USP","SPF","118961","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","Campos, MTVA",1996,"","468","","Campos, MTVA",1996,2,9,"Brazil","Amazonas","Manaus","Reserva Florestal Adolpho Ducke",-2.883333,-59.966667,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","NY","NY","01060707","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.","M. T. V. do A. Campos",1996,"","468","","M. T. V. do A. Campos",1996,2,9,"Brazil","Amazonas",,,,,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","187808","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","369","","Mike Hopkins",1996,8,14,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke",-2.883333,-59.97,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","MO","MO","3095832","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","Assunção 369","","P. A. Costa Lima Assunção|et al.",1996,8,14,"Brazil","Amazonas",,"Reserva Florestal Ducke-Manaus-Itacoatiara, km 26;",,,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
"","K","Herbarium","K001136289","Chimarrhis barbata","","Rubiaceae","Chimarrhis","barbata","","(Ducke) Bremek.",,,"","369","","Assunção, P.A.C.L.",1996,8,14,"Brazil",,"Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Planta fichada: 3484-15.",,,,"Chimarrhis barbata (Ducke) Bremek.","",,"GBIF"
