"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Cenargen","CEN","97457","Chomelia parviflora","","Rubiaceae","Chomelia","parviflora","","(Müll.Arg.) Müll.Arg.","P. Delprete",2016,"","5289","","Anderson Cássio Sevilha",2015,10,16,"Brazil","Ma","CAROLINA","Parque Nacional Chapada das Mesas. Sítio Buenos Aires.",-6.950555,-47.371388,,"Chomelia parviflora (Müll.Arg.) Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01131587","Chomelia parviflora","","Rubiaceae","Chomelia","parviflora","","(Müll.Arg.) Müll.Arg.","M.C. Pessoa",2014,"","864","","M.C. Pessoa; G.D. Colletta; M.A.P. Ferreira; O. Rodrigues de Campos",2014,4,13,"Brazil","São Paulo","São Miguel Arcanjo","P.E. Carlos Botelho, trilha da represa.",,,,"Chomelia parviflora (Müll.Arg.) Müll.Arg.","",,"GBIF"
"","UEFS","HUEFS","179305","Chomelia parviflora","","Rubiaceae","Chomelia","parviflora","","(Müll.Arg.) Müll.Arg.","P.Delprete",2014,"","56528","","Harley, R.M.",2012,1,27,"Brazil","Maranhão","Sambaiba","Margem da estrada BR 230, 11 km da divisa do município em direção a São Raimundo das Mangabeiras.",-6.906389,-45.294444,"Cerrado.","Chomelia parviflora (Müll.Arg.) Müll.Arg.","",,"GBIF"
"","UFSCar","SORO","4471","Chomelia parviflora","","Rubiaceae","Chomelia","parviflora","","(Müll.Arg.) Müll.Arg.",,,"","36","","Grimaldi, M.C.; Caramez, M.B.",2012,12,16,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho. Trilha do Braço",,,"Arbusto. 821m","Chomelia parviflora (Müll.Arg.) Müll.Arg.","",,"GBIF"
"","Cenargen","CEN","99726","Chomelia parviflora","","Rubiaceae","Chomelia","parviflora","","(Müll.Arg.) Müll.Arg.","P. Delprete",,"","14298","","Glocimar Pereira-Silva",2009,4,27,"Brazil","To","GOIATINS","Estrada aldeia indígena Krahó Santa Cruz - Itacajá, km 04. Área indígena Krahó.",-8.478611,-47.67,"Área de influência indireta.","Chomelia parviflora (Müll.Arg.) Müll.Arg.","",,"GBIF"
"","UnB","UB","142489","Chomelia parviflora","","Rubiaceae","Chomelia","parviflora","","(Müll.Arg.) Müll.Arg.","Delprete, PG",2010,"","10328","","Delprete, PG; Silva, JC",2007,9,19,"Brazil","Tocantins","Mateiros","Região do Jalapão. Região das dunas",-10.563889,-46.661111,"Folhas papiráceas, discolores. Frutos inicialmente brancos, passando a branco-esverdeado a vermelhos quase pretos.; Arbusto 0,5-1,3m, muito ramificado. Frutos carnosos.; Campo sujo dominado por gramíneas, com muitas ervas e pequenos arbustos. Solo de","Chomelia parviflora (Müll.Arg.) Müll.Arg.","",,"GBIF"
"","UnB","UB","142487","Chomelia parviflora","","Rubiaceae","Chomelia","parviflora","","(Müll.Arg.) Müll.Arg.","Delprete, PG",2010,"","10332B","","Delprete, PG; Silva, JC",2007,9,19,"Brazil","Tocantins","Mateiros","Região do Jalapão. Trilha entre a estrada e o Fervedouro",-10.373611,-46.518056,"Folhas papiráceas, discolores. Frutos passando de brancos a branco-esverdeados a quase pretos.; Arbusto de 0,5-1,3m, muito ramificado. Frutos carnosos.; Campo sujo, na beira da trilha. Solo de areia branca","Chomelia parviflora (Müll.Arg.) Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00619373","Chomelia parviflora","","Rubiaceae","Chomelia","parviflora","","(Müll.Arg.) Müll.Arg.","P. G. Delprete",2010,"","10328","","P. G. Delprete; J. C. Silva",2007,9,19,"Brazil","Tocantins","Mateiros","Região do Jalapão. Região das dunas. .",-10.563889,-46.661111,"Arbustos de ca. 50-130 cm, muito ramificados. Folhas papiráceas, discolores. Frutos carnosos, inicialmente brancos, passando a branco-esverdeado a vermelhos quase pretos.","Chomelia parviflora (Müll.Arg.) Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00619378","Chomelia parviflora","","Rubiaceae","Chomelia","parviflora","","(Müll.Arg.) Müll.Arg.","P. G. Delprete",2010,"","10332B","","P. G. Delprete; J. C. Silva",2007,9,19,"Brazil","Tocantins","Mateiros","Região do Jalapão. Trilha entre a estrada .",-10.373611,-46.518056,"Arbustos de ca. 50-130 cm, muito ramificados. Folhas papiráceas, discolores. Frutos carnosos, passando de brancos a branco-esverdeados a quase pretos.","Chomelia parviflora (Müll.Arg.) Müll.Arg.","",,"GBIF"
"","UFG","UFG","43382","Chomelia parviflora","","Rubiaceae","Chomelia","parviflora","","(Müll.Arg.) Müll.Arg.","Delprete, P.G.",2010,"","10332","","Delprete, P.G.; J.C. Silva",2007,9,19,"Brazil","Tocantins","Mateiros",,-10,-47,,"Chomelia parviflora (Müll.Arg.) Müll.Arg.","",,"GBIF"
