"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153484","Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.","R. Asprino",,"","375","","Schulte, T.F.",2016,3,15,"Brazil","Bahia","ITANAGRA","Conglomerado BA_724-4-10-24RN",-12.263056,-38.041667,"<ll>dwc_commonname:</ll>","Chomelia pedunculosa Benth.","",,"GBIF"
"","IF","SPSF","51840","Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.","M.Pinus",,"","5","","G.A.Aguirre & J.Teixeira",2014,2,7,"Brazil","Sp","Ilhabela","Estrada de floresta ombrófila densa",,,"COLETA: Árvore 5m, frutos cor berinjela.; GEOGRAFIA: Floresta ombrófila densa;","Chomelia pedunculosa Benth.","",,"GBIF"
"","UEFS","HUEFS","213946","Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.",,,"","1821","","Popovkin, A.V.",2014,11,19,"Brazil","Bahia","Entre Rios","Algodão.",-12.166667,-37.966667,,"Chomelia pedunculosa Benth.","",,"GBIF"
"","UFRB","HURB","4906","Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.","J. Jardim",2015,"","1973","","Aona, L.Y.S.; Costa, G; Fonseca, W.; Jardim, J.G.; et al",2013,1,7,"Brazil","Bahia","Boa Nova","P.N. de Boa Nova; Ramal para Fazenda Liberdade, Setor Sul",-14.4125,-40.119722,,"Chomelia pedunculosa Benth.","",,"GBIF"
"","UFPB","JPB","54150","Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.",,,"","801","","Pessoa, MC; Gomes-Costa, G; Costa-Silva, R; Araújo, ND; Daneu, L",2013,2,26,"Brazil","Bahia","Una","Trilha da Roda Dágua",-15.293333,-39.075278,"; DESC: Arbusto decumbente, ca. 2 m alt., botões florais.","Chomelia pedunculosa Benth.","",,"GBIF"
"","UFPB","JPB","54149","Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.",,,"","800","","Pessoa, MC; Gomes-Costa, G; Costa-Silva, R; Araújo, ND; Daneu, L",2013,2,25,"Brazil","Bahia","Una","Próximo a trilha do Príncipe, descendo para o interior da mata.",-15.293333,-39.075278,"; DESC: Arbusto decumbente, ca. 3,5 m alt., flores cremes, frutos imaturos verdes, negros na maturação.","Chomelia pedunculosa Benth.","",,"GBIF"
"",,,,"Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.",,,"",,"","R.A.F. Lima",2012,6,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",-24.18,-47.92,,"Chomelia pedunculosa Benth.","",,"GBIF"
"",,,,"Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.",,,"",,"","R.A.F. Lima",2012,6,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",-24.18,-47.92,,"Chomelia pedunculosa Benth.","",,"GBIF"
"","UESC","UESC","21694","Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.","J.G. Jardim",2012,"","59","","E.R. Andrade",2012,9,27,"Brazil","Bahia","Canavieiras",,-15.728056,-39.381944,"Arbusto, aprox. 1m de altura.; (Em13)","Chomelia pedunculosa Benth.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","122626","Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.","Pessoa, M.C.",2014,"","1497","","Flores, T.B.",2012,10,24,"Brazil","Espírito Santo","Ibitirama","Santa Marta, Mata do Calçado, Trilha na Tecnotruta. Mata de encosta.",,,"Arvoreta, ca. 2m de alt. Flores alvas, Frutos pretos.","Chomelia pedunculosa Benth.","",,"GBIF"
"","UFPB","JPB","63928-1","Chomelia pedunculosa","","Rubiaceae","Chomelia","pedunculosa","","Benth.","Pessoa, MC",2014,"","1497","","Flores, TB; Kuntz-Galvão, J; Cmapos, OR",2012,10,24,"Brazil","Espirito Santo","Ibitirama","Santa Marta, Mata do Calçado, trilha na Tecnotruta",-20.475472,-41.753667,"Arvoreta, ca. 2m de alt. Flores alvas, frutos pretos; HABITAT: Mata de encosta; DESC: Arvoreta, ca. 2m de alt. Flores alvas, frutos pretos.","Chomelia pedunculosa Benth.","",,"GBIF"
