"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01174537","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","Mario Gomes",,"","19303","","G.Martinelli; P.Rosa, D.Maurenza",2016,8,9,"Brazil","Rio de Janeiro","Silva Jardim","Serra dos Pirineus, próximo da divisa com Município de Nova Friburgo, picada para o vale do Paiá. mata atlantica de altitude com afloramentos rochosos. APA de Macaé de Cima",-22.441111,-42.509444,"arbusto, 4m, ciófila; folhas verdes, discolores; frutos imaturos de cor verde-claro.","Coussarea accedens Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","191506","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","Gomes, M",2016,"","19303","","Martinelli, G; Rosa, P; Maurenza, D",2016,8,9,"Brazil","Rio de Janeiro","Silva Jardim","Área de Proteção Ambiental de Macaé de Cima. Serra dos Pirineus, próximo a divisa com Município de Nova Friburgo, picada para o Vale do Paiá.",-22.441111,-42.509444,"Arbusto 4m, ciófila; folhas verdes, discolores; frutos imaturos de cor verde claro.; Mata Atlântica de altitude com afloramentos rochosos.","Coussarea accedens Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01012920","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","Mario Gomes",,"","96","","Luan, Silva",2015,8,11,"Brazil","Rio de Janeiro","Duque de Caxias","Reserva Biológica de Tinguá. Conglomerado 329-4-1-4-R. UTM E (675898m) F (7510832m). Fuso do GPS (23K).",,,"Arbusto.","Coussarea accedens Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01224529","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","M. Gomes",2016,"","5112","","A.A.M. de Barros; et al",2015,9,25,"Brazil","Rio de Janeiro","Rio de Janeiro","Divisa dos Municípios de Niterói e Maricá, entre Itaipuaçu e Itacoatiara, Parque Estadual da Serra da Tiririca, Alto Mourão",-22.973611,-43.022778,,"Coussarea accedens Müll.Arg.","",,"GBIF"
"","UFPB","JPB","61760","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","Araujo, RC; Rajão, PHM",2013,"","18","","Araujo, RC; Rajão, PHM",2013,4,17,"Brazil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca, Campus Fiocruz",,,"; HABITAT: Mata Atlântica; Floresta Ombrófila Densa Submontana; Interior da Floresta.; DESC: Fuste 4. Altura 8m. Arboreo - arbustivo.","Coussarea accedens Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00889778","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","RAJÃO, P.H.M. ; ARAUJO, R.C.",,"","018","","ARAUJO, R.C.; RAJÃO, P.H.M.",2013,4,17,"Brazil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca, Campus Fiocruz-Mata Atlântica.",,,"Floresta Ombrófila Densa Submontana","Coussarea accedens Müll.Arg.","",,"GBIF"
"","IAC","IAC","56495","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","A.C.O. Souza et al.",2011,"","117","","A.C.O. Souza; L.C. Bernacci & R. Belinelo",2011,2,22,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",-23.360372,-45.109914,,"Coussarea accedens Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","166926","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.",,,"","18","","Stefani, EJF; Belinello, R; Galvão, JC",2010,5,25,"Brazil","São Paulo","Caraguatatuba","Parque estadual da Serra do Mar.",-23.630556,-45.503333,"Árvore com 6m; Mata atlântica.","Coussarea accedens Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00557191","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","M. Gomes",2014,"","2750","","M.G. Bovini; L.C.Giordano, L.S.Filho et F.Silva",2009,3,31,"Brazil","Rio de Janeiro","Paraty","Ponta Negra, trilha para o Pico Cairuçú. APA-CAIRUÇU.",,,"Arvoreta ciófila ca. 4m. Folhas cartáceas, concolores. Frutos imaturos verdes.","Coussarea accedens Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","160932","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","Cavalin, PO",2010,"","44","","Cavalin, PO",2009,11,12,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio",-23.396667,-45.092778,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","Coussarea accedens Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00660871","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","O. Thier",,"","OT 1117","","O. Thier; R. Lange, P. Seltmann",2008,1,12,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Street between Funchal and Guapiaçu. near REGUA.",-22.4575,-42.7625,"Fruits unripe, green, dbh = 10.5 cm","Coussarea accedens Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00660872","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","O. Thier",,"","OT 1135","","O. Thier",2008,2,9,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Street between Funchal and Guapiaçu. near REGUA.",-22.4575,-42.7625,"Fruit unripe green, dbh = 24 cm","Coussarea accedens Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","148873","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","Jung-Mendaçolli, SL",2008,"","453","","Aranha, BA",2007,1,17,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J",-23.366389,-45.084167,,"Coussarea accedens Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00519079","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","M. Gomes",2007,"","3004","","A.A.M. de Barros; D. Salustiano",2007,3,24,"Brazil","Rio de Janeiro","Niterói","Parque Estadual da Serra da Tiririca, Morro do Cordovil, Vale das Borboletas, trilha da Jararaca. Indivíduo 48 do Transect TJ3. CAP 14,0 cm. Folhas membranáceas discolores verdes. Estéril. Município de Niterói, Engenho do Mato.",-22.921944,-42.999722,,"Coussarea accedens Müll.Arg.","",,"GBIF"
"","IAC","IAC","49909","Coussarea accedens","","Rubiaceae","Coussarea","accedens","","Müll.Arg.","E. Ramos et al.",2007,"","570","","E. Ramos; H.R. Gonçalves & S. Santos",2007,4,14,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela H",-23.373559,-45.081447,"Subparcela 21, Indivíduo H0323","Coussarea accedens Müll.Arg.","",,"GBIF"
