"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01359834","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","M. Gomes",2017,"","2286","","R. Goldenberg; A.M. Amorim; J.L. Paixão",2017,4,28,"Brazil","Bahia","Presidente Tancredo Neves","Região da Tesoura 1, Estrada de Acesso ao Sítio do Burjão, 5,7 km da BR 101 em estrada não pavimentada",-39.468889,-39.468889,,"Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01181479","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Mario Gomes",2016,"","744","","C. Baez; Lucas Moraes, Marta Moraes, Raquel Negrão, Thalis Lima, Girso",2016,8,9,"Brazil","Rio de Janeiro","Silva Jardim","Serra dos Pireneus, próximo ao pico do paiá. Trilha que sai da casa do Bengt. APA Macaé de Cima",-22.447778,-42.499444,"Terrícola, semi-heliófila. Folhas glabras verdes. Frutos verdes, estípulas verdes.","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","191507","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Gomes, M",2016,"","744","","Baez, C; et al.",2016,8,9,"Brazil","Rio de Janeiro","Silva Jardim","Área de Proteção Ambiental de Macaé de Cima. Serra dos Pirineus, próximo ao pico do Paiá. Trilha que sai da casa do Bengt.",-22.447778,-42.499444,"Terrícola, semi-heliófila. Folhas glabras verdes. Frutos verdes, estípulas verdes. Altura 1m. Arbusto.; Floresta montana entre trechos de mata secundária e mais preservada.","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01102791","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Mario Gomes",,"","642","","Luan, Silva",2015,9,23,"Brazil","Rio de Janeiro","Dorândia","Conglomerado 107-1-10-60. UTM do Ponto Central: E (601897m) N (7521456m). Fuso do GPS (23K).",,,"Árvore, com 5 m de altura. Base reta. Casca interna creme e externa cinza, fina, áspera","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01102732","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Mario Gomes",,"","s/n","","Nascimento, L. S.; Ammon, R. A. & Hottz, D.",2014,4,17,"Brazil","Rio de Janeiro","Duas Barras","Conglomerado 180-1-10-56. UTM do Ponto Central; E (764732m) N (755941m).",,,"Árvore, com 8,0 m de altura. Base reta. Casca interna creme e externa cinza claro, grossa, rugosa","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","185715","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.",,,"","1234","","Vidal, CV; Souza, DT",2014,4,10,"Brazil","Minas Gerais","Conceição do Mato Dentro",,-19.599169,-43.379408,"Arbóreo; Frutificação; Arvoreta em subbosque de floresta, frutos imaturos verdes, altura 4m; Floresta estacional semidecidual","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","UFRB","HURB","6205","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","M. Gomes",2014,"","2355","","Aona, L.Y.S.; Biggs, N.; Lucas, E.",2013,3,10,"Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica, trilha do Pico do Urubu;",-13.583889,-39.7225,,"Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00788371","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Mario Gomes",2013,"","2355","","L.Y.S. Aona",2013,3,10,"Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica, trilha do Pico do Urubu.",-13.583889,-49.7225,"Arvoreta 3 m alt.; 2 cm de diâmetro, botões alvos","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00822467","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Mario Gomes",2014,"","2913","","L.Y.S. Aona",2013,7,22,"Brazil","Bahia","Bahia","Ubirataia, mata próxima a torre, entre Povoado de Mineiros e Algodão.",-13.866667,-39.666667,"Arbusto ca 6m alt.; frutos imaturos verdes intenso e pedúnculo esverdeado","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00864459","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","D.C. Zappi",2014,"","5114","","E. Tameirão Neto; C.V. Vidal",2012,8,14,"Brazil","Minas Gerais","Conceição do Mato Dentro","Conceição do Mato Dentro.",-19.000833,-43.401389,"Arbustivo","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00766662","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Mario Gomes",2013,"","863","","R. de O. Perdiz; et al",2011,7,29,"Brazil","Bahia","Almadina","Serra do Corcovado.",-14.7,-39.6,"Árvore ca. 5m de altura. Eixos da inflorescência alvos. Frutos imaturos alvos","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","USP","SPF","214402","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Zappi, DC",2011,"","2712","","Zappi, DC",2010,3,4,"Brazil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Fazenda Toucan Cipó. Trilha da Captação",-19.006296,-43.759099,"Arvoreta 5 m alt., frutos verdes.; Desnível em cerrado rupestre com mata de galeria.","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00594317","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Mario Gomes",2014,"","7762","","Amorim, A.M.; et al.",2009,1,16,"Brazil","Bahia","Camacan","RPPN Serra Bonita, área do inventário de fenologia.",-15.391667,-39.565278,"Árvore marcada como matriz fenológica #141. Folhas verdes brilhantes, a face superior mais escura. Raque verde, botões alvacentos.","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00586762","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","MARIO GOMES",2015,"","1735","","Matos, F.B.; A.M. Amorim & G.M. Carvalho & L. Daneu",2009,6,14,"Brazil","Bahia","Porto Seguro","Parque Nacional do Pau Brasil.",-16.5,-39.25,"Arvoreta com ca. 4 m de altura. frutos negros.","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00594297","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Mario Gomes",2014,"","553","","Perdiz, R. de O.; et al.",2009,9,13,"Brazil","Bahia","Arataca","Serra do Peito de Moça. Trilha do Talhão.",-1.252778,-39.339444,"Árvore 6m de altura. Frutos verdes.","Coussarea congestiflora Müll.Arg.","",,"GBIF"
"","USP","SPF","204916","Coussarea congestiflora","","Rubiaceae","Coussarea","congestiflora","","Müll.Arg.","Zappi, DC",,"","2515","","Zappi, DC",2009,11,24,"Brazil","Minas Gerais","Santana de Pirapama","Serra do Cipó",-18.909225,-43.745719,,"Coussarea congestiflora Müll.Arg.","",,"GBIF"
