"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01382311","Coussarea megistophylla","","Rubiaceae","Coussarea","megistophylla","","Standl.","Mario Gomes",2018,"","1331","","C. Baez; E. Fernandez, R. Gomes, D. Maurenza",2018,1,18,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Guapiaçu. Trilha verde. Parque Estadual dos Três Picos/ Reserva Ecológica de Guapiaçu",-22.401389,-42.736389,"Arvoreta, 3,5 m. Ocorrendo na beira do córego. Folhas verdes discolores. Frutos imaturos verdes.","Coussarea megistophylla Standl.","",,"GBIF"
"","JBRJ","RB","RB01048827","Coussarea megistophylla","","Rubiaceae","Coussarea","megistophylla","","Standl.","MARIO GOMES",2018,"","592","","P. Rosa; A. Pintor",2013,11,1,"Brazil","Rio de Janeiro","Silva Jardim","Trilha da Pelônia, ca. 50 m à direta da antiga pardela do João Marcelo (PMA). Reserva Biológica de Poço das Antas.",-22.545833,-42.298055,"Flores, sépalas esverdeadas, pétalas albas.","Coussarea megistophylla Standl.","",,"GBIF"
"","JBRJ","RB","RB01421348","Coussarea megistophylla","","Rubiaceae","Coussarea","megistophylla","","Standl.","João Marcelo Alvarenga Braga",2000,"","6564","","J.M.A.Braga; M.V. Pacheco & A. P. Mazurec",2000,12,14,"Brazil","Rio de Janeiro","Campos dos Goytacazes","Desengano, Imbé, Serra da Penação, Serraria, Fazenda Opinião, Córrego Penação, propriedade de Armando Chaves.",-21.833333,-41.7,"Árvore, ca. 5 m de altura. Folhas cartáceas. Raque e frutos imaturos verdes. Interior de floresta densa e úmida de encosta.","Coussarea megistophylla Standl.","",,"GBIF"
"","JBRJ","RB","RB00338380","Coussarea megistophylla","","Rubiaceae","Coussarea","megistophylla","","Standl.","R.R. Di Maio",1997,"","1899","","J.M.A. Braga; et al",1995,2,3,"Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, Trilha da Pelonha, proximo da parcela de fitossociologia (PMA). Reserva Biológica de Poço das Antas",-22.5,-42.25,"Arbusto, ca. 3,5 metros de altura, umbrofilo. Folhas breve discolores e cartáceas.Frutos imaturos verdes. Comum na encosta","Coussarea megistophylla Standl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","126000","Coussarea megistophylla","","Rubiaceae","Coussarea","megistophylla","","Standl.","Di Mario, R.R.",1905,"","1899","","Braga, J.M.A.",1995,,,"Brazil","Rio de Janeiro","Silva Jardim",,,,,"Coussarea megistophylla Standl.","",,"GBIF"
"","K","Herbarium","K001137719","Coussarea megistophylla","","Rubiaceae","Coussarea","megistophylla","","Standl.",,,"","168","","Farias, D.S.",1994,3,15,"Brazil",,"Silva Jardim","Reserva Biológica Poço das Antas. Margens do Rio São João, entre a BR101 e a ponte da linha férrea.",,,"[Multiple sheets: K001137718]","Coussarea megistophylla Standl.","",,"GBIF"
"","K","Herbarium","K001137718","Coussarea megistophylla","","Rubiaceae","Coussarea","megistophylla","","Standl.",,,"","168","","Farias, D.A.",1994,3,15,"Brazil",,"Silva Jardim","Reserva Biológica Poço das Antas. Margens do Rio São João, entre a BR101 e a ponte linha férrea.",,,"[Multiple sheets: K001137719]","Coussarea megistophylla Standl.","",,"GBIF"
"","JBRJ","RB","RB00442509","Coussarea megistophylla","","Rubiaceae","Coussarea","megistophylla","","Standl.","M.S.Pereira",2004,"","168","","D.S.Farias; et al.",1994,3,15,"Brazil","Rio de Janeiro","Silva Jardim","Margens do Rio São João, entre a BR101 e a ponte da linha férrea. Reserva Biológica de Poço das Antas",-22.5,-42.25,"Arvoreta com ca. com 4m de altura. Folhas verticiladas, no ápice dos ramos. Ramo pentagonal próximo às folhas. Frutos imaturos verdes. Base do pedúnculo com 5 brácteas verdes.","Coussarea megistophylla Standl.","",,"GBIF"
"","JBRJ","RB","RB00443673","Coussarea megistophylla","","Rubiaceae","Coussarea","megistophylla","","Standl.",,,"",,"","S.J.Silva Neto; et al.",1994,5,10,"Brazil","Rio de Janeiro","Silva Jardim","Encosta-area da parcela 1D. Reserva Biológica de Poço das Antas",-22.5,-42.25,,"Coussarea megistophylla Standl.","",,"GBIF"
"","JBRJ","RB","RB00338388","Coussarea megistophylla","","Rubiaceae","Coussarea","megistophylla","","Standl.","F.R.Di Maio",1997,"","443","","C.Luchiari; et al",1994,6,17,"Brazil","Rio de Janeiro","Silva Jardim","Rebio Poço das Antas, Est. Juturnaiba, esquerda- Km 1. ReBio Poço das Antas",-22.5,-42.25,"arvore, 8m, sombreada, folha discolor, face supeiror verde escuro, fruto imaturo verde, fruto maduro negro","Coussarea megistophylla Standl.","",,"GBIF"
