"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFRB","HURB","20919","Faramea bicolor","","Rubiaceae","Faramea","bicolor","","J.G.Jardim & Zappi","D.Moreira",,"","166","","Moreira, D.M.; Almeida, M.R.A.; Brandão, C.S.S.; Alves, T.N.",2017,4,26,"Brazil","Bahia","São Felipe","Serra da Copioba;",,,,"Faramea bicolor J.G.Jardim & Zappi","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","139945","Faramea bicolor","","Rubiaceae","Faramea","bicolor","","J.G.Jardim & Zappi","J. G. Jardim",,"","1851","","J. L. da Paixao",2016,1,1,"Brazil","Bahia","IGRAPIÚNA","Reserva Ecológica das Plantações Michellin da Bahia. Fragamento do Pacangé.",-13.802222,-38.1675,,"Faramea bicolor J.G.Jardim & Zappi","",,"GBIF"
"","JBRJ","RB","RB01357853","Faramea bicolor","","Rubiaceae","Faramea","bicolor","","J.G.Jardim & Zappi","R. Asprino",,"","1217","","Santos, E. A.",2016,2,22,"Brazil","Bahia","Jaguaripe","Conglomerado BA_903-4-2-7",-13.113333,-38.895555,"Árvore","Faramea bicolor J.G.Jardim & Zappi","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153620","Faramea bicolor","","Rubiaceae","Faramea","bicolor","","J.G.Jardim & Zappi","R. Asprino",,"","1217","","Santos, E.A.",2016,2,22,"Brazil","Bahia","JAGUARIPE","Conglomerado BA_903-4-2-7",-13.113333,-38.895556,"<ll>dwc_commonname:</ll>","Faramea bicolor J.G.Jardim & Zappi","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150944","Faramea bicolor","","Rubiaceae","Faramea","bicolor","","J.G.Jardim & Zappi","J. Jardim",,"","435","","Oliveira, N.E.",2014,10,24,"Brazil","Bahia","URUÇUCA","Conglomerado BA_1220-1-3-17",-14.399444,-39.060278,"<ll>dwc_commonname:</ll>","Faramea bicolor J.G.Jardim & Zappi","",,"GBIF"
"","UFRB","HURB","13975","Faramea bicolor","","Rubiaceae","Faramea","bicolor","","J.G.Jardim & Zappi",,,"","1142","","Victor Jr., V.",2013,1,17,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Faramea bicolor J.G.Jardim & Zappi","",,"GBIF"
"","UFRB","HURB","13974","Faramea bicolor","","Rubiaceae","Faramea","bicolor","","J.G.Jardim & Zappi",,,"","1978","","Victor Jr., V.",2013,1,16,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Faramea bicolor J.G.Jardim & Zappi","",,"GBIF"
"","UFRB","HURB","13976","Faramea bicolor","","Rubiaceae","Faramea","bicolor","","J.G.Jardim & Zappi",,,"","1230","","Victor Jr., V.",2013,1,17,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Faramea bicolor J.G.Jardim & Zappi","",,"GBIF"
"","UFRB","HURB","5514","Faramea bicolor","","Rubiaceae","Faramea","bicolor","","J.G.Jardim & Zappi",,,"","2494","","Aona, L.Y.S.; Biggs,N.;Jardim,J.G.;Lucas,E.;Mazine,F.F.; et al.",2013,3,14,"Brazil","Bahia","Ibirapitanga","Serra do Papua,APA de Pratigi,descida do córrego 1; subida pela parcela 7 e 8, trilha principal",-13.919444,-39.468333,"mata pertubada, em sucessão avançada.","Faramea bicolor J.G.Jardim & Zappi","",,"GBIF"
"","UFRB","HURB","6070","Faramea bicolor","","Rubiaceae","Faramea","bicolor","","J.G.Jardim & Zappi",,,"","2433","","Aona, L.Y.S.; Biggs, N.; Jardim, J.G.; Lucas. E.; Mazine. F.F.; Victor,V.V. & Costa,G.",2013,3,13,"Brazil","Bahia","Ibirapitanga","Serra do Papua, APA do Pratigi, descida da parcela 3, antes do córrego 1;",-13.916111,-39.465833,,"Faramea bicolor J.G.Jardim & Zappi","",,"GBIF"
