"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01417001","Faramea martiana","","Rubiaceae","Faramea","martiana","","Müll.Arg.","F.Torres",,"","1082","","J.Külkamp; P.M.L. Santos",2019,8,29,"Brazil","Rio de Janeiro","Rio de Janeiro","Mata do Jardim Botânico, Trilha para a cachoeira dos primatas. Trilha para a cachoeira dos Primatas. Parque Nacional da Tijuca",-22.960278,-43.230278,"Nativa","Faramea martiana Müll.Arg.","",,"GBIF"
"","Reserva Natural Vale","CVRD","15931","Faramea martiana","","Rubiaceae","Faramea","martiana","","Müll.Arg.","Filipe Torres-Leite",2018,"","1292","","Siqueira, G.S.",2018,10,11,"Brazil","Es","ARACRUZ",,,,"Col. Adic. Fernando C. A. C. Filho, Fabiano S. Rocha, Ronnie Gonçalves <ll>dwc_commonname:</ll> Cravo mesclado","Faramea martiana Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01402655","Faramea martiana","","Rubiaceae","Faramea","martiana","","Müll.Arg.","F.T. Leite",,"","1292","","G.S.Siqueira",2018,10,11,"Brazil","Espírito Santo","Aracruz","Parque Natural do Aricanga.",-36.101389,-79.253889,"Arbustivo. Brácteas brancas. Flores roxas. Cor: Incolor, seiva.","Faramea martiana Müll.Arg.","",,"GBIF"
"","UFES","VIES","34845","Faramea martiana","","Rubiaceae","Faramea","martiana","","Müll.Arg.","F. Torres-Leite",2019,"","24","","Peluzio, T.M.O.",2016,4,14,"Brazil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional de Pacotuba",-20.745556,-41.291389,,"Faramea martiana Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00852075","Faramea martiana","","Rubiaceae","Faramea","martiana","","Müll.Arg.","M. Gomes",,"","323","","I.G. Costa",2014,1,16,"Brazil","Rio de Janeiro","Italva","Localidade de Quimbira, em mata.",,,"Arbusto, ca. 3m; frutos imaturos, verdes","Faramea martiana Müll.Arg.","",,"GBIF"
"","MO","MO","100888155","Faramea martiana","","Rubiaceae","Faramea","martiana","","Müll.Arg.","C.M. Taylor (MO)",2017,"","Moraes 4145","","Pedro L.R. de Moraes|H. van der Werff|Lukas Daneu",2014,11,26,"Brazil","Bahia",,"Camacã. RPPN Serra Bonita.",,,,"Faramea martiana Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01324541","Faramea martiana","","Rubiaceae","Faramea","martiana","","Müll.Arg.","J. A. M. Campos & R. Asprino",,"","629","","Oliveira, N. E.",2014,11,23,"Brazil","Bahia","Itapebi","Conglomerado BA_1367",-15.839722,-39.600556,"Herbácea, exsuadado não observado. Flor roxa","Faramea martiana Müll.Arg.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150349","Faramea martiana","","Rubiaceae","Faramea","martiana","","Müll.Arg.",,,"","629","","Oliveira, N.E.",2014,11,23,"Brazil","Bahia","ITAPEBÍ","Conglomerado BA_1367",-15.839722,-39.600556,"<ll>dwc_commonname:</ll>","Faramea martiana Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00820640","Faramea martiana","","Rubiaceae","Faramea","martiana","","Müll.Arg.","Mario Gomes",2013,"","391","","Uller,H.F.; Terra,G.",2013,9,,"Brazil","Rio de Janeiro","São Pedro da Aldeia","Conglomerado 159-Ex1. UTM E(795926m) N(7489034m). Fuso do GPS (23).",,,"Arbusto. Fruto verde vináceo.  Planta de crescimento retilíneo.","Faramea martiana Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","132010","Faramea martiana","","Rubiaceae","Faramea","martiana","","Müll.Arg.","Gomes, M.",2013,"","391","","Uller, H.F. ; Terra, G.",2013,9,,"Brazil","Rio de Janeiro","São Pedro da Aldeia",,,,,"Faramea martiana Müll.Arg.","",,"GBIF"
