"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEPA","MFS","007091","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.","Silva, CAS da",,"","1853","","Lucas, F.C.A.",2017,4,24,"Brazil","Pará","Marituba",,-1.360378,-48.342486,"Árvore de 6 metros de altura com inflorescência avermalhada.","Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","Cenargen","CEN","95840","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.","E.D.Cruz",,"","823","","Eniel David Cruz",2013,8,22,"Brazil","Pa","MOJU","Campo Experimental da EMBRAPA, ramal dos madeireiros, entrando pela esquerda.",-2.160555,-48.7975,"Doação do Herbário IAN - Belém - Pará - Brasil. Registro: 191580.","Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","MPEG","HERBMG","MG231485","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.",,,"",,"","Cruz, E.D.",2013,8,22,"Brazil","Pará",,"Campo Experimental da Embrapa.",-2.160556,-48.7975,,"Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","JBRJ","RB","RB01419607","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.",,,"","823","","E.D. Cruz",2013,8,22,"Brazil","Pará","Moju","Campo Experimental da Embrapa. Ramal dos madeireiros entrando pela esquerda.",-2.160556,-48.7975,,"Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","MPEG","HERBMG","MG211794","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.","Silva, C.A.S. da",,"",,"","Silva, C.A.S. da",2013,9,27,"Brazil","Pará",,"Aurora do Pará",,,,"Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","UEPA","MFS","003829","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.",,,"","10","","Santos, TAP dos",2012,9,29,"Brazil","Pará","Santa Isabel do Pará","Conceição do Itá, Na estrada para a Comunidade de Conceição de Itá, próximo da comunidade.",-1.387731,-48.085692,"Árvore de 8m de altura com DAP de aproximadamente 11cm. Ritidoma marrom com prensença de fungos e liana envolvendo todo o tronco. Flor vermelho intenso alvo. Mata de terra firme.","Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","48904","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.",,,"","522","","sem coletor",2012,10,31,"Brazil","Pará","Benevides","Rua na beira da BR-316, no Balneário Olho D#?#água.",,,"árvore, flores vermelhas, 6m altura. Ritidoma marrom com presença de lenticelas. Casca morta marrom escuro, casca viva amarelada e alburno bege","Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","UEPA","MFS","003844","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.",,,"","522","","Nascimento, MP do",2012,10,31,"Brazil","Pará","Benevides","Rua na beira da BR316, no Balneário Olho D'água.",-1.355306,-48.263139,"Árvore de 6m de altura com 8cm de DAP. Ritidoma marrom com presença de lenticelas. Casca morta marrom escuro, casca viva amarelada e alburno bege. Flores vermelhas.","Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","MPEG","HERBMG","MG166924","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.","Lobato, L.C.B.",,"",,"","Silva, A.S.L. da",2002,3,13,"Brazil","Pará",,"Barcarena",-1.488333,-48.700278,,"Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","Instituto de Botânica","SP","361689","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.","Lobato, LCB",2002,"","3525","","Silva, ASL; et al.",2002,3,13,"Brazil","Pará","Barcarena","Capiri",-1.488333,-48.700278,,"Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","MPEG","HERBMG","MG167810","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.","Lobato, L.C.B.",,"",,"","Bastos, M.N.C.",2001,11,16,"Brazil","Pará",,"Barcarena",-1.511944,-48.708056,,"Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"","MPEG","HERBMG","MG157268","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.",,,"",,"","Costa Neto, S.V. da",1997,7,25,"Brazil","Pará",,"Benevides",,,,"Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
"",,"Botany","L.2939927","Isertia longifolia","","Rubiaceae","Isertia","longifolia","","(Hoffmanns. ex Schult.) K.Schum.",,,"",,"","Runi SP; Julaihi LCJ; Banyeng; et al.",1996,3,11,"Malaysia","Borneo",,"Hydro Dam, Sg. Sebako, Sematan",1.8,109.766666,,"Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","",,"GBIF"
