"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","US","Botany","3180882","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.",,,"","CG44","","W. L. Balee & B. G. Ribeiro",1985,8,16,"Brazil","Pará",,"State of Para. Municipio de Viseu; basin of the Rio Gurupi; Tembe Indian Reserve; 6km SSW of F.U.N.A.I. Post Caninde",,,,"Ixora cowanii Bremek.","",,"GBIF"
"","JBRJ","RB","RB00344783","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.","Mario Gomes",,"","419","","C. Farney; J. Lima & L. Ribeiro",1984,2,2,"Brazil","Amazonas","Amazonas","Estrada Manaus-Boa Vista, km 130.",,,"Arbusto, 3 m, folhas levemente discolores verdes, levemente coriáceas, pedúnculo vermelho, botões florais vermelho claro.","Ixora cowanii Bremek.","",,"GBIF"
"","US","Botany","2777393","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.",,,"","58899","","G. T. Prance & N. Silva",1964,8,27,"Brazil","Pará",,"New Brazilian Highways. Para. Belem-Brasilia Highway. Km. 32",,,,"Ixora cowanii Bremek.","",,"GBIF"
"","F","Botany","V0069587F","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.",,,"","38344","","R. S. Cowan",1954,11,16,"Brazil",,,,-10.8339,-52.8731,,"Ixora cowanii Bremek.","",,"GBIF"
"","JBRJ","RB","RB00344796","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.","C.E.B. Bremekamp",1955,"","38405","","Richard S. Cowan",1954,11,17,"Brazil","Amapá","Amapá","Serra do Navio, Rio Amapari.",,,"Tree 2,5 m tall. Corolla tube dark red, limb green on outside, yellow within. Occasional im lowland forest along trail to Serra do Viado.","Ixora cowanii Bremek.","",,"GBIF"
"","JBRJ","RB","RB00543616","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.","C.E.B. Bremekamp",1955,"","38344","","Cowan,R.",1954,11,16,"Brazil","Amapá","Amapá","Serra do Navio, Rio Amapari, Forest along old road on slopes of C2 orebody and trail to Serra do Viado.",,,"Tree 4m tall. Corolla with reddish tube and yellow limb.","Ixora cowanii Bremek.","",,"GBIF"
"","NY","NY","131959","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.",,,"","38344","","R. S. Cowan",1954,11,16,"Brazil","Amapá",,"Along old road on slopes of C2 Orebody and trail to Serra do Viado.",,,,"Ixora cowanii Bremek.","",,"GBIF"
"",,"Botany","U  0006054","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.","Delprete PG",,"",,"","Cowan RS",1954,11,16,"Brazil","Amapá",,"Serra do Navio, Terr. do Amapa, Rio Amaparion slopes of C2 Orebody and trail to Serra do Viado.",,,,"Ixora cowanii Bremek.","",,"GBIF"
"",,"Botany","U.1571695","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.","Delprete PG",,"",,"","Cowan RS",1954,11,17,"Brazil","Amapá",,"Serra do Navio, Terr. do Amapa, Rio Amapari; along trail to Serra do Viado.",,,,"Ixora cowanii Bremek.","",,"GBIF"
"",,"Botany","U.1571696","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.","Delprete PG",,"",,"","Lemos Fróes R de",1952,4,3,"Brazil","Amazonas",,"Rio Içana, caatinga de Santana.",,,,"Ixora cowanii Bremek.","",,"GBIF"
"","US","Botany","33150","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.",,,"","9A56","","-- Burchell",,,,"Brazil",,,"Catalogus Geographicus Plantarum Brasiliæ Tropicæ",,,,"Ixora cowanii Bremek.","",,"GBIF"
"","NY","NY","01062188","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.",,,"","38405","","R. S. Cowan",,,,"Brazil","Amapá",,,,,,"Ixora cowanii Bremek.","",,"GBIF"
"","NY","NY","01062191","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.",,,"","4250","","A. A. de Oliveira",,,,"Brazil","Amapá",,,,,,"Ixora cowanii Bremek.","",,"GBIF"
"","NY","NY","01062189","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.",,,"","1581","","W. L. Balée",,,,"Brazil","Pará",,,,,,"Ixora cowanii Bremek.","",,"GBIF"
"","NY","NY","01062190","Ixora cowanii","","Rubiaceae","Ixora","cowanii","","Bremek.",,,"","5006","","H. S. Irwin",,,,"Brazil","Pará",,,,,,"Ixora cowanii Bremek.","",,"GBIF"
