"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","IAC","IAC","36126","Ixora martinsii","","Rubiaceae","Ixora","martinsii","","Standl.","F.H. Muniz",1996,"","1535","","F.H. Muniz",1996,7,9,"Brazil","Maranhão","Buriticupu","Reserva Florestal da CVRD",-4.3458,-46.4011,,"Ixora martinsii Standl.","",,"GBIF"
"","UnB","UB","176608","Ixora martinsii","","Rubiaceae","Ixora","martinsii","","Standl.",,,"","1535","","Muniz, FH",1996,7,9,"Brazil","Maranhão","Buriticupu","Reserva Florestal da CVRD",,,"Árvore 11m. Botões florais branco-esverdeados.","Ixora martinsii Standl.","",,"GBIF"
"","JBRJ","RB","RB00344797","Ixora martinsii","","Rubiaceae","Ixora","martinsii","","Standl.",,,"","1535","","F.H. Muniz",1996,7,9,"Brazil","Maranhão","Buriticupu","Reserva Florestal da CVRD. Reserva Florestal da CVRD",,,"Árvore 11m , DAP=21,8 cm, botões florais branco-esverdeados.","Ixora martinsii Standl.","",,"GBIF"
"","UEMA","SLUI","2358","Ixora martinsii","","Rubiaceae","Ixora","martinsii","","Standl.",,,"",,"","F.H. Muniz",1995,2,2,"Brazil","Maranhão","Buriticupu","Reserva Florestal de Buriticupu",-4.546028,-46.670533,,"Ixora martinsii Standl.","",,"GBIF"
"","UEMA","SLUI","2100","Ixora martinsii","","Rubiaceae","Ixora","martinsii","","Standl.",,,"",,"","F.H. Muniz",1994,12,1,"Brazil","Maranhão","Buriticupu","Reserva Florestal de Buriticupu",-4.546028,-46.670533,,"Ixora martinsii Standl.","",,"GBIF"
"","MPEG","HERBMG","MG144623","Ixora martinsii","","Rubiaceae","Ixora","martinsii","","Standl.","Santos, R.R. dos",,"",,"","Reis, R.",1993,7,20,"Brazil","Maranhão",,"Santa Luzia",,,,"Ixora martinsii Standl.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","148929","Ixora martinsii","","Rubiaceae","Ixora","martinsii","","Standl.",,,"","743","","Mike Hopkins",1985,12,9,"Brazil","Pará",,"Mte Dourado. Área da Água Azul. Campinarana.",,,,"Ixora martinsii Standl.","",,"GBIF"
"","MPEG","HERBMG","MG123326","Ixora martinsii","","Rubiaceae","Ixora","martinsii","","Standl.","Silva, N.T. da",,"",,"","Pires, J.M.",1985,12,9,"Brazil","Pará",,"Almeirim",,,,"Ixora martinsii Standl.","",,"GBIF"
"","NY","NY","01062251","Ixora martinsii","","Rubiaceae","Ixora","martinsii","","Standl.",,,"","743","","M. J. P. Pires-O'Brien",1985,12,9,"Brazil","Pará",,"Mte Dourado. Área da Água Azul. Campinarana.",-1.05,-52.7,,"Ixora martinsii Standl.","",,"GBIF"
"","MPEG","HERBMG","MG061282","Ixora martinsii","","Rubiaceae","Ixora","martinsii","","Standl.","Rosa, N.A.",,"",,"","Rosa, N.A.",1978,7,11,"Brazil","Maranhão",,"São Luís",,,,"Ixora martinsii Standl.","",,"GBIF"
