"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","239632","Ixora truncata","","Rubiaceae","Ixora","truncata","","Müll.Arg.",,2017,"","152","","Nascimento, J.B.S.",2017,8,23,"Brazil","Ceará","Ipu","Ingazeira Planalto da Ibiapaba. Sítio Coqueiros.",-4.251389,-40.733333,"Área de Floresta subperenifólia tropical plúvio-nebular e floresta subcaducifólia tropical pluvial.","Ixora truncata Müll.Arg.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","57670","Ixora truncata","","Rubiaceae","Ixora","truncata","","Müll.Arg.","Souza, E.B.",2014,"","3199","","Souza, E.B.",2014,8,9,"Brazil","Ceará","Tianguá","Sítio Dom Bosco, Planalto da Ibiapaba.",-3.670278,-40.966944,"Arbusto ereto, 3-4m; caule pardo, cinza a verde-claro; folhas cartáceas; flores com cálice verde-claro e corola branca, estames e estilete brancos; habitanto o sub-bosque da floresta úmida em áreas sombreadas; coletada para estudo fit","Ixora truncata Müll.Arg.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","56949","Ixora truncata","","Rubiaceae","Ixora","truncata","","Müll.Arg.","Fonseca, R.S.",2014,"","681","","Batista, W.",2014,8,31,"Brazil","Ceará","Pacatuba","congl. 85-G, sub. 4, árv. 35.&nf;Floresta madura; terreno inclinado; solo profundo; estrato intermediário de altura.",-4.005,-38.654992,"Inventário Florestal Nacional - CE; Árvore, casca morta escura e casca viva amarelada; flor branca.&nf;Dups RB.; Vegetação de serra.","Ixora truncata Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01415635","Ixora truncata","","Rubiaceae","Ixora","truncata","","Müll.Arg.","R.S. Fonseca",,"","681","","W. Batista",2014,8,31,"Brazil","Ceará","Pacatuba","Conglomerado 85-G, sub. 4, árv. 35.",-4.005,-38.655,,"Ixora truncata Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00916796","Ixora truncata","","Rubiaceae","Ixora","truncata","","Müll.Arg.","F.R. Di Maio",,"","2853","","E.B. Souza; A.L.O. Bezerra",2013,11,16,"Brazil","Ceará","Ubajara","Planalto do Ibiapaba, sítio do Alemão.",-3.845,-40.91,"Arbusto ereto, ca. 2m alt. Caules acinzentados com nós salientes; ramos jovens levemente achatados nos entrenós. Folhas papiráceas. Flores com cálice verde e corola branca. Frutos imaturos vermelhos. Espécie esciófila, pouco frequente, encontrada como indivíduos isolados, bem separados ente si ao longo do sub-bosque.","Ixora truncata Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00916796","Ixora truncata","","Rubiaceae","Ixora","truncata","","Müll.Arg.","F.R. Di Maio",2013,"","2853","","E.B. Souza; A.L.O. Bezerra",2013,11,16,"Brazil","Ceará","Ubajara","Planalto do Ibiapaba, sítio do Alemão.",-3.845,-40.91,"arbusto, ereto, ca. 2m de altura caules acinzentados com nós salientes; ramos jovens levemente achatados nos entrenós folhas papiráceas flores com cálice verde e corola branca frutos imaturos vermelhos espécie esciófila, pouco frequente, encontrada como indivíduos isolados, bem separados ente si ao longo do sub-bosque","Ixora truncata Müll.Arg.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","55115","Ixora truncata","","Rubiaceae","Ixora","truncata","","Müll.Arg.","Souza, E.B.",2013,"","2949","","Souza, E.B.",2013,12,27,"Brazil","Ceará","Ibiapina","Sítio Boa Água, Planalto da Ibiapaba.",-3.884722,-40.895,"Arbusto ereto, 4-5m, habitando o sub-bosque; caules pardos, cinza a verde-claros; folhas cartáceas a papiráceas; frutos em diversos estágios de maturidade, variando de verde-claros, amarelados, vermelhos, púrpura-escuros a nigrescente","Ixora truncata Müll.Arg.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","55119","Ixora truncata","","Rubiaceae","Ixora","truncata","","Müll.Arg.","Souza, E.B.",2013,"","2938","","Souza, E.B.",2013,12,27,"Brazil","Ceará","Ibiapina","Sítio Boa Água, Planalto da Ibiapaba.",-3.884722,-40.895,"Arbusto ereto, 4-5m; caules pardos, cinzas a verde-claros; folhas cartáceas a papiráceas; frutos em diversos estágios de maturidade, verde-claros, amarelados, vermelhos, púrpura-escuros a nigrescentes.; Floresta subperenifólia tropic","Ixora truncata Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00916786","Ixora truncata","","Rubiaceae","Ixora","truncata","","Müll.Arg.","E.B. Souza",,"","2938","","E.B. Souza; E.M. Marreira, G.M. Manço, G.M. Lira, E.K.S. Brandão",2013,12,27,"Brazil","Ceará","Ibiapina","Planalto de Ibiapaba, Sítio Boa Água.",-3.884722,-40.895,"Arbusto ereto, 4-5m alt. Caules pardos, cinzas a verde-claros. Folhas cartáceas a papiráceas. Frutos em diversoso estágios de maturidade, variando de verde-claros, amarelados, vermelhos, púrpura-escuros a nigrescentes.","Ixora truncata Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00916780","Ixora truncata","","Rubiaceae","Ixora","truncata","","Müll.Arg.","E.B. Souza",,"","2949","","E.B. Souza; E.M. Marreira, M.G.F. Manço, G.M. Lira, E.K.S. Brandão",2013,12,27,"Brazil","Ceará","Ibiapina","Planalto de Ibiapina, Sítio Boa Água.",-3.884722,-40.895,"Arbusto ereto, 4-5m alt., habitando o sub-bosque. Caules pardos, cinzas a verde-claros. Folhas cartáceas a papiráceas. Frutos em diversos estágios de maturidade, variando de verde-claros, amarelados, vermelhos, púrpura-escuros a nigrescentes.","Ixora truncata Müll.Arg.","",,"GBIF"
