"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","175825","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"","248","","Antonelli, A",2003,3,,"Brazil","Amazonas","São Gabriel da Cachoeira","1 Km ao noroeste do Porto de Camanaus. No Subdossel de floresta Secundária antiga, sobre areia branca.",-0.116667,-67.066667,"Arvoreta de até 2m de alt, pouco ramificada, Diâm.do tronco 1cm. à altura do Peito. Tronco e pecíolos fistulosos (ocos).","Ladenbergia chapadensis S.Moore","",,"GBIF"
"","MO","MO","1319863","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore","C.M. Taylor",2000,"","Campos de la Cruz 3956","","José Campos de la Cruz|Z. Garcia",1997,6,11,"Peru","Cajamarca",,"La Coipa, vista Florida-La Laguna. Bosque primario.",-5.43333,-78.94166,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
"","UNICAMP","UEC","44128","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"","345","","Oliveira Filho, A",1985,6,28,"Brazil","Mato Grosso",,"Chapada dos Guimarais.",,,"Arvoreta ca. 2m de alt. Botões florais e frutos.; Cerrrado rupestre.","Ladenbergia chapadensis S.Moore","",,"GBIF"
"","Instituto de Botânica","SP","11428","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"","CRONDON2768","","Hoehne, FC",1911,4,,"Brazil","Mato Grosso",,"Casa da Pedra",,,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
"","NY","NY","132060","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"","144","","S. L. M. Moore",1891,,,"Brazil","Mato Grosso",,,,,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
"","NHMUK","BOT","BM001008756","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"","144","","Spencer le Marchant Moore",,,,"Brazil","Mato Grosso",,,-13.163117,-55.929878,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
"","B","FMNH-B-Types","139","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"","144","","S. Moore",,,,"Brazil",,,,,,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
"","F","Botany",,"Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"","144","","S. Moore",,,,"Brazil",,,,-10.8339,-52.8731,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
"","K","Herbarium","K001049570","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"","989","","Riedel",,,,"Brazil",,,"S. da Chapada.",,,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
"","W","Herbarium W","0072333","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"",,"","REFLORA provisional entry",,,,"Brazil",,,,,,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
"","W","Herbarium W","1996-0000033","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"",,"","REFLORA provisional entry",,,,"Brazil",,,,,,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
"","W","Herbarium W","1996-0000038A","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"",,"","REFLORA provisional entry",,,,"Brazil",,,,,,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
"","W","Herbarium W","1996-0000038B","Ladenbergia chapadensis","","Rubiaceae","Ladenbergia","chapadensis","","S.Moore",,,"",,"","REFLORA provisional entry",,,,"Brazil",,,,,,,"Ladenbergia chapadensis S.Moore","",,"GBIF"
