"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","197030","Palicourea forsteronioides","","Rubiaceae","Palicourea","forsteronioides","","(Müll.Arg.) C.M.Taylor",,,"","6745","","Rezende, SG; Justo, AG",2018,1,15,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.077778,-43.688889,"Arbusto; Floresta Estacional em Estágio Avançado de Regeneração - Capão de canga","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197031","Palicourea forsteronioides","","Rubiaceae","Palicourea","forsteronioides","","(Müll.Arg.) C.M.Taylor",,,"","6746","","Rezende, SG; Justo, AG",2018,2,11,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-19.981111,-43.662778,"Herbáceo; Floresta Estacional Semidecidual em Estágio Médio de Regeneração","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197032","Palicourea forsteronioides","","Rubiaceae","Palicourea","forsteronioides","","(Müll.Arg.) C.M.Taylor",,,"","6747","","Rezende, SG; Justo, AG",2018,2,19,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.106944,-43.685278,"Arbusto; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197033","Palicourea forsteronioides","","Rubiaceae","Palicourea","forsteronioides","","(Müll.Arg.) C.M.Taylor",,,"","6748","","Rezende, SG; Justo, AG",2018,2,28,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.109722,-43.674167,"Arbusto; Floresta Estacional Semidecidual em Estágio Médio de Regeneração","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","194891","Palicourea forsteronioides","","Rubiaceae","Palicourea","forsteronioides","","(Müll.Arg.) C.M.Taylor",,,"","6383","","Rezende, SG; Santos, JG",2018,4,27,"Brazil","Minas Gerais","Morro do Pilar","Bacia do Rio Preto",-19.163889,-43.387222,"Arbusto; Floresta Estacional Semidecidual em Estágio Médio de Regeneração","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","194892","Palicourea forsteronioides","","Rubiaceae","Palicourea","forsteronioides","","(Müll.Arg.) C.M.Taylor",,,"","6384","","Rezende, SG; Santos, JG",2018,4,27,"Brazil","Minas Gerais","Morro do Pilar","Bacia do Rio Preto",-19.160278,-43.385833,"Arbusto; Floresta Estacional Semidecidual em Estágio Médio de Regeneração","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197795","Palicourea forsteronioides","","Rubiaceae","Palicourea","forsteronioides","","(Müll.Arg.) C.M.Taylor",,,"","6871","","Rezende, SG; Justo, AG",2018,5,18,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.108889,-43.659444,"Erva terrícula; Floresta Estacional Semidecidual em Estágio Inicial de Regeneração","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197966","Palicourea forsteronioides","","Rubiaceae","Palicourea","forsteronioides","","(Müll.Arg.) C.M.Taylor",,,"","6973","","Rezende, SG; Justo, AG",2018,8,31,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.046944,-43.686667,"Erva terrícula; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197965","Palicourea forsteronioides","","Rubiaceae","Palicourea","forsteronioides","","(Müll.Arg.) C.M.Taylor",,,"","6972","","Rezende, SG; Justo, AG",2018,8,29,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.036111,-43.678333,"Erva terrícula; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197968","Palicourea forsteronioides","","Rubiaceae","Palicourea","forsteronioides","","(Müll.Arg.) C.M.Taylor",,,"","6975","","Rezende, SG; Justo, AG",2018,9,5,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.043333,-43.684722,"Erva terrícula; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","",,"GBIF"
