"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01400450","Psychotria alto-macahensis","","Rubiaceae","Psychotria","alto-macahensis","","M. Gomes","M.Gomes",,"","3443","","M. Nadruz; L. Temponi, M. Camelo, R. Ribeiro & F. Marcolino",2018,11,13,"Brazil","Minas Gerais","Fervedouro","Trilha para pedra do pato",,,"Lâmina foliar membranácea esverdeada levemente discolor; pedúnculo esverdeado, brácteas e sépalas avermelhadas; frutos azulados.","Psychotria alto-macahensis M. Gomes","",,"GBIF"
"","JBRJ","RB","RB01373315","Psychotria alto-macahensis","","Rubiaceae","Psychotria","alto-macahensis","","M. Gomes",,,"","1281","","C. Baez; E. fernandez, G. Heiden, J. Iganci, L. Barcelos",2017,8,27,"Brazil","Rio de Janeiro","Silva Jardim","Pico da Velutina. Parque Estadual dos Três Picos",-22.438611,-42.504444,"Arbusto, umbrófilo, 1 m. Folhas verdes glabras discolores. Brácteas vináceas. Frutos imaturos verdes.","Psychotria alto-macahensis M. Gomes","",,"GBIF"
"","JBRJ","RB","RB01162844","Psychotria alto-macahensis","","Rubiaceae","Psychotria","alto-macahensis","","M. Gomes","Mario Gomes",,"","884","","P. Rosa; C. Baez, T. Lima, D. Maurenza, R. Negrão, L. Moraes, M. Moraes, G. Overney",2016,8,8,"Brazil","Rio de Janeiro","Silva Jardim","Serra de Macaé de Cima, localidade de Macaé de Cima, início da trilha do vale do rio das Flores para a cumeada das velutinas, início da trilha. Trilha de passagem. APA Macaé de Cima",-22.436389,-42.505,"Terrícola, folhas discolores verdes, brácteas liláses, frutos imaturos verde-claro com o ápice negro.","Psychotria alto-macahensis M. Gomes","",,"GBIF"
"","JBRJ","RB","RB01174649","Psychotria alto-macahensis","","Rubiaceae","Psychotria","alto-macahensis","","M. Gomes","M. Gomes",,"","19428","","G.Martinelli; M.Moraes, T.Lima, E Lerina",2016,8,11,"Brazil","Rio de Janeiro","Nova Friburgo","Matas de altitude na cumieira da Serra dos Pirineus, na divisa dos Municípios de Nova Friburgo e Silva Jardim. mata atlântica de altitude. APA de Macaé de Cima",-22.438055,-42.525833,"arbusto, 2m, semi-heliófila; folhas verde-discolores; frutos imaturos de cor verde coberto por brácteas vermelhas; frequente.","Psychotria alto-macahensis M. Gomes","",,"GBIF"
"","US","Botany","3713958","Psychotria alto-macahensis","","Rubiaceae","Psychotria","alto-macahensis","","M. Gomes","Gomes, M.",,"","19428","","G. Martinelli et al.",2016,8,11,"Brazil","Rio de Janeiro",,"Nova Friburgo. Area de Protecao Ambiental de Macae de Cima. Matas de altitude na cumieria da Serra dos Pirineus, na divisa dos Municipios de Nova Friburgo e Silva Jardim.",-22.4381,-42.5258,,"Psychotria alto-macahensis M. Gomes","",,"GBIF"
"","USP","SPF","227964","Psychotria alto-macahensis","","Rubiaceae","Psychotria","alto-macahensis","","M. Gomes","Gomes, M",2016,"","884","","Rosa, P",2016,8,8,"Brazil","Rio de Janeiro","Silva Jardim",,-22.436389,-42.505,,"Psychotria alto-macahensis M. Gomes","",,"GBIF"
"","JBRJ","RB","RB01346083","Psychotria alto-macahensis","","Rubiaceae","Psychotria","alto-macahensis","","M. Gomes","M. Gomes",,"","4824","","N. Roque; et al",2016,10,8,"Brazil","Bahia","Palmeiras","Vale do Capão. Trilha para a Cachoeira da Fumaça",,,,"Psychotria alto-macahensis M. Gomes","",,"GBIF"
"","UFES","VIES","40274","Psychotria alto-macahensis","","Rubiaceae","Psychotria","alto-macahensis","","M. Gomes","F. Torres-Leite",2019,"","603","","Silva, L.A.",2015,2,3,"Brazil","Espírito Santo","Vargem Alta",,,,,"Psychotria alto-macahensis M. Gomes","",,"GBIF"
"","UFES","VIES","25443","Psychotria alto-macahensis","","Rubiaceae","Psychotria","alto-macahensis","","M. Gomes","F. Torres-Leite",2019,"","12","","Turma de Taxonomia de Campo 2015 -",2015,10,2,"Brazil","Espírito Santo","Castelo","Parque Estadual de Forno Grande, trilha do mirante.",,,,"Psychotria alto-macahensis M. Gomes","",,"GBIF"
"","JBRJ","RB","RB01308406","Psychotria alto-macahensis","","Rubiaceae","Psychotria","alto-macahensis","","M. Gomes","M. Gomes",2018,"","482","","Tuler, A.C",2014,1,7,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,"Inflorescência rósea.","Psychotria alto-macahensis M. Gomes","",,"GBIF"
