"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","S","VascularPlants","S05-1089","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"","6172","","B. A. Krukoff",1934,9,14,"Brazil",,,"B. A. Krukoffs 5th Expedition to Brazilian Amazonia. Basin of Rio Madeira. State of Amazonas: Municipality Humayta, near Tres Casas.",,,,"Psychotria krukovii Standl.","",,"GBIF"
"","MO","MO","2535871","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.","Clement W. Hamilton",1983,"","Krukoff 6172","","Boris A. Krukoff",1934,9,14,"Brazil","Amazonas",,"Municipality Humayta, near Tres Casas. On varzea land.",,,,"Psychotria krukovii Standl.","",,"GBIF"
"","US","Botany","1660451","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"","6172","","B. A. Krukoff",1934,9,14,"Brazil","Amazonas",,"Humayta, near Tres Casas.",,,,"Psychotria krukovii Standl.","",,"GBIF"
"","W","Herbarium W","1938-0003145","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.","P. C. Standley",,"",,"","Krukoff,B.A.",1934,9,14,"Brazil",,,"Basin of Rio Madeira, State of Amazonas: Municipality Humayta, near Tres Casas. On Varzea land.",,,,"Psychotria krukovii Standl.","",,"GBIF"
"","NY","NY","132717","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"","6172","","B. A. Krukoff",1934,9,19,"Brazil","Amazonas",,"Near Tres Casas.",-6.987642,-62.683954,,"Psychotria krukovii Standl.","",,"GBIF"
"","A","A","barcode-00549891","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,2015,"","6172","","B. A. Krukoff",1934,9,14,"Brazil","Amazonas",,"Basin of Rio Madeira, Municipality Humayta, near Tres Casas",,,,"Psychotria krukovii Standl.","",,"GBIF"
"",,"Botany","U  0006211","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"",,"","Krukoff BA",1934,9,14,"Brazil","Amazonas",,"Basin of Rio MadeiraState of Amazonas: Municipality Humayta, near Tres Casas.",,,,"Psychotria krukovii Standl.","",,"GBIF"
"",,"Botany","U.1573136","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"",,"","Krukoff BA",1934,9,14,"Brazil",,,"Basin of Rio Madeira, State of Amazonas, Municipality Humayta, near Tres Casas, On varzea land.",,,,"Psychotria krukovii Standl.","",,"GBIF"
"","K","Herbarium","K000174493","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"","6172","","Krukoff, B.A.",1934,9,14,"Brazil",,,"Amazonia, basin of Rio Madeira. State of Amazonas: Municipality Humayata, near Tres Casas.",,,,"Psychotria krukovii Standl.","",,"GBIF"
"","K","Herbarium","K000174492","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.","Standley",,"","6509","","Krukoff, B.A.",1934,9,14,"Brazil",,,"Amazonia, basin of Rio Madeira. State of Amazonas: Municipality Humayata, near Tres Casas.",,,,"Psychotria krukovii Standl.","",,"GBIF"
"","W","Herbarium W","1938-0003144","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.","Anonymous",,"",,"","Krukoff,B.A.",1934,10,8,"Brazil",,,"Basin of Rio Madeira, State of Amazonas: Municipality Humayta, near Tres Casas.",,,,"Psychotria krukovii Standl.","",,"GBIF"
"","NY","NY","132716","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"","6509","","B. A. Krukoff",1934,10,8,"Brazil","Amazonas",,"Near Tres Casas.",-6.987642,-62.683954,,"Psychotria krukovii Standl.","",,"GBIF"
"","NHMUK","BOT","BM000624172","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.","Charlotte Morley Taylor",,"","6172","","Boris Alexander Krukoff",1934,,,"Brazil","Amazonas",,,-3.324153,-65.49341,,"Psychotria krukovii Standl.","",,"GBIF"
"","F","Botany",,"Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"","6172","","B. A. Krukoff",1934,,,"Brazil",,,,-10.8339,-52.8731,,"Psychotria krukovii Standl.","",,"GBIF"
"","F","Botany",,"Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"","6509","","B. A. Krukoff",1934,,,"Brazil",,,,-10.8339,-52.8731,,"Psychotria krukovii Standl.","",,"GBIF"
"","F","Botany","V0070471F","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"","6172","","B. A. Krukoff",1934,,,"Brazil",,,,-10.8339,-52.8731,,"Psychotria krukovii Standl.","",,"GBIF"
"","F","Botany","V0070472F","Psychotria krukovii","","Rubiaceae","Psychotria","krukovii","","Standl.",,,"","6172","","B. A. Krukoff",1934,,,"Brazil",,,,-10.8339,-52.8731,,"Psychotria krukovii Standl.","",,"GBIF"
